ifd0_make,ifd0_model,dht_id,count(*)
4,309,5905,1
4,309,5906,1
4,309,5907,1
4,309,5908,1
4,309,5909,1
4,309,5910,1
4,309,5911,1
4,309,5912,1
4,309,5913,1
4,309,5914,1
4,309,5915,1
4,309,5916,1
4,309,5917,1
4,310,1,4679
4,327,1,288
4,328,1,6
4,328,398,1
4,328,399,1
4,328,400,1
4,328,401,1
4,328,402,1
4,328,403,1
4,328,404,1
4,328,405,1
4,328,406,1
4,328,407,1
4,328,408,1
4,328,409,1
4,328,410,1
4,328,411,1
4,328,412,1
4,328,413,1
4,328,414,1
4,328,415,1
4,328,416,1
4,328,417,1
4,328,418,1
4,328,419,1
4,328,420,1
4,328,421,1
4,328,422,1
4,328,423,1
4,328,424,1
4,328,425,1
4,328,426,1
4,328,427,1
4,328,428,1
4,328,429,1
4,328,430,1
4,328,431,1
4,328,432,1
4,328,433,1
4,328,434,1
4,328,435,1
4,328,436,1
4,328,437,1
4,328,438,1
4,328,439,1
4,328,440,1
4,328,441,1
4,328,442,1
4,328,443,1
4,328,444,1
4,328,445,1
4,328,446,1
4,328,447,1
4,328,448,1
4,328,449,1
4,328,450,1
4,328,451,1
4,328,452,1
4,328,453,1
4,328,454,1
4,328,455,1
4,328,456,1
4,328,457,1
4,328,458,1
4,328,459,1
4,328,460,1
4,328,461,1
4,328,462,1
4,328,463,1
4,328,464,1
4,328,465,1
4,328,466,1
4,328,467,1
4,328,468,1
4,328,469,1
4,328,470,1
4,328,471,1
4,328,472,1
4,328,473,1
4,328,474,1
4,328,475,1
4,328,476,1
4,328,477,1
4,334,1,747
4,376,1,871
4,387,1,434
4,399,1,2
4,400,1,829
4,407,1,228
4,428,1,101
4,429,1,1149
4,453,1,370
4,454,1,1549
4,482,1,3338
4,482,4977,1
4,504,1,198
4,506,1,50
4,507,1,95
4,508,1,8
4,516,1,2312
4,516,954,1
4,516,955,1
4,516,956,1
4,516,957,1
4,516,958,1
4,516,959,1
4,516,960,1
4,516,961,1
4,516,962,1
4,516,963,1
4,516,964,1
4,516,965,1
4,516,966,1
4,516,967,1
4,516,968,1
4,516,969,1
4,516,970,1
4,516,971,1
4,516,972,1
4,516,973,1
4,516,974,1
4,516,975,1
4,516,976,1
4,516,977,1
4,516,978,1
4,516,979,1
4,516,980,1
4,516,981,1
4,516,982,1
4,516,983,1
4,516,984,1
4,516,985,1
4,523,1,103
4,535,1,221
4,536,1,405
4,537,1,15
4,538,1,447
4,539,1,1209
4,557,1,605
4,558,1,239
4,559,1,411
4,560,1,313
4,585,1,1188
4,585,2362,1
4,585,2363,1
4,585,2364,1
4,585,2365,1
4,585,2366,1
4,585,2367,1
4,585,2368,1
4,585,2369,1
4,585,2370,1
4,585,2371,1
4,585,2372,1
4,585,2373,1
4,585,2374,1
4,585,2375,1
4,585,2376,1
4,585,2377,1
4,585,2378,1
4,585,2379,1
4,585,2380,1
4,585,2381,1
4,585,2382,1
4,585,2383,1
4,585,2384,1
4,585,2385,1
4,585,2386,1
4,585,2387,1
4,585,2388,1
4,585,2389,1
4,585,2390,1
4,585,2391,1
4,585,2392,1
4,585,2393,1
4,585,2394,1
4,585,2395,1
4,585,2396,1
4,585,2397,1
4,585,2398,1
4,585,2399,1
4,585,2400,1
4,585,2401,1
4,585,2402,1
4,585,2403,1
4,585,2404,1
4,585,2405,1
4,585,2406,1
4,585,2407,1
4,585,2408,1
4,585,2409,1
4,585,2410,1
4,585,2411,1
4,585,2412,1
4,585,2413,1
4,585,2414,1
