ifd0_make#ifd0_model#ifds_ExifImageWidth#Count
1#1##48
3#4#0x[00001FA0] / 8096#2
3#4#0x[00001FB0] / 8112#1
3#4#0x[00002060] / 8288#1
3#4#0x[00002100] / 8448#1
3#4#0x[00002110] / 8464#1
3#4#0x[00002710] / 10000#1
3#4#0x[00002730] / 10032#1
3#4#0x[000028D0] / 10448#1
3#4#0x[00002A10] / 10768#1
3#4#0x[00002A30] / 10800#87
3#13#0x[00000990] / 2448#97
3#13#0x[00000AA0] / 2720#4
3#13#0x[00000CC0] / 3264#3325
3#13#3264#26
3#15##1
3#15#0x[000001E0] / 480#27
3#15#0x[00000219] / 537#1
3#15#0x[00000280] / 640#43
3#15#0x[000002C4] / 708#2
3#15#0x[000003C8] / 968#1
3#15#0x[000004A4] / 1188#1
3#15#0x[000004B3] / 1203#1
3#15#0x[00000500] / 1280#1
3#15#0x[00000568] / 1384#1
3#15#0x[0000056B] / 1387#1
3#15#0x[000005F9] / 1529#36
3#15#0x[000005FA] / 1530#26
3#15#0x[000005FC] / 1532#7
3#15#0x[00000600] / 1536#79
3#15#0x[00000637] / 1591#1
3#15#0x[00000640] / 1600#38
3#15#0x[00000642] / 1602#1
3#15#0x[00000647] / 1607#107
3#15#0x[0000064D] / 1613#1
3#15#0x[0000067E] / 1662#1
3#15#0x[0000068A] / 1674#1
3#15#0x[0000068B] / 1675#65
3#15#0x[000006C2] / 1730#1
3#15#0x[000006EB] / 1771#1
3#15#0x[0000078E] / 1934#14
3#15#0x[00000790] / 1936#1135
3#15#0x[00000791] / 1937#10
3#15#0x[000007DA] / 2010#1
3#15#0x[00000800] / 2048#302
3#15#0x[00000808] / 2056#18
3#15#0x[00000809] / 2057#159
3#15#0x[00000838] / 2104#3
3#15#0x[00000846] / 2118#1
3#15#0x[000008F8] / 2296#1
3#15#0x[00000A1F] / 2591#3
3#15#0x[00000A20] / 2592#23707
3#15#0x[00000AD6] / 2774#2
3#15#0x[00000B88] / 2952#3
3#15#0x[00000BC8] / 3016#2
3#15#0x[00000C0C] / 3084#1
3#15#2592#10
3#31##13
3#31#0x[000000F6] / 246#1
3#31#0x[000001E0] / 480#3
3#31#0x[00000280] / 640#20
3#31#0x[000002E3] / 739#1
3#31#0x[00000405] / 1029#1
3#31#0x[000004C8] / 1224#8
3#31#0x[000004CF] / 1231#1
3#31#0x[000004EB] / 1259#1
3#31#0x[00000510] / 1296#6
3#31#0x[0000052C] / 1324#1
3#31#0x[0000054A] / 1354#1
3#31#0x[000005A0] / 1440#6
3#31#0x[000005B2] / 1458#1
3#31#0x[000005DF] / 1503#1
3#31#0x[000005F7] / 1527#1
3#31#0x[00000600] / 1536#389
3#31#0x[00000637] / 1591#1
3#31#0x[00000646] / 1606#1
3#31#0x[00000660] / 1632#69
3#31#0x[00000666] / 1638#1
