ifd0_make#ifd0_model#ifds_ComponentsConfiguration#Count
1#1##32
4#109#[Y Cb Cr .]#277
4#131#[Y Cb Cr .]#1430
4#141#[Y Cb Cr .]#432
4#175##1
4#175#[Y Cb Cr .]#1860
4#187#[Y Cb Cr .]#78
4#188#[Y Cb Cr .]#237
4#203#[Y Cb Cr .]#76
4#227#[. . . .]#1
4#227#[Y Cb Cr .]#1111
4#253#[. . . Y]#155
4#253#[Y Cb Cr .]#151
4#261#[Y Cb Cr .]#19
4#266#[Y Cb Cr .]#718
4#267#[Y Cb Cr .]#418
4#268#[Y Cb Cr .]#1016
4#269#[Y Cb Cr .]#2766
4#309##18
4#309#[Y Cb Cr .]#4021
4#310#[. . . Y]#27
4#310#[Y Cb Cr .]#4652
4#327#[? Cb . .]#2
4#327#[Y Cb Cr .]#286
4#328#[Y Cb Cr .]#86
4#334#[. . . Y]#9
4#334#[Y Cb Cr .]#738
4#376#[Y Cb Cr .]#871
4#387#[Y Cb Cr .]#434
4#399#[Y Cb Cr .]#2
4#400#[Y Cb Cr .]#829
4#407#[Y Cb Cr .]#228
4#428#[Y Cb Cr .]#101
4#429#[Y Cb Cr .]#1149
4#453#[Y Cb Cr .]#370
4#454#[Y Cb Cr .]#1549
4#482#[. . . Y]#13
4#482#[Y Cb Cr .]#3326
4#504#[Y Cb Cr .]#198
4#506#[Y Cb Cr .]#50
4#507#[Y Cb Cr .]#95
4#508#[Y Cb Cr .]#8
4#516#[Y Cb Cr .]#2344
4#523#[Y Cb Cr .]#103
4#535#[Y Cb Cr .]#221
4#536#[Y Cb Cr .]#405
4#537#[Y Cb Cr .]#15
4#538#[Y Cb Cr .]#447
4#539#[Y Cb Cr .]#1209
4#557#[Y Cb Cr .]#605
4#558#[Y Cb Cr .]#239
4#559#[Y Cb Cr .]#411
4#560#[Y Cb Cr .]#313
4#585#[Y Cb Cr .]#1338
4#592#[Y Cb Cr .]#125
4#625#[Y Cb Cr .]#2967
4#631#[Y Cb Cr .]#797
4#632#[Y Cb Cr .]#29
4#636#[Y Cb Cr .]#229
4#639#[Y Cb Cr .]#385
4#647#[Y Cb Cr .]#31
4#681#[Y Cb Cr .]#855
4#692#[Y Cb Cr .]#940
4#693#[Y Cb Cr .]#115
4#705##95
4#705#[Y Cb Cr .]#1162
4#707#[Y Cb Cr .]#368
4#726#[Y Cb Cr .]#1377
4#774#[Y Cb Cr .]#256
4#780#[. . . Y]#1
4#780#[Y Cb Cr .]#1557
4#830#[Y Cb Cr .]#56
4#865#[Y Cb Cr .]#1716
4#868#[Y Cb Cr .]#85
4#884##88
4#884#[Y Cb Cr .]#450
4#899#[Y Cb Cr .]#427
4#901#[Y Cb Cr .]#786
4#907#[Y Cb Cr .]#607
4#912#[Y Cb Cr .]#211
4#917#[Y Cb Cr .]#7
4#921#[Y Cb Cr .]#287
4#936#[Y Cb Cr .]#74
4#971#[Y Cb Cr .]#871
4#984#[Y Cb Cr .]#937
4#985#[Y Cb Cr .]#150
4#988#[Y Cb Cr .]#151
4#998#[Y Cb Cr .]#593
4#999#[Y Cb Cr .]#181
4#1007#[Y Cb Cr .]#80
4#1013#[Y Cb Cr .]#26
4#1019#[Y Cb Cr .]#413
4#1030##100
4#1030#[Y Cb Cr .]#298
4#1044#[Y Cb Cr .]#427
4#1060#[. . . Y]#1
4#1060#[Y Cb Cr .]#991
4#1066#[Y Cb Cr .]#2091
4#1086#[Y Cb Cr .]#125
4#1113#[Y Cb Cr .]#242
4#1114#[Y Cb Cr .]#42
4#1117#[Y Cb Cr .]#650
4#1141#[Y Cb Cr .]#147
4#1172#[Y Cb Cr .]#96
4#1196#[Y Cb Cr .]#646
4#1260##1
4#1260#[Y Cb Cr .]#639
4#1264#[Y Cb Cr .]#121
4#1266#[Y Cb Cr .]#393
4#1295#[Y Cb Cr .]#333
4#1296#[Y Cb Cr .]#885
4#1308#[. . . .]#4
4#1308#[. . . Y]#19
4#1308#[Y Cb Cr .]#1390
4#1369##9
4#1423#[Y Cb Cr .]#71
4#1424#[Y Cb Cr .]#1272
4#1426#[Y Cb Cr .]#548
4#1437#[Y Cb Cr .]#231
4#1441#[Y Cb Cr .]#325
4#1450#[Y Cb Cr .]#299
4#1457#[Y Cb Cr .]#8
4#1467#[Y Cb Cr .]#582
4#1470#[Y Cb Cr .]#170
4#1495#[. . . .]#5
4#1495#[Y Cb Cr .]#1143
4#1499#[Y Cb Cr .]#34
4#1526#[Y Cb Cr .]#7
4#1553#[Y Cb Cr .]#326
4#1556#[Y Cb Cr .]#256
4#1563#[Y Cb Cr .]#547
4#1568#[Y Cb Cr .]#223
4#1599#[Y Cb Cr .]#24
4#1638#[Y Cb Cr .]#93
4#1692#[Y Cb Cr .]#166
4#1693#[Y Cb Cr .]#9
4#1694#[. . . Y]#1
4#1694#[Y Cb Cr .]#175
4#1723#[Y Cb Cr .]#690
4#1726#[Y Cb Cr .]#1027
4#1769#[Y Cb Cr .]#115
4#1787#[Y Cb Cr .]#201
4#1821#[Y Cb Cr .]#277
4#1843#[Y Cb Cr .]#44
4#1850#[Y Cb Cr .]#211
4#1851#[Y Cb Cr .]#173
4#1855#[Y Cb Cr .]#257
4#1867#[Y Cb Cr .]#191
4#1868#[Y Cb Cr .]#523
4#1869#[Y Cb Cr .]#83
4#1883#[Y Cb Cr .]#14
4#1884#[Y Cb Cr .]#88
4#1903#[Y Cb Cr .]#316
4#1936#[Y Cb Cr .]#35
4#1955#[Y Cb Cr .]#318
4#1962#[Y Cb Cr .]#160
4#1988#[Y Cb Cr .]#161
4#2039#[Y Cb Cr .]#151
4#2084#[Y Cb Cr .]#21
4#2096#[Y Cb Cr .]#208
4#2100#[Y Cb Cr .]#192
4#2104#[Y Cb Cr .]#16
4#2106#[Y Cb Cr .]#264
4#2107#[Y Cb Cr .]#40
4#2108#[Y Cb Cr .]#36
4#2109##10
4#2109#[Y Cb Cr .]#264
4#2123#[. . . Y]#1
4#2123#[Y Cb Cr .]#223
4#2159#[Y Cb Cr .]#14
4#2165#[Y Cb Cr .]#161
4#2168#[Y Cb Cr .]#24
4#2183#[Y Cb Cr .]#53
4#2230#[Y Cb Cr .]#238
4#2247#[Y Cb Cr .]#83
4#2248#[Y Cb Cr .]#14
4#2251##1
4#2251#[Y Cb Cr .]#24
4#2258#[Y Cb Cr .]#134
4#2298#[Y Cb Cr .]#202
4#2302#[Y Cb Cr .]#794
4#2306#[. . . .]#2
4#2306#[Y Cb Cr .]#1035
4#2345#[Y Cb Cr .]#5
4#2368#[Y Cb Cr .]#95
4#2412#[Y Cb Cr .]#122
4#2531#[Y Cb Cr .]#52
4#2534#[Y Cb Cr .]#140
4#2545#[Y Cb Cr .]#163
4#2574#[Y Cb Cr .]#161
4#2577#[Y Cb Cr .]#120
4#2590#[. . . Y]#3
4#2590#[Y Cb Cr .]#1722
4#2601#[Y Cb Cr .]#55
4#2686#[Y Cb Cr .]#7
4#2715#[Y Cb Cr .]#33
4#2725#[Y Cb Cr .]#3
4#2750#[Y Cb Cr .]#1
4#2751#[Y Cb Cr .]#14
4#2761#[Y Cb Cr .]#345
4#2780#[Y Cb Cr .]#13
4#2819#[Y Cb Cr .]#33
4#2849#[Y Cb Cr .]#7
4#2852#[Y Cb Cr .]#14
4#2906#[Y Cb Cr .]#43
4#2970#[Y Cb Cr .]#35
4#2975#[Y Cb Cr .]#1
4#2993#[Y Cb Cr .]#60
4#3014#[Y Cb Cr .]#1
4#3015#[Y Cb Cr .]#26
4#3070#[Y Cb Cr .]#2
4#3102#[Y Cb Cr .]#696
4#3130#[Y Cb Cr .]#1
4#3174#[Y Cb Cr .]#4
4#3189#[Y Cb Cr .]#1
4#3299#[Y Cb Cr .]#193
4#3303#[Y Cb Cr .]#7
4#3313#[Y Cb Cr .]#2
4#3315#[Y Cb Cr .]#7
4#3328#[Y Cb Cr .]#1
4#3346#[Y Cb Cr .]#10
4#3352#[Y Cb Cr .]#7
4#3415#[Y Cb Cr .]#15
4#3431#[Y Cb Cr .]#1
4#3442#[Y Cb Cr .]#12
4#3458#[Y Cb Cr .]#8
4#3464#[Y Cb Cr .]#4
4#3466#[Y Cb Cr .]#1453
4#3475#[Y Cb Cr .]#1
4#3485#[Y Cb Cr .]#6
4#3604#[Y Cb Cr .]#12
4#3623#[Y Cb Cr .]#21
4#3651#[Y Cb Cr .]#2
4#3658#[Y Cb Cr .]#1
4#3729#[Y Cb Cr .]#69
4#3733#[Y Cb Cr .]#7
4#3735#[Y Cb Cr .]#44
4#3746#[Y Cb Cr .]#1
4#3770#[Y Cb Cr .]#1
4#3775#[Y Cb Cr .]#2
4#3840#[Y Cb Cr .]#5
4#3849#[Y Cb Cr .]#2
4#3866#[Y Cb Cr .]#9
4#3887#[Y Cb Cr .]#1
4#3915#[Y Cb Cr .]#13
4#3930#[Y Cb Cr .]#1
4#3948#[Y Cb Cr .]#3
4#3964#[Y Cb Cr .]#1
4#4000#[Y Cb Cr .]#22
4#4029#[Y Cb Cr .]#1
4#4055#[Y Cb Cr .]#3
4#4057#[Y Cb Cr .]#2
4#4063#[Y Cb Cr .]#3
4#4066#[Y Cb Cr .]#1
4#4104#[Y Cb Cr .]#1
4#4106#[Y Cb Cr .]#1
4#4113#[Y Cb Cr .]#2
4#4126#[Y Cb Cr .]#17
4#4128#[Y Cb Cr .]#17
4#4140#[Y Cb Cr .]#15
4#4151#[Y Cb Cr .]#1
4#4156#[Y Cb Cr .]#1
4#4163#[Y Cb Cr .]#13
4#4179#[Y Cb Cr .]#31
4#4185#[Y Cb Cr .]#1
4#4190#[Y Cb Cr .]#1
4#4215#[Y Cb Cr .]#1
4#4268#[Y Cb Cr .]#9
4#4282#[Y Cb Cr .]#1
4#4290#[Y Cb Cr .]#1
4#4300#[Y Cb Cr .]#1
4#4313#[Y Cb Cr .]#1
5#7##1
5#7#[Y Cb Cr .]#805
5#25##208
5#25#[. . . .]#8
5#25#[Y Cb Cr .]#3012
5#26##1858
5#38#[Y Cb Cr .]#3
5#39#[Y Cb Cr .]#348
5#59#[Y Cb Cr .]#25
5#77##5
5#77#[. . . .]#1
5#77#[Y Cb Cr .]#373
5#91#[Y Cb Cr .]#20
5#105#[Y Cb Cr .]#25
5#112##100
5#112#[. . . Y]#1
5#112#[. Cr Cb Y]#1068
5#112#[Y Cb Cr .]#1094
5#134##1
5#134#[. . . .]#1
5#134#[Y Cb Cr .]#384
5#135##186
5#155#[Y Cb Cr .]#51
5#160#[Y Cb Cr .]#356
5#178#[Y Cb Cr .]#72
5#216##109
5#216#[Y Cb Cr .]#1714
5#221##67
5#221#[Y Cb Cr .]#739
5#223##35
