ifd0_make#ifd0_model#ifds_ExifImageHeight#Count
1#1##48
3#4150#0x[00000791] / 1937#1
3#4177#0x[00000280] / 640#1
3#4177#0x[000007CC] / 1996#4
3#4177#0x[00000A5C] / 2652#11
4#5#0x[000001E0] / 480#1
4#5#0x[00000780] / 1920#1
4#5#0x[00000BB8] / 3000#162
4#5#0x[00000FA0] / 4000#1
4#6#0x[00000414] / 1044#23
4#6#0x[00000438] / 1080#2
4#6#0x[000004B0] / 1200#147
4#6#0x[000004C1] / 1217#1
4#6#0x[00000510] / 1296#17
4#6#0x[00000544] / 1348#1
4#6#0x[00000550] / 1360#9
4#6#0x[000005A0] / 1440#1
4#6#0x[00000600] / 1536#80
4#6#0x[00000614] / 1556#2
4#6#0x[00000628] / 1576#7
4#6#0x[00000632] / 1586#14
4#6#0x[00000664] / 1636#2
4#6#0x[000006B0] / 1712#54
4#6#0x[000006C0] / 1728#6
4#6#0x[00000740] / 1856#1
4#6#0x[00000748] / 1864#1
4#6#0x[0000075A] / 1882#1
4#6#0x[00000780] / 1920#204
4#6#0x[000007DA] / 2010#1
4#6#0x[00000813] / 2067#1
4#6#0x[00000828] / 2088#237
4#6#0x[000008AE] / 2222#1
4#6#0x[000008C3] / 2243#1
4#6#0x[00000900] / 2304#21
4#6#0x[00000940] / 2368#47
4#6#0x[00000A00] / 2560#6
4#6#0x[00000A20] / 2592#1423
4#6#0x[00000BF4] / 3060#1
4#6#0x[00000D80] / 3456#27
4#45#0x[000001A7] / 423#1
4#45#0x[000001E0] / 480#1
4#45#0x[00000224] / 548#1
4#45#0x[00000300] / 768#2
4#45#0x[000003C8] / 968#1
4#45#0x[000003DF] / 991#1
4#45#0x[000003E3] / 995#1
4#45#0x[000003E8] / 1000#1
4#45#0x[000004A2] / 1186#1
4#45#0x[000004B0] / 1200#6
4#45#0x[0000052E] / 1326#1
4#45#0x[00000550] / 1360#1
4#45#0x[000005A0] / 1440#151
4#45#0x[00000600] / 1536#93
