ifd0_make#ifd0_model#ifds_ExposureProgram#Count
1#1##1425
1#2##1984
4#1903#Normal program#280
4#1903#Portrait mode#25
4#1936#Landscape mode#3
4#1936#Normal program#28
4#1936#Portrait mode#4
4#1955#Landscape mode#3
4#1955#Normal program#303
4#1955#Portrait mode#12
4#1962#Landscape mode#38
4#1962#Normal program#118
4#1962#Portrait mode#4
4#1988#Landscape mode#2
4#1988#Normal program#159
4#2039#Landscape mode#34
4#2039#Normal program#114
4#2039#Portrait mode#3
4#2084#Normal program#21
4#2096#Landscape mode#11
4#2096#Normal program#188
4#2096#Portrait mode#9
4#2100#Landscape mode#12
4#2100#Normal program#177
4#2100#Portrait mode#3
4#2104#Aperture priority#8
4#2104#Landscape mode#1
4#2104#Normal program#7
4#2106#Normal program#264
4#2107#Normal program#40
4#2108#Landscape mode#6
4#2108#Normal program#19
4#2108#Portrait mode#11
4#2109##10
4#2109#Landscape mode#47
4#2109#Normal program#208
4#2109#Portrait mode#9
4#2123#Landscape mode#39
4#2123#Normal program#171
4#2123#Portrait mode#14
4#2159#Aperture priority#1
4#2159#Normal program#12
4#2159#Shutter priority#1
4#2165#Landscape mode#27
4#2165#Normal program#104
4#2165#Portrait mode#29
4#2165#Shutter priority#1
4#2168#Landscape mode#4
4#2168#Normal program#20
4#2183#Normal program#37
4#2183#Portrait mode#16
4#2230#Landscape mode#7
4#2230#Normal program#230
4#2230#Portrait mode#1
4#2247#Landscape mode#14
4#2247#Normal program#69
4#2248#Aperture priority#3
4#2248#Manual#2
4#2248#Normal program#9
4#2251##1
4#2251#Normal program#24
4#2258#Landscape mode#13
4#2258#Manual#3
4#2258#Normal program#118
4#2298#Landscape mode#30
4#2298#Manual#1
4#2298#Normal program#170
4#2298#Portrait mode#1
4#2302#Aperture priority#75
4#2302#Landscape mode#27
4#2302#Manual#3
4#2302#Normal program#670
4#2302#Portrait mode#1
4#2302#Shutter priority#18
4#2306#Aperture priority#164
4#2306#Landscape mode#126
4#2306#Manual#6
4#2306#Normal program#686
4#2306#Portrait mode#47
4#2306#Shutter priority#8
4#2345#Normal program#5
4#2368#Landscape mode#4
4#2368#Normal program#91
4#2412##122
4#2531#Normal program#20
4#2531#Portrait mode#32
4#2534#Landscape mode#2
4#2534#Normal program#133
4#2534#Portrait mode#5
4#2545#Aperture priority#5
4#2545#Landscape mode#18
4#2545#Manual#1
4#2545#Normal program#111
4#2545#Portrait mode#25
