ifd0_make#ifd0_model#ifds_FocalLength#Count
1#1##40
1#1#5 mm#1385
4#175#75 mm#5
4#175#76 mm#1
4#175#77 mm#1
4#175#78 mm#2
4#175#79 mm#2
4#175#8 mm#102
4#175#80 mm#3
4#175#82 mm#2
4#175#84 mm#3
4#175#85 mm#1
4#175#86 mm#3
4#175#87 mm#3
4#175#89 mm#126
4#175#9 mm#98
4#187#18 mm#4
4#187#5 mm#71
4#187#6 mm#1
4#187#7 mm#1
4#187#8 mm#1
4#188#10 mm#11
4#188#11 mm#5
4#188#13 mm#8
4#188#14 mm#2
4#188#15 mm#6
4#188#16 mm#1
4#188#18 mm#1
4#188#19 mm#2
4#188#20 mm#4
4#188#22 mm#3
4#188#23 mm#3
4#188#27 mm#5
4#188#28 mm#3
4#188#30 mm#2
4#188#33 mm#1
4#188#36 mm#10
4#188#5 mm#125
4#188#6 mm#8
4#188#7 mm#9
4#188#8 mm#14
4#188#9 mm#14
4#203#10 mm#4
4#203#12 mm#5
4#203#13 mm#2
4#203#15 mm#1
4#203#16 mm#3
4#203#17 mm#13
4#203#6 mm#38
4#203#7 mm#3
4#203#8 mm#3
4#203#9 mm#4
4#227##5
4#227#10 mm#14
4#227#100 mm#1
4#227#101 mm#2
4#227#107 mm#4
4#227#108 mm#131
4#227#11 mm#31
4#227#12 mm#22
4#227#13 mm#22
4#227#14 mm#19
4#227#15 mm#24
4#227#16 mm#17
4#227#17 mm#26
4#227#18 mm#27
4#227#19 mm#10
4#227#20 mm#17
4#227#21 mm#12
4#227#22 mm#13
4#227#23 mm#3
4#227#24 mm#12
4#227#25 mm#7
4#227#26 mm#10
4#227#27 mm#11
4#227#28 mm#6
4#227#29 mm#5
4#227#30 mm#6
4#227#31 mm#7
4#227#32 mm#3
4#227#33 mm#3
4#227#34 mm#3
4#227#35 mm#11
4#227#36 mm#1
4#227#37 mm#6
4#227#39 mm#1
4#227#40 mm#5
4#227#41 mm#5
4#227#42 mm#5
4#227#45 mm#6
4#227#46 mm#3
4#227#47 mm#5
4#227#49 mm#2
4#227#5 mm#362
4#227#50 mm#2
4#227#51 mm#2
4#227#52 mm#3
4#227#54 mm#2
4#227#55 mm#2
4#227#56 mm#2
4#227#57 mm#2
4#227#58 mm#1
4#227#6 mm#44
4#227#60 mm#2
4#227#61 mm#6
4#227#62 mm#4
4#227#64 mm#4
4#227#69 mm#1
4#227#7 mm#51
4#227#70 mm#2
4#227#72 mm#1
4#227#75 mm#6
4#227#76 mm#3
4#227#79 mm#1
4#227#8 mm#32
4#227#80 mm#1
4#227#81 mm#3
4#227#84 mm#1
4#227#85 mm#1
4#227#88 mm#3
4#227#9 mm#38
4#227#90 mm#2
4#227#93 mm#3
4#227#95 mm#2
4#253#10 mm#5
4#253#11 mm#2
4#253#12 mm#3
4#253#13 mm#3
4#253#14 mm#2
4#253#15 mm#2
4#253#17 mm#3
4#253#18 mm#1
