ifd0_make#ifd0_model#ifds_SubjectLocation1#Count
1#1##1425
1#2##2030
1#169##7
1#1339##121
1#1998##16
1#2318##150
2#3##9
3#4##2901
3#4#1078, 1392, 610, 612#1
3#4#1081, 1157, 610, 612#1
3#4#1081, 1426, 421, 421#1
3#4#1081, 839, 610, 612#1
3#4#1085, 1084, 610, 612#1
3#4#1085, 1321, 610, 612#1
3#4#1088, 1811, 590, 589#1
3#4#1089, 1716, 609, 612#1
3#4#1091, 1540, 610, 609#1
3#4#1094, 1059, 610, 612#1
3#4#1094, 693, 610, 609#1
3#4#1097, 1527, 603, 607#1
3#4#1098, 1133, 610, 612#2
3#4#1098, 1806, 610, 612#1
3#4#1101, 1539, 610, 612#1
3#4#1102, 1664, 456, 457#1
3#4#1104, 1033, 610, 612#1
3#4#1104, 1104, 610, 612#1
3#4#1104, 1873, 610, 609#1
3#4#1109, 1397, 326, 328#1
3#4#1110, 653, 359, 270#1
3#4#1111, 1036, 601, 611#2
3#4#1111, 1564, 610, 612#1
3#4#1111, 849, 610, 612#1
3#4#1114, 1196, 518, 518#1
3#4#1114, 1361, 610, 612#1
3#4#1114, 614, 610, 612#1
3#4#1117, 1047, 610, 612#1
3#4#1117, 1292, 610, 612#1
3#4#1119, 646, 607, 599#1
3#4#1123, 1158, 612, 609#1
3#4#1124, 1627, 610, 612#1
3#4#1127, 1326, 610, 612#1
3#4#1127, 1427, 610, 612#1
3#4#1130, 1319, 610, 612#1
3#4#1134, 1094, 610, 612#1
3#4#1134, 1995, 610, 612#1
3#4#1140, 1084, 610, 612#1
3#4#1140, 1101, 610, 612#1
3#4#1140, 1104, 610, 612#1
3#4#1140, 1224, 610, 612#1
3#4#1140, 1258, 610, 612#1
3#4#1140, 1336, 610, 612#1
3#4#1140, 1627, 610, 612#1
3#4#1140, 1686, 610, 612#1
3#4#1143, 1118, 610, 612#1
3#4#1147, 1150, 610, 612#1
3#4#1147, 646, 610, 612#1
3#4#1153, 1676, 610, 612#1
3#4#1156, 1059, 610, 612#1
3#4#1156, 1111, 610, 609#1
3#4#1156, 1400, 610, 612#1
3#4#1156, 1581, 610, 612#1
3#4#1158, 546, 607, 604#1
3#4#1163, 1429, 610, 612#1
3#4#1164, 1018, 600, 609#2
3#4#1166, 1219, 610, 612#1
3#4#1169, 1161, 479, 482#1
3#4#1169, 1167, 610, 612#1
3#4#1169, 1370, 610, 612#1
3#4#1169, 616, 610, 612#1
