ifd0_make#ifd0_model#ifd0_Orientation#Count
1#1##1357
1#1#0#31
3#63#3 = Row 0: bottom, Col 0: rig#203
3#63#6 = Row 0: right, Col 0: top#577
3#63#8 = Row 0: left, Col 0: botto#16
3#87##21
3#87#1 = Row 0: top, Col 0: left#1031
3#87#3 = Row 0: bottom, Col 0: rig#59
3#87#6 = Row 0: right, Col 0: top#249
3#87#8 = Row 0: left, Col 0: botto#1
3#95##652
3#95#1 = Row 0: top, Col 0: left#5351
3#95#3 = Row 0: bottom, Col 0: rig#138
3#95#6 = Row 0: right, Col 0: top#1716
3#95#8 = Row 0: left, Col 0: botto#18
3#137##370
3#137#1 = Row 0: top, Col 0: left#1591
3#137#3 = Row 0: bottom, Col 0: rig#55
3#137#6 = Row 0: right, Col 0: top#807
3#137#8 = Row 0: left, Col 0: botto#11
3#176##235
3#176#1 = Row 0: top, Col 0: left#4433
3#176#3 = Row 0: bottom, Col 0: rig#148
3#176#6 = Row 0: right, Col 0: top#1917
3#176#8 = Row 0: left, Col 0: botto#14
3#460##155
3#460#1 = Row 0: top, Col 0: left#1023
3#460#3 = Row 0: bottom, Col 0: rig#24
3#460#6 = Row 0: right, Col 0: top#199
3#460#8 = Row 0: left, Col 0: botto#3
3#598##31
3#598#1 = Row 0: top, Col 0: left#38
3#598#3 = Row 0: bottom, Col 0: rig#1
3#598#6 = Row 0: right, Col 0: top#7
3#598#8 = Row 0: left, Col 0: botto#2
3#1082##31
3#1082#1 = Row 0: top, Col 0: left#331
3#1082#3 = Row 0: bottom, Col 0: rig#128
3#1082#6 = Row 0: right, Col 0: top#207
3#1082#8 = Row 0: left, Col 0: botto#3
3#1433##1
3#1433#1 = Row 0: top, Col 0: left#18
3#1636#1 = Row 0: top, Col 0: left#104
3#1636#3 = Row 0: bottom, Col 0: rig#1
3#1636#6 = Row 0: right, Col 0: top#8
3#2173##34
3#2173#1 = Row 0: top, Col 0: left#18
3#2173#6 = Row 0: right, Col 0: top#52
3#3617##4
3#3617#1 = Row 0: top, Col 0: left#63
3#3617#3 = Row 0: bottom, Col 0: rig#15
3#3617#6 = Row 0: right, Col 0: top#38
3#3617#8 = Row 0: left, Col 0: botto#2
3#3796#1 = Row 0: top, Col 0: left#2
3#4037#1 = Row 0: top, Col 0: left#14
3#4150#1 = Row 0: top, Col 0: left#1
3#4177#1 = Row 0: top, Col 0: left#15
3#4177#6 = Row 0: right, Col 0: top#1
4#5##1
4#5#1 = Row 0: top, Col 0: left#162
4#5#6 = Row 0: right, Col 0: top#2
4#6##36
