ifds_FocalPlaneXResolution ,Count
3072000/243, 163
3072000/284, 4728
3072000/892, 6030
3077/1, 47
3082/1, 1
3082666/169, 5
3082666/214, 1
3085/1, 1
308692580/100000, 7
3088000/878, 1287
3088000/905, 6
3092/1, 51
3104000/1131, 14
3105/1, 2
3110400/212, 2
3118/1, 1
3124000/225, 6
3125/1, 13
3125000/243, 1
3125000/291, 3
3125000/293, 3
3131/1, 118
3141/1, 1
3145728/286, 5
3145728/914, 20
3149280/212, 2
3168000/1415, 69
3168000/593, 369
3168000/597, 120
3176470/243, 6
3176470/244, 4
3186/1, 7
3197629/241, 37
3197629/287, 18
3197629/292, 16
3200/1, 1
3200000/173, 9
3200000/206, 22
3200000/208, 10
3200000/246, 2
3205/1, 62
3208/1, 1
3220/1, 1
322580/100, 1
3226/1, 3
3226239/224, 4
3226239/280, 37
3226240/224, 4
3240/1, 1
324000/73, 9
3240000/182, 3
3240000/225, 2
3240000/283, 3
3264000/224, 1
3264000/225, 10929
3264000/242, 41
3264000/243, 175
3264000/244, 617
3264000/286, 1935
3264000/291, 849
3264000/347, 709
3269/1, 4
3276800/175, 2
3276800/207, 2
3276800/208, 39
3276800/224, 1
3276800/278, 3
3277199/210, 2
3280500/194, 1
3280500/225, 28
3280500/283, 6
3281472/283, 10
3292/1, 3
3303/1, 1
3312000/219, 33
3312000/292, 10
3317760/225, 6
3317760/283, 6
332361152/32768, 1
3324/1, 8
3326/1, 9
3329/1, 3
3331/1, 132
3334000/945, 1
3339/1, 116
3340/1, 50
3342336/286, 9
3362/1, 1
33667/103, 22
3368/1, 1
3375527/244, 1
33801/1, 1
3389830/243, 1
3402/1, 1
3441/1, 460
3450000/292, 2
3450980/244, 1
3450980/293, 2
3456000/169, 5
3456000/171, 1
3456000/182, 4
3456000/229, 1244
3456000/243, 52
3456000/292, 450
3456000/595, 144
3456000/874, 12195
3456000/894, 2601
3456000/905, 2271
3456000/907, 1499
3486/1, 3
3489/1, 28
3491/1, 1
3504000/1131, 138
3504000/1136, 90
3504000/885, 4042
3506/1, 1
3508/1, 233
351659/20, 1
3520000/1136, 207
3520000/225, 3
3527736/292, 1
3532/1, 317
3535/1, 2
3545/1, 1
3550000/224, 8
3550400/224, 3
3550400/280, 5
3552000/1290, 27
3564/1, 1
3572/1, 365
3582/1, 27
3584/1, 157
3588096/907, 23
3591/1, 169
3613/1, 2
3621567/347, 5
3622/1, 1
3629/1, 11
3635199/224, 1
3635199/280, 1
3636/1, 1
3639/1, 2
3640889/224, 3
3640889/225, 44
3640889/284, 12
3642857/244, 1
3648000/1436, 5
3648000/226, 1163
3648000/241, 8568
3648000/287, 2897
3648000/292, 4736
3648000/956, 14
3658/1, 267
3675/1, 350
3676470/183, 3
3699/1, 2
370297/13, 1
3703/1, 1752
3704/1, 460
371134/27, 3
