ifdg_GPSLatitude ,Count
1 deg 15 16.840, 2
1 deg 15 16.850, 1
1 deg 15 16.930, 2
1 deg 15 17.910, 1
1 deg 15 18.000, 2
1 deg 15 18.490, 1
1 deg 15 18.600, 4
1 deg 15 18.660, 1
1 deg 15 18.860, 1
1 deg 15 18.910, 2
1 deg 15 18.940, 1
1 deg 15 19.060, 1
1 deg 15 19.200, 1
1 deg 15 19.800, 1
1 deg 15 20.090, 1
1 deg 15 20.180, 1
1 deg 15 20.260, 1
1 deg 15 20.748, 1
1 deg 15 20.778, 1
1 deg 15 21.000, 3
1 deg 15 21.600, 6
1 deg 15 22.296, 1
1 deg 15 22.600, 1
1 deg 15 22.640, 1
1 deg 15 22.660, 2
1 deg 15 22.690, 2
1 deg 15 22.800, 9
1 deg 15 22.914, 1
1 deg 15 23.170, 2
1 deg 15 23.360, 1
1 deg 15 23.400, 1
1 deg 15 24.000, 3
1 deg 15 24.450, 6
1 deg 15 24.600, 1
1 deg 15 24.640, 1
1 deg 15 25.290, 1
1 deg 15 25.296, 1
1 deg 15 25.500, 1
1 deg 15 25.524, 1
1 deg 15 25.614, 1
1 deg 15 25.620, 1
1 deg 15 25.800, 2
1 deg 15 26.256, 1
1 deg 15 26.310, 1
1 deg 15 26.334, 1
1 deg 15 26.364, 1
1 deg 15 26.400, 1
1 deg 15 26.448, 1
1 deg 15 26.496, 1
1 deg 15 26.574, 1
1 deg 15 26.622, 1
1 deg 15 26.682, 1
1 deg 15 26.706, 1
1 deg 15 27.438, 1
1 deg 15 27.600, 1
1 deg 15 27.672, 1
1 deg 15 28.662, 1
1 deg 15 28.970, 1
1 deg 15 30.380, 1
1 deg 15 30.600, 2
1 deg 15 30.618, 1
1 deg 15 30.780, 5
1 deg 15 31.134, 1
1 deg 15 31.800, 1
1 deg 15 33.130, 1
1 deg 15 33.710, 1
1 deg 15 34.800, 1
1 deg 15 36.061, 1
1 deg 15 38.360, 1
1 deg 15 4.200, 1
1 deg 15 4.800, 1
1 deg 15 46.380, 1
1 deg 15 47.306, 1
1 deg 15 48.000, 1
1 deg 15 49.210, 1
1 deg 15 5.400, 2
1 deg 15 55.800, 1
1 deg 15 59.990, 1
1 deg 15 6.000, 1
1 deg 15 7.000, 1
1 deg 15 8.410, 1
1 deg 15 8.510, 1
1 deg 16 19.200, 1
1 deg 16 20.400, 1
1 deg 16 21.370, 1
1 deg 16 21.636, 1
1 deg 16 23.200, 1
1 deg 16 24.600, 1
1 deg 16 26.400, 1
1 deg 16 30.000, 1
1 deg 16 30.928, 1
1 deg 16 31.200, 5
1 deg 16 31.956, 1
1 deg 16 32.000, 1
1 deg 16 32.400, 1
1 deg 16 33.600, 1
1 deg 16 36.600, 1
1 deg 16 39.000, 3
1 deg 16 41.690, 1
1 deg 16 41.830, 1
1 deg 16 42.018, 1
1 deg 16 42.600, 1
1 deg 16 43.200, 1
1 deg 16 45.550, 1
1 deg 16 45.601, 1
1 deg 16 45.650, 1
1 deg 16 45.674, 1
1 deg 16 45.770, 1
1 deg 16 46.200, 2
1 deg 16 46.800, 1
1 deg 16 46.930, 1
1 deg 16 47.061, 1
1 deg 16 47.071, 1
1 deg 16 47.387, 1
1 deg 16 47.720, 1
1 deg 16 47.864, 1
1 deg 16 47.938, 1
1 deg 16 48.073, 4
1 deg 16 48.132, 2
1 deg 16 48.470, 1
1 deg 16 49.080, 1
1 deg 16 49.200, 2
1 deg 16 49.510, 1
1 deg 16 49.800, 2
1 deg 16 50.257, 1
1 deg 16 50.400, 7
1 deg 16 51.000, 4
1 deg 16 51.600, 6
1 deg 16 52.200, 1
1 deg 16 52.265, 3
1 deg 16 52.560, 1
1 deg 16 52.600, 1
1 deg 16 52.660, 1
1 deg 16 52.720, 1
1 deg 16 52.740, 1
1 deg 16 52.800, 6
1 deg 16 52.944, 1
1 deg 16 53.010, 1
1 deg 16 53.129, 1
1 deg 16 53.400, 1
1 deg 16 53.450, 2
1 deg 16 53.550, 1
1 deg 16 53.580, 1
1 deg 16 53.620, 1
1 deg 16 53.710, 1
1 deg 16 54.000, 4
1 deg 16 54.202, 1
1 deg 16 54.310, 1
1 deg 16 54.352, 3
1 deg 16 54.600, 1
1 deg 16 54.980, 1
1 deg 16 55.050, 1
1 deg 16 55.130, 1
1 deg 16 55.200, 3
1 deg 16 55.460, 1
1 deg 16 55.556, 2
1 deg 16 55.672, 1
1 deg 16 55.711, 1
1 deg 16 55.800, 4
1 deg 16 55.843, 1
1 deg 16 55.902, 1
1 deg 16 56.055, 1
1 deg 16 56.100, 1
1 deg 16 56.136, 3
1 deg 16 56.340, 1
1 deg 16 56.477, 1
1 deg 16 56.480, 1
1 deg 16 56.499, 3
1 deg 16 56.510, 1
1 deg 16 56.603, 3
1 deg 16 56.641, 2
1 deg 16 56.645, 1
1 deg 16 56.750, 8
1 deg 16 56.980, 1
1 deg 16 56.998, 1
1 deg 16 57.000, 4
1 deg 16 57.024, 2
1 deg 16 57.156, 3
1 deg 16 57.393, 7
1 deg 16 57.439, 7
1 deg 16 57.600, 9
1 deg 16 57.885, 5
1 deg 16 57.951, 1
1 deg 16 57.954, 1
1 deg 16 57.970, 1
1 deg 16 58.089, 2
1 deg 16 58.094, 1
1 deg 16 58.180, 1
1 deg 16 58.200, 1
1 deg 16 58.274, 1
1 deg 16 58.338, 1
1 deg 16 58.339, 1
1 deg 16 58.348, 1
1 deg 16 58.386, 1
1 deg 16 58.387, 6
1 deg 16 58.400, 2
1 deg 16 58.414, 1
1 deg 16 58.426, 1
1 deg 16 58.434, 2
1 deg 16 58.447, 2
1 deg 16 58.453, 1
1 deg 16 59.022, 3
