ifds_MakerNote ,Count
@ 0x0346, 158
@ 0x0347, 15
@ 0x0348, 16812
@ 0x0349, 98
@ 0x034A, 198
@ 0x034B, 30
@ 0x034C, 2047
@ 0x034E, 233
@ 0x034F, 40
@ 0x0350, 1155
@ 0x0351, 1
@ 0x0352, 2251
@ 0x0354, 49818
@ 0x0355, 35
@ 0x0356, 122
@ 0x0358, 1079
@ 0x035A, 84
@ 0x035B, 36
@ 0x035C, 13154
@ 0x035D, 26
@ 0x035E, 51
@ 0x035F, 1
@ 0x0360, 26356
@ 0x0361, 76
@ 0x0362, 7
@ 0x0363, 2
@ 0x0364, 46
@ 0x0366, 341
@ 0x0367, 1
@ 0x0368, 1077
@ 0x036A, 19
@ 0x036C, 2271
@ 0x036D, 2
@ 0x036E, 493
@ 0x0370, 2013
@ 0x0372, 254
@ 0x0374, 423
@ 0x0376, 60
@ 0x0378, 185
@ 0x037A, 121
@ 0x037B, 1
@ 0x037C, 1643
@ 0x037E, 786
@ 0x0380, 920
@ 0x0382, 1980
@ 0x0383, 4
@ 0x0384, 1054
@ 0x0386, 3359
@ 0x0387, 16
@ 0x0388, 1898
@ 0x0389, 2
@ 0x038A, 2236
@ 0x038B, 7
@ 0x038C, 329
@ 0x038E, 3740
@ 0x038F, 34
@ 0x0390, 331
@ 0x0391, 3
@ 0x0392, 834
@ 0x0394, 12730
@ 0x0396, 7597
@ 0x0398, 16575
@ 0x0399, 119
@ 0x039A, 12196
@ 0x039C, 3311
@ 0x039E, 351
@ 0x03A0, 1399
@ 0x03A1, 31
@ 0x03A2, 93
@ 0x03A4, 363
@ 0x03A6, 147
@ 0x03A7, 1
@ 0x03A8, 210
@ 0x03AA, 47
@ 0x03AC, 4242
@ 0x03AE, 42194
@ 0x03B0, 158
@ 0x03B2, 44
@ 0x03B4, 60
@ 0x03B6, 238
@ 0x03B7, 26
@ 0x03B8, 2
@ 0x03BA, 13
@ 0x03BC, 84
@ 0x03BE, 16
@ 0x03C0, 19
@ 0x03C2, 3571
@ 0x03C3, 2
@ 0x03C4, 10873
@ 0x03C6, 1956
@ 0x03C8, 555
@ 0x03CA, 157
@ 0x03CC, 491
@ 0x03CE, 223
@ 0x03D0, 637
@ 0x03D2, 36
@ 0x03D3, 1
@ 0x03D4, 2379
@ 0x03D5, 1
@ 0x03D6, 615
@ 0x03D7, 13
@ 0x03D8, 7007
@ 0x03D9, 4
@ 0x03DA, 511
@ 0x03DC, 59
@ 0x03DD, 2
@ 0x03DE, 333
@ 0x03E0, 34
@ 0x03E2, 336
@ 0x03E4, 11209
@ 0x03E5, 1
@ 0x03E6, 6326
@ 0x03E7, 51
@ 0x03E8, 31
@ 0x03E9, 72
@ 0x03EA, 365
@ 0x03EC, 3760
@ 0x03ED, 25
@ 0x03EE, 127
@ 0x03F0, 4420
@ 0x03F2, 277
@ 0x03F3, 11
@ 0x03F4, 1435
@ 0x03F6, 1814
@ 0x03F8, 159
@ 0x03F9, 43
@ 0x03FA, 107
@ 0x03FC, 52
@ 0x03FD, 2
@ 0x03FE, 80
@ 0x0400, 592
@ 0x0401, 1
@ 0x0402, 215
@ 0x0404, 65
@ 0x0405, 10
@ 0x0406, 75
@ 0x0407, 1
@ 0x0408, 519
@ 0x0409, 4
@ 0x040A, 521
@ 0x040C, 3521
@ 0x040E, 9138
@ 0x0410, 7656
@ 0x0411, 4
@ 0x0412, 81
@ 0x0413, 48
@ 0x0414, 891
@ 0x0416, 133
@ 0x0417, 125
@ 0x0418, 832
@ 0x041A, 956
@ 0x041C, 2
@ 0x041E, 2982
@ 0x0420, 19721
@ 0x0422, 941
@ 0x0424, 323
@ 0x0426, 4
@ 0x0427, 5
@ 0x0428, 590
@ 0x042A, 23
@ 0x042C, 379
@ 0x042D, 1
@ 0x042E, 94
@ 0x042F, 10
@ 0x0430, 348
@ 0x0432, 21
@ 0x0433, 33
@ 0x0434, 77
@ 0x0435, 1
@ 0x0436, 202
@ 0x0437, 3
@ 0x0438, 2
@ 0x0439, 2
@ 0x043A, 216
@ 0x043C, 3888
@ 0x043D, 2
@ 0x043E, 2860
@ 0x043F, 1
@ 0x0440, 4874
@ 0x0441, 3
@ 0x0442, 120
@ 0x0443, 1
@ 0x0444, 138
@ 0x0446, 118
@ 0x0447, 6
@ 0x0448, 179
@ 0x044A, 41
@ 0x044B, 3
@ 0x044C, 3
@ 0x044D, 1
@ 0x044E, 2239
@ 0x0450, 121
@ 0x0452, 10
@ 0x0454, 340
@ 0x0456, 2122
@ 0x0458, 289
@ 0x0459, 1
@ 0x045A, 2757
@ 0x045C, 471
@ 0x045E, 1
@ 0x045F, 2
@ 0x0460, 184
@ 0x0462, 232
@ 0x0464, 101
@ 0x0466, 1779
@ 0x0467, 1
@ 0x0468, 1905
@ 0x0469, 2
@ 0x046A, 11
@ 0x046B, 1
@ 0x046C, 2140
@ 0x046D, 1
@ 0x046E, 104
@ 0x0470, 11966
@ 0x0471, 7
@ 0x0472, 8228
@ 0x0474, 717
@ 0x0475, 2
@ 0x0476, 1
@ 0x0478, 3332
@ 0x0479, 148
@ 0x047A, 174
@ 0x047B, 242
@ 0x047C, 7876
@ 0x047E, 6325
@ 0x0480, 3401
@ 0x0481, 1
@ 0x0482, 1990
@ 0x0484, 3868
@ 0x0486, 18
@ 0x0488, 1
@ 0x048A, 1310
@ 0x048C, 459
@ 0x048E, 5
@ 0x0490, 1
@ 0x0491, 1
@ 0x0492, 37
@ 0x0493, 1
@ 0x0494, 239
@ 0x0496, 531
@ 0x0498, 229
@ 0x0499, 1
@ 0x049A, 51
@ 0x049B, 1
@ 0x049C, 2
@ 0x049D, 1
@ 0x049E, 471
@ 0x04A0, 319
@ 0x04A1, 1
@ 0x04A2, 1426
@ 0x04A4, 1
@ 0x04A5, 44
@ 0x04A6, 2
@ 0x04A7, 1
@ 0x04A8, 2
@ 0x04AA, 1157
@ 0x04AB, 1
@ 0x04AC, 775
@ 0x04AE, 589
@ 0x04B0, 6
@ 0x04B1, 1
@ 0x04B2, 217
@ 0x04B4, 158
@ 0x04B6, 43
@ 0x04B8, 120
@ 0x04B9, 76
@ 0x04BA, 231
@ 0x04BC, 115
@ 0x04BE, 3
@ 0x04C0, 1355
@ 0x04C1, 2
@ 0x04C2, 1
@ 0x04C4, 20
@ 0x04C6, 64
@ 0x04C8, 652
@ 0x04CA, 50
@ 0x04CB, 1
@ 0x04CC, 2733
@ 0x04CE, 665
@ 0x04CF, 1
@ 0x04D0, 201
@ 0x04D2, 6
@ 0x04D3, 256
@ 0x04D6, 108
@ 0x04D8, 723
@ 0x04DA, 2122
@ 0x04DC, 1
@ 0x04DD, 1
@ 0x04DE, 48
@ 0x04DF, 2
@ 0x04E0, 2
@ 0x04E2, 33
@ 0x04E4, 3565
@ 0x04E5, 1
@ 0x04E6, 9
@ 0x04E8, 11
@ 0x04EA, 10
@ 0x04EC, 1
@ 0x04EE, 7
@ 0x04F2, 20
@ 0x04F4, 116
@ 0x04F6, 710
@ 0x04F7, 21
@ 0x04F8, 12
@ 0x04F9, 5
@ 0x04FB, 280
@ 0x04FC, 4
@ 0x0500, 16
@ 0x0502, 125
@ 0x0504, 42
@ 0x0505, 2
@ 0x0506, 18
@ 0x0508, 589
@ 0x050A, 1
@ 0x050C, 183
@ 0x050E, 266
@ 0x0512, 8257
@ 0x0514, 4
@ 0x0516, 72
@ 0x0518, 1
@ 0x051E, 201
@ 0x0520, 9
@ 0x0522, 9
@ 0x0526, 1
@ 0x0528, 16
@ 0x052A, 1609
@ 0x0531, 2
@ 0x0532, 68
@ 0x0536, 13
@ 0x053A, 3080
@ 0x0542, 83
@ 0x054A, 1
@ 0x054E, 1
@ 0x054F, 5
@ 0x0550, 1
@ 0x0554, 20
@ 0x0556, 3
@ 0x055A, 3
@ 0x055E, 1
@ 0x0566, 6
@ 0x0568, 1489
@ 0x056A, 6
@ 0x0570, 1
@ 0x0572, 156
@ 0x0576, 1087
@ 0x057C, 1
@ 0x057E, 1
@ 0x0582, 70
@ 0x0586, 30
@ 0x0588, 6
@ 0x058A, 9
@ 0x058E, 5
@ 0x0590, 1
@ 0x0591, 151
@ 0x0596, 29
@ 0x0598, 18
@ 0x059A, 15
@ 0x059C, 98
@ 0x059E, 480
@ 0x05A0, 1
@ 0x05A2, 151
@ 0x05A7, 1
@ 0x05A8, 15
@ 0x05AA, 2
@ 0x05AB, 3
@ 0x05AC, 14
@ 0x05AE, 14
@ 0x05B2, 13
@ 0x05B4, 3
@ 0x05B8, 3
@ 0x05BA, 1
@ 0x05BD, 15
@ 0x05BE, 363
@ 0x05C2, 1
@ 0x05CA, 32
@ 0x05CC, 1
@ 0x05CE, 9
@ 0x05DE, 1
@ 0x05E4, 1
@ 0x05E6, 4
@ 0x05EA, 1
@ 0x05EE, 1
@ 0x05F6, 8
@ 0x05FE, 68
@ 0x061D, 1
@ 0x0622, 7
@ 0x062A, 16
@ 0x0630, 1
@ 0x0632, 15
@ 0x0636, 1
@ 0x0646, 19
@ 0x0652, 66
@ 0x0658, 1
@ 0x0660, 2665
@ 0x066A, 40
@ 0x066C, 306
@ 0x0670, 4
@ 0x0676, 137
@ 0x0678, 1
@ 0x068E, 3
@ 0x0696, 97
@ 0x069A, 26
@ 0x06A4, 225
@ 0x06BE, 2
@ 0x06CA, 1
@ 0x06D0, 5225
@ 0x06DC, 25
@ 0x06DE, 189
@ 0x06EA, 7
@ 0x06FA, 1
@ 0x0706, 9
@ 0x0714, 1
@ 0x071B, 163
@ 0x0726, 2
@ 0x0728, 1
@ 0x073C, 1
@ 0x075C, 3
@ 0x07AF, 1
@ 0x07BC, 901
@ 0x07D0, 44
@ 0x07E0, 989
@ 0x07E4, 1771
@ 0x07E7, 1
@ 0x0878, 10
@ 0x0886, 33
@ 0x0892, 2
@ 0x08D4, 11
@ 0x08DE, 1
@ 0x0900, 912
@ 0x090C, 82
@ 0x0924, 282
@ 0x0958, 515
@ 0x095E, 3
@ 0x099C, 5
@ 0x099E, 13
@ 0x09D2, 36
@ 0x09F2, 1
@ 0x0A37, 1
@ 0x0A42, 1
@ 0x0A6A, 3
@ 0x0A74, 1
@ 0x0A7A, 2
@ 0x0A82, 4
@ 0x0A86, 12
@ 0x0A88, 1
@ 0x0A8E, 46
@ 0x0A99, 1
@ 0x0A9C, 1
@ 0x0AA6, 4
@ 0x0AAC, 42
@ 0x0AC6, 2
@ 0x0AD4, 5
@ 0x0AE1, 1
@ 0x0AF0, 18
@ 0x0AF6, 1
@ 0x0AF8, 3
@ 0x0AFA, 23
@ 0x0AFE, 28
@ 0x0B00, 1
@ 0x0B02, 8
@ 0x0B06, 1
@ 0x0B08, 1
@ 0x0B18, 113
@ 0x0B20, 777
@ 0x0B21, 2
@ 0x0B22, 25
@ 0x0B32, 5
@ 0x0B35, 5
@ 0x0B3C, 3
@ 0x0B3E, 1
@ 0x0B3F, 22
@ 0x0B41, 1
@ 0x0B44, 1
@ 0x0B46, 5
@ 0x0B4D, 41
@ 0x0B51, 2
@ 0x0B54, 3
@ 0x0B55, 2
@ 0x0B57, 4
@ 0x0B58, 1
@ 0x0B59, 23
@ 0x0B64, 6
@ 0x0B71, 1
@ 0x0B7C, 8
@ 0x0B7E, 6
@ 0x0B82, 1
@ 0x0B8A, 1
@ 0x0B8F, 1
@ 0x0BAC, 382
@ 0x0BAD, 1
@ 0x0BAE, 11
@ 0x0BB4, 28
@ 0x0BC4, 1
@ 0x0BCC, 1
@ 0x0BCF, 9
@ 0x0BD0, 38
@ 0x0BD4, 34
@ 0x0BD8, 1
@ 0x0BDC, 1
@ 0x0BDE, 3
@ 0x0BE0, 1
@ 0x0BE2, 1
@ 0x0BE6, 1
@ 0x0BF0, 6202
@ 0x0BF2, 2
@ 0x0BF5, 1
@ 0x0BF6, 1
@ 0x0BFC, 1
@ 0x0BFE, 1
@ 0x0C06, 1
@ 0x0C0C, 47
@ 0x0C18, 1
@ 0x0C1C, 3
@ 0x0C1E, 1
@ 0x0C20, 1
@ 0x0C22, 3
@ 0x0C24, 1
@ 0x0C26, 1
@ 0x0C28, 1
@ 0x0C2C, 1
@ 0x0C2E, 1
@ 0x0C36, 2
@ 0x0C4A, 1
@ 0x0C51, 1
@ 0x0C5E, 1
@ 0x0C66, 1
@ 0x0C85, 1
@ 0x0C88, 6594
@ 0x0CA0, 9
@ 0x0CA2, 491
@ 0x0CA6, 2
@ 0x0CAA, 934
@ 0x0CC0, 36
@ 0x0CD3, 1
@ 0x0CD4, 1
@ 0x0CD6, 1
@ 0x0CD7, 1
@ 0x0CE2, 3
@ 0x0CEA, 2
@ 0x0CF0, 2433
@ 0x0CF6, 1
@ 0x0D30, 1513
@ 0x0D40, 374
@ 0x0D48, 1
@ 0x0D4C, 1
@ 0x0D4D, 1
@ 0x0D57, 1
@ 0x0D5B, 1
@ 0x0D5E, 151
@ 0x0D62, 2
@ 0x0D82, 1
@ 0x0D8A, 1
@ 0x0D98, 2271
@ 0x0D9B, 1
@ 0x0D9C, 442
@ 0x0DA6, 104
@ 0x0DB2, 6
@ 0x0DC0, 1087
@ 0x0DC4, 5
@ 0x0DDC, 387
@ 0x0E04, 1
@ 0x0E10, 48
@ 0x0E24, 657
@ 0x0E36, 1
@ 0x0E3E, 1
@ 0x0E54, 1
@ 0x0E5C, 873
@ 0x0E6E, 1
@ 0x0EC0, 1
@ 0x0EC1, 1
@ 0x0EE8, 1
@ 0x0EF6, 1
@ 0x0F49, 1
@ 0x0FB6, 1
@ 0x0FC2, 1
@ 0x0FCA, 3
@ 0x0FD3, 1
@ 0x0FF4, 1
@ 0x0FFC, 2
@ 0x1010101, 1
@ 0x104C, 1
@ 0x1050, 2
@ 0x1052, 1
@ 0x1080179, 1
@ 0x1080183, 1
@ 0x10801EE, 1
@ 0x1085, 1
@ 0x1086, 2
@ 0x108D, 1
@ 0x108F, 1
@ 0x1094, 1
@ 0x10C2, 1
@ 0x10C8, 1
@ 0x10D7, 1
@ 0x10E0082, 1
@ 0x10E8, 1
@ 0x11040003, 2
@ 0x1135, 1
@ 0x1137, 1
@ 0x113C, 1
@ 0x1178, 1
@ 0x118A, 1
@ 0x118C, 1
@ 0x1190, 2
@ 0x1194, 2
@ 0x11AC, 1
@ 0x11B0, 1
@ 0x11B5, 1
@ 0x11D3, 1
@ 0x11DE, 1155
@ 0x11EC, 1
@ 0x12010378, 13
@ 0x1242, 1924
@ 0x1244, 1257
@ 0x124B, 1
@ 0x124E, 5
@ 0x1250, 96
@ 0x1262, 1
@ 0x1282, 1
@ 0x128D, 1
@ 0x1292, 25
@ 0x12A6, 19
@ 0x12A8, 2
@ 0x12AA, 29
@ 0x12B2, 81
@ 0x12B4, 2982
@ 0x12B6, 20
@ 0x12B8, 1
@ 0x12BC, 1129
@ 0x12BE, 872
@ 0x12C0, 569
@ 0x12C2, 691
@ 0x12C4, 9
@ 0x12C5, 1
@ 0x12C8, 183
@ 0x12CA, 264
@ 0x12CE, 1146
@ 0x12D0, 1
@ 0x12D6, 263
@ 0x12D7, 1
@ 0x12D8, 131
@ 0x12DA, 19
@ 0x12DC, 4
@ 0x12DE, 8
@ 0x12E2, 2
@ 0x12E6, 129
@ 0x12E8, 6
@ 0x12EC, 677
@ 0x12EE, 1994
@ 0x12F0, 1
@ 0x12F2, 18
@ 0x12F4, 357
@ 0x12F8, 91
@ 0x12FA, 581
@ 0x1300, 2
@ 0x1304, 1
@ 0x1305, 1
@ 0x1308, 2
@ 0x130A, 1
@ 0x130E, 6
@ 0x1312, 6
@ 0x1314, 14
@ 0x1318, 4
@ 0x131E, 21
@ 0x1320, 2
@ 0x1324, 7
@ 0x1327, 1
@ 0x1328, 3
@ 0x132A, 6
@ 0x132C, 37
@ 0x132E, 2
@ 0x1330, 1
@ 0x1332, 122
@ 0x1336, 1
@ 0x1338, 2
@ 0x133A, 4
@ 0x133C, 1
@ 0x133E, 89
@ 0x1344, 3
@ 0x1348, 5
@ 0x134A, 5
@ 0x134C, 4
@ 0x1356, 6
@ 0x1358, 5
@ 0x135A, 2
@ 0x135C, 9
@ 0x1364, 6
@ 0x1365, 1
@ 0x136C, 48
@ 0x1370, 1
@ 0x1371, 1
@ 0x1372, 1
@ 0x1374, 6
@ 0x1378, 1
@ 0x137C, 18
@ 0x1380, 4
@ 0x1384, 1
@ 0x1398, 4
@ 0x139A, 9
@ 0x139C, 1
@ 0x13B2, 1
@ 0x13CE, 4
@ 0x13D6, 40
@ 0x13D7, 1
@ 0x13DA, 1
@ 0x1404, 3
@ 0x1408, 1
@ 0x140B, 1
@ 0x1418, 1
@ 0x14300BD, 2
@ 0x143E, 2
@ 0x14DF, 1
@ 0x14F5, 1
@ 0x14FA, 1
@ 0x154E, 1
@ 0x15BE, 1
@ 0x1600, 1
@ 0x1722, 1
@ 0x175C, 1
@ 0x1802, 1
@ 0x1844, 1
@ 0x187A, 1
@ 0x1884, 1
@ 0x18CA, 1
@ 0x18FC, 1
@ 0x1902, 1
@ 0x190A, 1
@ 0x193A, 1
@ 0x1940, 1
@ 0x198A, 1
@ 0x19A4, 1
@ 0x19C4, 1
@ 0x19CC, 1
@ 0x1A64, 1
@ 0x1AA6, 1
@ 0x1AAC, 1
@ 0x1AB7, 1
@ 0x1ACC, 1
@ 0x1ADC, 1
@ 0x1AEC, 1
@ 0x1B48, 1
@ 0x1B5E, 1
@ 0x1BA314B1, 1
@ 0x1C1D, 1
