ifds_FocalPlaneYResolution ,Count
3456000/874, 1399
3456000/894, 54
3456000/905, 117
3456000/907, 1
3476159/260, 4
347645/24, 2
3486/1, 3
3489/1, 28
3491/1, 1
3504000/1131, 38
3504000/1136, 66
3504000/885, 217
3506/1, 1
3508/1, 233
351659/20, 1
3520000/1136, 20
3532/1, 317
3535/1, 2
3545/1, 1
3550000/224, 3
3550400/280, 4
356000/73, 17
3564/1, 1
3572/1, 365
3582/1, 27
3584/1, 157
3588096/605, 5
3591/1, 169
3600000/169, 4
3600000/213, 10
3613/1, 2
3622/1, 1
3629/1, 11
3634/1, 2
3636/1, 1
3637565/220, 1
3640889/225, 5
3640889/284, 1
3648/65538, 4
3648000/226, 24
3648000/237, 23
3648000/241, 327
3648000/287, 279
3648000/292, 31
3648000/956, 12
3658/1, 267
3675/1, 350
3676470/182, 3
3676470/183, 21
3676470/219, 5
3676471/183, 4
3686400/169, 1
3686400/213, 4
369863/27, 3
3699/1, 2
370297/13, 1
3703/1, 1752
3704/1, 460
3717120/169, 38
3732479/213, 1
3732480/169, 5
3732480/213, 12
3738000/212, 1
3742/1, 228
3744000/945, 110
3744000/958, 6406
3745/1, 7
3748800/169, 8
3750000/130, 6
3750000/220, 1
3762000/181, 10
3762000/215, 1
3762000/219, 3
3767/1, 3
3777777/183, 4
3777777/219, 5
3780/1, 13
3780095/156, 8
3780095/209, 1
3780750/141, 1
3780750/168, 8
3780922/131, 1
3780922/156, 9
3780922/168, 2
3780923/156, 1
3780923/168, 1
3781176/168, 3
3781176/210, 33
3796875/182, 5
3796875/183, 1
3796875/219, 2
3824/1, 1
3825000/169, 1
3827/1, 654
384000/97, 2
3840000/131, 1
3840000/156, 54
3840000/241, 1
3840000/244, 5
3840000/972, 31
3850666/170, 5
3850666/181, 214
3850666/215, 11
3850666/219, 16
3850667/181, 1
3871/1, 1
3872000/225, 2
3884/1, 443
3885120/181, 17
3885120/215, 7
3888000/168, 2
3888000/212, 3
3888000/225, 1
3888000/876, 577
3888000/877, 1065
390144/49, 6
3901500/169, 65
3901500/214, 14
3902111/260, 1
390814196/100000, 1
3916/1, 1
3916800/169, 8
3932/1, 78
3932160/224, 1
3936/1, 3
3936600/168, 11
3936600/212, 13
3948/1, 13
3963259/292, 1
3965760/169, 104
3965760/214, 2
3998144/3998144, 1
4000/1, 606
4000000/206, 3
4000000/243, 1
4000000/244, 109
4000000/291, 2
4000000/293, 2
4005818/182, 1
4009/1, 2
403098/100, 140
4032/1, 132
4032799/280, 5
4033/1, 280
4047/1, 17
4050000/182, 1
4051/1, 112
4058/1, 1
4061538/169, 1
4064/1, 12
4064000/1408, 126
4080000/1459, 14
4092/1, 2
40960/3, 1
4096000/208, 5
4107/1, 1
4110222/225, 5
4110222/286, 1
4125000/220, 2
4147200/283, 2
4177/1, 6
4189/1, 5
4191750/219, 6
419837/119, 1
4199040/283, 2
4211/1, 1
4229/1, 6
4232000/219, 17
4236/1, 365
4240/1, 3
4255/1, 1464
4259999/168, 5
4259999/210, 6
4260000/168, 4
4264/1, 1
4272000/878, 484
4272000/905, 16
4275000/215, 2
4275000/219, 3
4318/1, 1
4320000/181, 4
4320000/182, 5
4320000/183, 2
4320000/243, 3
4345199/260, 2
4348/1, 37
4355/1, 623
4362239/168, 1
4365474/182, 4
4368000/1415, 208
4369599/280, 2
4399/1, 1
4412/1, 4
4416000/292, 33
4418/1, 288
4423679/213, 1
4423680/168, 5
4423680/169, 66
4423680/213, 13
4432/1, 2
4442/1, 1537
4444/1, 1
444596913/100000, 7
4455/1, 2
446730592/32768, 2
4482/1, 418
4503/1, 7
4545/1, 535
4554/1, 605
4571/1, 1
4572/1, 63
4587/1, 1
4608000/169, 1
4608000/213, 11
4608000/225, 5
4608000/229, 1
4608000/242, 4
4629629/182, 11
4629629/183, 118
4629629/219, 14
4630/1, 2
4639/1, 2
4646400/169, 20
4653231/168, 4
4653623/168, 4
4653623/210, 15
4665600/168, 2
4665600/169, 9
4665600/213, 4
4678/1, 3
4686000/169, 4
4688/1, 55
4698/1, 3
4744/1, 1
4750/1, 19
4752000/894, 489
4777/1, 1
4781250/183, 32
4781250/219, 13
480000/-2147483648, 1
480000/117, 6
480000/131, 4
480000/132, 8
480000/135, 13
480000/141, 14
480000/145, 8
480000/155, 52
480000/156, 135
480000/158, 13
480000/168, 124
480000/169, 271
480000/170, 9
480000/171, 10
480000/181, 89
480000/182, 23
480000/183, 43
480000/189, 1
480000/209, 7
480000/210, 40
480000/212, 45
480000/213, 38
480000/214, 23
480000/215, 7
480000/219, 20
480000/228, 1
480000/260, 2
480000/61, 1
480000/85, 1
480000/95, 1
4800000/130, 17
4800000/155, 3
4800000/168, 11
4800000/169, 9
4800000/181, 9
4800000/213, 13
4800000/214, 2
4800000/215, 2
4800000/219, 9
4800000/220, 1
4811/1, 4
4815360/181, 6
4815360/215, 1
4815360/219, 3
4853/1, 72
4856400/181, 10
4856400/215, 3
4856400/219, 2
4860000/182, 1
4860000/183, 5
4860000/212, 7
4860000/219, 1
4873500/170, 8
4873500/181, 66
4873500/215, 14
4873500/219, 15
4878/1, 4
4882/1, 1
4896000/169, 15
4901961/244, 3
4902127/213, 1
4915200/131, 1
4915200/135, 1
4915200/156, 94
4915200/168, 7
4915200/209, 1
4920263/212, 5
4920750/168, 6
4920750/212, 2
4926/1, 67
4953/1, 1
4956160/225, 1
4957200/169, 5
4957200/214, 1
4958/1, 1
4976640/225, 2
4976640/284, 1
4993920/169, 104
4993920/214, 14
5008000/1420, 1
5010/1, 377
5017/1, 862
5027/1, 11
5030/1, 1
5040/1, 21
5040127/208, 1
5041568/280, 1
5064/1, 1
5076/1, 12
5077/1, 351
5103/1, 1
5128/1, 1
5134222/241, 1
5134222/287, 3
5182/1, 4
5183/1, 2
51837/10, 3
5184000/283, 1
5184000/905, 117
5184000/907, 27
5188/1, 1
5202000/225, 12
5202000/286, 2
5248800/283, 2
5263/1, 501
5280000/183, 1
5292/1, 424
5298/1, 97
5307/1, 1
5325600/168, 1
534232715/100000, 1
5365440/219, 2
5376/1, 1796
538624/224, 1
5387/1, 1
5400000/181, 2
5400000/182, 2
5400000/183, 1
5405/1, 1
5417/1, 1
5430648/260, 12
5472000/1436, 14
5529600/168, 4
5529600/169, 39
5529600/213, 8
5598720/171, 4
5616000/1459, 44
5626/1, 1
5632/1, 1
5642667/219, 30
5646/1, 68
5655273/182, 6
567799/107, 8
5678/1, 1
5679/1, 1
5679999/224, 1
5679999/280, 3
56800/7, 1
568066048/262144, 1
568888/169, 2
5712/1, 402
5714/1, 2013
578589/26, 1
5797/1, 11
5808000/169, 10
580840336/100000, 1
5812/1, 2
5832000/169, 7
5832000/213, 7
5846/1, 1
5849/1, 2
5859375/182, 3
5859375/183, 76
5859375/219, 13
5859375/220, 1
5882/1, 1
588235/183, 1
588274/61, 1
5888/1, 2
5892857/220, 1
5898240/225, 2
5952/1, 393
5975/1, 5
600000/91, 18
6019200/181, 5
6019200/219, 2
6029/1, 2
6049199/158, 1
6049199/168, 2
6049199/210, 52
6049200/168, 6
6055560/212, 4
6056306/168, 1
6056308/212, 1
6070500/181, 4
6070500/219, 1
607500/212, 1
6120000/183, 5
6120000/219, 1
612679/128, 20
6129/1, 4808
614399/156, 7
6144000/145, 1
6144000/169, 13
6144000/213, 9
6144000/214, 1
