ifdg_GPSImgDirection ,Count
10259/2167, 1
10259/645, 1
102597/1382, 1
10260/31, 1
10260/49, 1
102603/412, 1
102609/613, 1
10261/100, 1
10261/249, 1
10261/476, 1
10261/994, 1
102627/365, 1
102631/298, 1
10265/489, 1
102661/810, 1
102665/749, 1
102667/294, 1
102671/744, 1
10268/1007, 1
10268/467, 1
10268/47, 1
10269/460, 1
10269/47, 1
102698/393, 1
1027/5, 2
10270/69, 1
102703/288, 1
102709/475, 1
10271/100, 1
10271/43, 1
10271/593, 1
102718/577, 1
102722/435, 1
102726/389, 1
102729/872, 1
10273/520, 1
10273/85, 1
102743/410, 1
102745/336, 1
10275/100, 11
10275/254, 1
10275/652, 1
102760/543, 1
10277/1042, 1
102770/379, 1
102774/395, 1
10278/100, 1
102784/343, 1
102789/503, 1
10279/1089, 1
10279/422, 1
102813/386, 1
102817/291, 1
10282/109, 1
102824/811, 1
10283/72, 1
102842/2395, 1
10285/142, 1
10285/456, 1
102856/647, 1
10286/89, 1
102860/307, 1
102868/323, 1
102869/330, 1
10287/226, 1
102875/309, 1
10289/500, 1
102891/358, 1
10291/141, 1
10291/512, 1
102915/368, 1
102918/287, 1
102919/360, 1
102925/532, 1
10293/866, 1
102937/352, 1
10294/123, 1
10295/84, 1
102957/301, 1
102957/490, 1
102965/548, 1
102967/293, 1
10297/51, 1
102972/341, 1
102991/314, 1
103/1, 10
103/4, 1
1030/1799, 1
10300/100, 12
10300/481, 1
103002/311, 1
103026/379, 1
10303/432, 1
10304/45, 1
10304/73, 1
103043/360, 1
103044/725, 1
10305/136, 1
10305/61, 1
103052/333, 1
103053/377, 1
103063/410, 1
103068/347, 1
10307/831, 1
103078/359, 1
10309/29, 1
10309/529, 1
103097/351, 1
10310/100, 1
103101/659, 1
103107/409, 1
103109/390, 1
10311/32, 1
10312/41, 1
10313/1383, 1
10313/56, 2
103134/1165, 1
103137/409, 1
103149/664, 1
103154/385, 1
103165/684, 1
103169/295, 1
10317/65, 1
10317/67, 1
103176/439, 1
103179/298, 1
103183/327, 1
10319/446, 1
10319/471, 1
10319/55, 1
103201/579, 1
10321/100, 1
10321/284, 1
103219/1020, 1
10322/97, 1
103232/377, 1
10324/73, 1
103249/859, 1
10325/100, 6
10325/117, 1
103253/298, 1
1032589/7943, 1
103259/363, 1
10327/203, 1
103273/342, 1
103281/446, 1
1033/100, 1
10330/249, 1
10331/355, 1
103324/343, 1
10333/44, 1
103337/307, 1
103349/1962, 1
10335/163, 1
103350/479, 1
103351/440, 1
103358/513, 1
103368/353, 1
10337/212, 1
103372/1199, 1
103373/695, 1
10338/253, 1
10338/505, 1
103380/293, 1
103383/362, 1
10339/29, 1
103393/464, 1
10340/100, 2
103403/289, 1
10341/148, 1
103415/512, 1
10343/281, 1
10343/29, 1
10345/232, 1
10345/52, 1
10345/93, 1
103453/307, 1
10346/173, 1
10346/51, 1
10347/58, 1
10347/88, 1
103471/1307, 1
103471/323, 1
103472/441, 1
103474/321, 1
10348/101, 1
10350/100, 9
10350/49, 1
103505/338, 1
10351/68, 1
103514/305, 1
103520/609, 1
103529/1871, 1
10353/44, 2
10354/315, 1
103556/339, 1
103562/303, 1
103566/365, 1
103567/382, 1
10357/158, 1
103571/2278, 2
103571/486, 1
103574/315, 1
103585/289, 1
10359/37, 1
103597/1032, 1
10361/3619, 1
103613/1327, 1
103622/301, 1
103622/367, 1
103629/293, 1
10363/32, 1
103632/301, 1
103637/799, 1
10364/95, 1
103653/455, 1
103664/773, 1
10367/172, 1
10368/709, 1
103681/325, 1
103681/339, 1
103688/531, 1
10369/2715, 1
10369/50, 1
103691/449, 1
103699/361, 1
10370/467, 1
10370/87, 1
10371/244, 1
10371/67, 1
103721/558, 1
103723/290, 1
10373/146, 1
103730/381, 1
103731/295, 1
103734/305, 1
103737/341, 1
103745/827, 1
10375/100, 8
10375/138, 1
103753/300, 1
103758/385, 1
10377/203, 1
10377/58, 1
103775/297, 1
10378/269, 1
10378/93, 1
103792/329, 1
103793/352, 1
10380/463, 1
10381/31, 1
10381/418, 2
103813/379, 1
10382/75, 1
103827/2516, 1
10383/44, 1
10384/509, 1
10385/826, 1
1038575/5459, 1
10387/30, 1
103875/1816, 1
10388/885, 2
1039/2653, 1
1039/4, 1
10390/59, 1
103913/630, 1
103915/373, 1
103915/533, 1
10392/100, 1
10393/169, 1
10393/84, 2
103931/595, 1
103932/517, 1
10394/83, 1
10395/368, 1
10395/94, 1
103951/552, 1
10396/331, 1
103960/291, 1
10397/226, 1
10399/377, 1
103997/466, 1
104/1, 9
10400/100, 27
10400/121, 1
10400/207, 1
104007/1051, 1
104007/446, 1
104009/355, 1
104009/375, 1
104011/289, 2
10402/519, 1
104023/627, 1
104027/325, 1
104037/544, 1
104039/289, 1
104049/307, 1
10405/1076, 1
10405/53, 1
104065/292, 1
10407/100, 1
10407/361, 1
10408/100, 2
104081/645, 1
104087/300, 1
1041/100, 1
1041/4, 1
104101/592, 1
104107/352, 1
104107/436, 1
10411/100, 1
10411/127, 1
104111/311, 1
104116/343, 1
104119/916, 1
104123/608, 1
104128/305, 1
104133/293, 1
104143/385, 1
104143/401, 1
104146/1135, 1
10415/264, 1
104150/297, 1
104161/344, 1
104167/457, 1
104182/347, 1
104185/487, 1
104207/394, 1
104209/300, 1
10422/145, 1
104221/447, 1
104224/373, 1
104227/654, 1
10423/437, 1
10424/100, 1
10424/685, 1
104247/593, 1
10425/100, 4
10425/167, 1
104264/409, 1
104269/672, 1
104279/653, 1
10429/156, 1
10429/38, 1
104294/293, 1
104299/311, 1
1043/5, 1
10430/33, 1
10430/533, 1
10431/119, 1
10431/398, 1
10432/517, 1
104328/365, 1
10433/1573, 1
10433/302, 1
104335/509, 2
10435/100, 1
104353/371, 1
104359/372, 1
104365/294, 1
104369/297, 1
10438/73, 1
104387/474, 1
10440/103, 1
104403/625, 1
10441/113, 1
10441/141, 1
104414/329, 1
104428/383, 1
104435/506, 1
10444/100, 1
10444/191, 1
10445/1254, 1
104453/301, 1
104459/418, 1
10446/85, 1
10447/318, 1
10447/94, 1
104471/310, 1
104476/739, 1
10448/1757, 1
10449/103, 1
104498/445, 1
10450/100, 11
104501/371, 1
104503/297, 1
10451/346, 1
104512/337, 1
10452/233, 1
10452/667, 1
10453/40, 1
10453/46, 1
10453/577, 1
104533/681, 1
104537/513, 1
10457/32, 1
10457/69, 1
10457/71, 1
104576/353, 1
10458/871, 1
1045845/4096, 1
10459/124, 1
10459/175, 1
10459/774, 1
10460/77, 1
10461/76, 1
10461/802, 1
10462/163, 1
10463/104, 1
10463/184, 1
10463/69, 1
104631/299, 1
104639/563, 1
104650/627, 1
104662/355, 1
10467/193, 2
104677/457, 1
104681/321, 1
104684/369, 1
104689/597, 1
10469/455, 1
10469/660, 1
104696/1159, 1
104699/410, 1
10470/49, 1
104701/438, 1
10471/87, 1
104717/1262, 1
104719/311, 1
104721/371, 1
104725/741, 1
104727/298, 1
10473/1921, 1
104732/2145, 1
104734/613, 1
104739/323, 1
10474/105, 1
104746/535, 2
10475/100, 8
10475/243, 1
104756/933, 1
1047636/3275, 1
10477/238, 1
10477/45, 1
104775/421, 1
104781/655, 1
10479/32, 1
104801/442, 1
104813/735, 1
104818/457, 1
104821/415, 1
10483/801, 1
104833/1037, 1
104846/625, 1
10486/103, 1
104868/313, 1
10487/1565, 1
10487/33, 1
10487/52, 1
10487/95, 1
104871/422, 1
104874/761, 1
104875/339, 1
104879/292, 1
10488/49, 1
104885/328, 1
104887/301, 1
1048876/4679, 1
104893/585, 1
1049/45, 1
10490/247, 1
10491/64, 1
104912/347, 1
104919/485, 1
10493/33, 1
10493/40, 1
104935/427, 1
104948/353, 1
10495/208, 1
10496/51, 1
104969/627, 1
10497/127, 1
10497/32, 1
10497/485, 1
104971/720, 1
104977/424, 1
10498/119, 1
10498/93, 1
104983/375, 1
104987/300, 1
10499/161, 1
104992/397, 1
105/1, 8
1050/100, 6
10500/100, 23
105004/359, 1
10501/94, 1
10502/141, 1
10502/31, 1
105029/438, 1
10503/56, 2
10504/309, 1
10504/673, 1
105041/480, 1
105044/327, 1
105049/309, 1
10505/332, 1
10506/95, 1
105065/312, 1
105068/727, 1
10507/3114, 1
10507/642, 1
10508/35, 1
10509/100, 1
1051/4, 1
1051/92, 1
10510/71, 1
105106/455, 1
10511/315, 1
105128/817, 1
10513/625, 1
105136/475, 1
105139/656, 1
10514/117, 1
10515/34, 1
10515/44, 1
10517/81, 1
105179/420, 1
105187/334, 1
105187/343, 1
10519/112, 1
10519/146, 3
