marker_order ,Count
1:2:13:13:13:13:13:13:13:13:13:13:13:3:4:5:6:7, 1
1:2:13:13:13:13:13:13:13:13:13:3:4:5:6:7, 6
1:2:13:13:13:13:13:13:13:13:13:3:5:9:4:6:7, 7
1:2:13:13:13:13:13:13:13:13:3:4:5:6:7, 15
1:2:13:13:13:13:13:13:13:13:3:5:9:4:6:7, 37
1:2:13:13:13:13:13:13:13:3:3:4:5:5:5:5:6:7, 1
1:2:13:13:13:13:13:13:13:3:4:5:6:7, 38
1:2:13:13:13:13:13:13:13:3:5:4:6:7, 1
1:2:13:13:13:13:13:13:13:3:5:9:4:6:7, 66
1:2:13:13:13:13:13:13:3:3:4:5:5:5:5:6:7, 5
1:2:13:13:13:13:13:13:3:4:5:6:7, 79
1:2:13:13:13:13:13:13:3:5:4:6:7, 21
1:2:13:13:13:13:13:13:3:5:9:4:6:7, 82
1:2:13:13:13:13:13:3:4:5:6:7, 197
1:2:13:13:13:13:13:3:5:4:6:7, 70
1:2:13:13:13:13:13:3:5:9:4:6:7, 4
1:2:13:13:13:13:13:5:4:3:6:7, 2
1:2:13:13:13:13:3:3:4:5:5:5:5:6:7, 1
1:2:13:13:13:13:3:4:5:6:7, 576
1:2:13:13:13:13:3:4:5:9:6:7, 9
1:2:13:13:13:13:3:5:4:6, 1
1:2:13:13:13:13:3:5:4:6:7, 411
1:2:13:13:13:13:3:5:9:4:6:7, 2
1:2:13:13:13:13:5:3:9:4:6:7, 89
1:2:13:13:13:13:5:4:3:6:7, 7
1:2:13:13:13:14:14:14:14:14:14:14:14:14:14:14:14:14:14:3:5:5:5:5:4:9:6:7, 3
1:2:13:13:13:14:14:14:14:14:14:14:14:14:14:14:14:14:3:5:4:6:7, 7
1:2:13:13:13:14:14:14:14:14:14:14:14:14:14:14:14:14:3:5:5:5:5:4:9:6:7, 142
1:2:13:13:13:14:14:14:14:14:14:14:14:14:14:14:14:3:5:5:5:5:4:9:6:7, 12
1:2:13:13:13:14:14:14:14:14:14:14:14:14:14:14:3:5:4:6:7, 10
1:2:13:13:13:14:14:14:14:14:14:14:14:14:14:14:3:5:5:5:5:4:9:6:7, 257
1:2:13:13:13:3:3:3:4:5:5:5:5:6:7, 64
1:2:13:13:13:3:3:4:5:5:5:5:6:7, 112
1:2:13:13:13:3:4:5:6:7, 562
1:2:13:13:13:3:4:5:9:6:7, 10
1:2:13:13:13:3:5:4:6, 2
1:2:13:13:13:3:5:4:6:6, 1
1:2:13:13:13:3:5:4:6:7, 1287
1:2:13:13:13:3:5:5:5:5:4:9:6, 1
1:2:13:13:13:3:5:5:5:5:4:9:6:7, 1385
1:2:13:13:13:3:9:4:5:6:7, 10
1:2:13:13:13:5:3:9:4:6:6, 8
1:2:13:13:13:5:3:9:4:6:7, 341
1:2:13:13:3:3:3:4:5:5:5:5:6:7, 4
1:2:13:13:3:3:4:5:5:5:5:6:7, 1
1:2:13:13:3:3:5:4:6:7, 1
1:2:13:13:3:4:5:6:7, 1587
1:2:13:13:3:5:4:6, 5
1:2:13:13:3:5:4:6:7, 1577
1:2:13:13:3:5:4:9:6:7, 204
1:2:13:13:3:9:4:5:6:7, 20
1:2:13:13:4:3:5:11:6:6, 1
1:2:13:13:4:3:5:11:6:7, 11
1:2:13:13:5:3:9:4:6:7, 5
1:2:13:14:15:3:3:4:5:5:5:5:6:7, 36
1:2:13:3:3:4:5:5:5:5:6:7, 154
1:2:13:3:3:4:5:5:5:5:9:6:7, 11
1:2:13:3:3:5:5:5:5:4:6:7, 9
1:2:13:3:4:5:6:7, 1391
1:2:13:3:4:9:5:6:7, 21
1:2:13:3:5:4:6:7, 983
1:2:13:3:5:5:5:5:4:6:7, 9
1:2:13:3:9:4:5:6:7, 1
1:2:13:3:9:5:4:6:7, 99
1:2:13:4:3:5:11:6:7, 8
1:2:13:5:3:4:6:7, 655
1:2:14:14:14:3:4:5:6:7, 62
1:2:14:14:14:8:3:3:4:9:5:5:5:5:6:7, 1
1:2:14:14:3:4:5:6:7, 121
1:2:14:14:3:9:5:4:6:7, 1
1:2:14:14:8:3:3:4:9:5:5:5:5:6:7, 4
1:2:14:15:16:17:3:3:4:5:5:5:5:6:7, 526
1:2:14:15:16:3:3:4:5:5:5:5:6:7, 43
1:2:14:15:3:3:4:5:5:5:5:6:7, 1
1:2:14:15:3:4:5:6:7, 148
1:2:14:15:3:9:5:4:6:7, 172
1:2:14:3:3:4:5:5:5:5:6:7, 41
1:2:14:3:4:5:6:7, 15
1:2:14:3:5:4:6:7, 21
1:2:14:3:9:5:4:6:7, 589
1:2:14:8:3:3:4:5:5:5:5:6:7, 48
