ifds_CompressedBitsPerPixel ,Count
10164520/5038848, 1
10164656/5038848, 1
10165040/4085760, 1
10165104/5038848, 1
10165208/5038848, 1
10165368/4085760, 1
10165408/5038848, 1
10165536/5038848, 2
10165728/5038848, 1
10165752/5038848, 1
10165912/5038848, 1
10166056/5038848, 1
10166216/5038848, 1
1016624/786432, 1
10166352/5038848, 1
10166360/5038848, 1
10166432/5038848, 1
10166464/5038848, 1
10166576/5038848, 1
10166968/5038848, 1
10167048/5038848, 1
1016712/307200, 1
10167184/5038848, 1
10167248/5038848, 1
10167376/5038848, 1
10167448/5038848, 1
10167744/5038848, 1
10168432/5038848, 1
10168448/5038848, 1
10168648/5038848, 1
10168808/5038848, 1
10168848/5038848, 1
10168856/5038848, 1
10169152/5038848, 1
10169440/5038848, 1
10169768/4085760, 1
10170032/5038848, 2
10170176/5038848, 1
10170344/5038848, 1
10170440/4085760, 1
10170624/5038848, 1
10170736/5038848, 1
10171440/2556928, 1
10171632/4085760, 1
10171648/4085760, 1
10171944/5038848, 1
10171984/5038848, 1
10172008/4085760, 1
10172024/5038848, 1
10172472/5038848, 1
10172480/5038848, 1
10173392/5038848, 1
10173400/5038848, 1
10173840/5038848, 1
10173896/5038848, 1
10173928/5038848, 1
10174144/5038848, 1
10174152/5038848, 1
10174472/5038848, 1
10174560/3871488, 1
1017464/786432, 1
10174736/13996800, 1
10174752/5038848, 1
10174880/3981312, 1
10174888/5038848, 1
10174976/4085760, 1
10174992/5038848, 1
10175152/4085760, 1
10175160/5038848, 1
1017520/786432, 1
10175280/5038848, 1
10175360/5038848, 1
10175768/5038848, 1
10175800/5038848, 1
10176152/5038848, 1
10176472/5038848, 1
10176504/5038848, 2
10176784/5038848, 1
10176840/5038848, 1
10177024/5038848, 1
10177536/5038848, 1
10177856/5038848, 1
10177936/7077888, 1
10178104/5038848, 1
10178184/5038848, 1
10178264/5038848, 1
10178336/5038848, 1
1017848/786432, 1
10178584/5038848, 1
10178792/5038848, 1
10179224/5038848, 1
10179240/5038848, 1
10179352/7990272, 1
10179488/5038848, 1
10179544/5038848, 1
10179704/5038848, 1
10180000/3981312, 1
10180120/5038848, 1
10180144/7485696, 1
10180320/7485696, 1
10180520/5038848, 1
10180528/5038848, 1
10180688/5038848, 1
10180744/5038848, 1
10180856/5038848, 1
10180912/5038848, 1
10181304/5038848, 1
10181824/4085760, 1
10182112/5038848, 1
10182360/5038848, 1
10182376/5038848, 1
10182744/5038848, 1
10182856/4085760, 1
10183456/5038848, 1
1018384/786432, 1
10183840/5038848, 1
10183888/4085760, 1
10183912/5038848, 1
10183944/5038848, 1
10184064/4085760, 1
10184080/5038848, 1
10184096/5038848, 1
10184136/5038848, 1
1018424/786432, 1
10184480/7990272, 1
10184488/5038848, 1
10184576/4085760, 1
10184944/5038848, 1
10184976/5038848, 1
10185000/5038848, 1
10185032/5038848, 1
10185488/5038848, 1
10185576/5038848, 1
10185584/5038848, 1
10185704/5038848, 1
10185808/5038848, 1
10185960/5038848, 1
10185968/5038848, 2
1018600/786432, 1
10186040/5038848, 1
10186176/5038848, 1
1018624/786432, 1
10186296/5038848, 1
10186352/5038848, 1
10186448/5038848, 1
10186472/5038848, 1
10186480/5038848, 1
10186608/5038848, 1
10186856/5038848, 1
10186920/5038848, 1
1018696/786432, 1
10187040/5038848, 1
10187192/5038848, 1
10187432/5038848, 1
10187456/5038848, 1
1018760/786432, 1
10187768/1920000, 1
10187952/5038848, 1
10188496/5038848, 1
10188640/5038848, 1
10188648/5038848, 1
10188944/5038848, 1
10189248/4085760, 1
10189456/5038848, 1
10190304/5038848, 1
10190336/5038848, 1
10190416/4915200, 1
10190496/4085760, 1
10190640/5038848, 1
10191152/5038848, 1
10192112/5038848, 1
10192384/5038848, 1
10192472/5038848, 1
10192544/5038848, 1
10192816/5038848, 1
10192904/5038848, 2
10192952/5038848, 1
10193056/3981312, 1
10193448/5038848, 1
10193480/5038848, 1
10193488/5038848, 1
10193728/5038848, 1
10193800/5038848, 1
10194024/5038848, 1
10194568/5038848, 1
10194640/5038848, 1
10194656/5038848, 1
10194984/5038848, 1
10195176/5038848, 1
10195272/7485696, 1
10195296/5038848, 1
10195304/5038848, 1
10195560/5038848, 1
10195664/5038848, 1
10195672/5038848, 1
10195776/5038848, 1
10195944/9980928, 2
10195976/5038848, 1
10196208/5038848, 1
10196448/5038848, 1
10196568/5038848, 1
10196728/5038848, 1
10196784/5038848, 1
10196816/5038848, 1
10196824/5038848, 1
10196928/5038848, 1
10197040/5038848, 1
10197072/5038848, 1
10197424/5038848, 1
10197792/5038848, 1
10197832/5038848, 1
1019818/393216, 1
10198368/5038848, 1
10198448/7485696, 1
10198480/5038848, 1
10198680/5038848, 1
10198760/5038848, 1
10198800/7485696, 1
10199072/5038848, 1
10199448/5038848, 1
10199464/4085760, 1
10199752/5038848, 1
10199888/5038848, 1
10200024/5038848, 1
10200144/5038848, 1
10200296/5038848, 1
10200328/5038848, 1
10200648/3981312, 1
10200680/7077888, 1
10200712/5038848, 1
10201080/5038848, 1
10201160/5038848, 1
10202032/5038848, 1
10202080/5038848, 1
10202176/3981312, 1
10202184/5038848, 1
10202200/5038848, 1
10202360/9674496, 1
10202424/5038848, 1
10202600/7077888, 1
10202936/5038848, 1
10203072/5038848, 1
10203136/5038848, 1
10203256/5038848, 1
10203312/5038848, 1
10203544/5038848, 1
10203616/5038848, 1
10203744/5038848, 1
10203872/5038848, 1
10203888/5038848, 1
10204088/5038848, 1
10204384/5038848, 1
10204464/5038848, 1
10204680/5038848, 1
10204712/5038848, 1
10204728/4085760, 1
10204888/5038848, 1
10205184/5038848, 1
10205296/5038848, 1
10205600/5038848, 1
10205696/5038848, 1
10205720/5038848, 1
10205800/5038848, 1
10205952/5038848, 1
10206120/5038848, 1
10206288/5038848, 1
10206328/5038848, 1
