ifdg_GPSAltitude ,Count
0:37:19.36, 1
0:37:1980.00, 1
0:37:2.00, 1
0:37:2.12, 1
0:37:22.89, 2
0:37:27.00, 1
0:37:27.47, 1
0:37:28.04, 1
0:37:29.00, 1
0:37:30.00, 1
0:37:32.11, 1
0:37:33.44, 1
0:37:35.96, 1
0:37:3879.00, 1
0:37:4197.00, 3
0:37:43.00, 1
0:37:46.00, 1
0:37:4779.00, 1
0:37:48.00, 2
0:37:49.57, 1
0:37:59.00, 1
0:37:6.37, 1
0:37:7.00, 1
0:38:11.45, 1
0:38:12.22, 1
0:38:12.89, 1
0:38:13.07, 1
0:38:13.39, 1
0:38:15.00, 1
0:38:15.31, 1
0:38:16.00, 1
0:38:17.06, 1
0:38:2.00, 4
0:38:20.88, 1
0:38:26.00, 1
0:38:27.37, 1
0:38:29.00, 1
0:38:29.29, 1
0:38:3.00, 1
0:38:3.14, 1
0:38:35.43, 1
0:38:36.00, 1
0:38:37.63, 1
0:38:37.64, 1
0:38:39.04, 1
0:38:46.50, 1
0:38:48.24, 1
0:38:48.50, 1
0:38:51.00, 1
0:38:53.00, 1
0:38:57.81, 1
0:38:57.85, 1
0:38:57.98, 1
0:38:58.60, 1
0:38:59.84, 1
0:39:0.91, 1
0:39:1185.00, 2
0:39:13.91, 1
0:39:14.31, 1
0:39:14.60, 1
0:39:17.00, 2
0:39:18.01, 1
0:39:2.37, 1
0:39:20.10, 1
0:39:2136.00, 1
0:39:23.00, 1
0:39:24.32, 2
0:39:25.05, 1
0:39:25.22, 1
0:39:26.00, 1
0:39:26.32, 1
0:39:29.00, 1
0:39:3.37, 1
0:39:30.16, 1
0:39:31.57, 1
0:39:32.07, 1
0:39:32.26, 1
0:39:32.56, 1
0:39:35.00, 1
0:39:36.57, 1
0:39:37.00, 1
0:39:38.00, 1
0:39:39.00, 1
0:39:42.75, 1
