ifdg_GPSLongitude ,Count
0 deg 11 35.229, 1
0 deg 11 35.400, 3
0 deg 11 36.000, 1
0 deg 11 36.600, 1
0 deg 11 37.200, 1
0 deg 11 37.800, 2
0 deg 11 38.400, 3
0 deg 11 39.000, 1
0 deg 11 39.345, 1
0 deg 11 39.600, 5
0 deg 11 4.512, 2
0 deg 11 4.600, 1
0 deg 11 40.200, 7
0 deg 11 40.800, 5
0 deg 11 42.000, 6
0 deg 11 42.600, 9
0 deg 11 43.800, 2
0 deg 11 44.400, 6
0 deg 11 44.460, 1
0 deg 11 44.660, 1
0 deg 11 45.000, 1
0 deg 11 46.200, 1
0 deg 11 46.358, 1
0 deg 11 46.611, 4
0 deg 11 46.733, 2
0 deg 11 46.800, 1
0 deg 11 48.000, 3
0 deg 11 48.114, 1
0 deg 11 48.120, 4
0 deg 11 48.271, 1
0 deg 11 48.302, 1
0 deg 11 48.600, 1
0 deg 11 49.200, 1
0 deg 11 49.800, 1
0 deg 11 5.903, 1
0 deg 11 50.047, 1
0 deg 11 50.400, 1
0 deg 11 51.000, 1
0 deg 11 51.600, 9
0 deg 11 51.905, 3
0 deg 11 52.058, 1
0 deg 11 52.200, 2
0 deg 11 52.227, 1
0 deg 11 52.262, 1
0 deg 11 52.267, 5
0 deg 11 52.628, 1
0 deg 11 52.800, 1
0 deg 11 53.095, 1
0 deg 11 53.400, 1
0 deg 11 53.630, 1
0 deg 11 54.000, 1
0 deg 11 54.520, 1
0 deg 11 54.600, 6
0 deg 11 54.900, 1
0 deg 11 55.040, 1
0 deg 11 55.800, 1
0 deg 11 56.339, 1
0 deg 11 56.400, 1
0 deg 11 57.000, 4
0 deg 11 58.058, 1
0 deg 11 58.200, 3
0 deg 11 58.390, 1
0 deg 11 58.534, 1
0 deg 11 58.540, 1
0 deg 11 58.573, 1
0 deg 11 58.606, 1
0 deg 11 58.627, 1
0 deg 11 58.638, 1
0 deg 11 58.800, 3
0 deg 11 58.830, 1
0 deg 11 58.860, 2
0 deg 11 59.230, 1
0 deg 11 59.317, 1
0 deg 11 59.397, 1
0 deg 11 59.400, 3
0 deg 11 59.405, 1
0 deg 11 59.455, 1
0 deg 11 59.456, 1
0 deg 11 59.648, 1
0 deg 11 59.786, 1
0 deg 11 6.000, 1
0 deg 11 7.200, 2
0 deg 11 7.890, 1
0 deg 12 0.000, 2
0 deg 12 0.243, 1
0 deg 12 0.331, 1
0 deg 12 0.406, 1
0 deg 12 0.615, 1
0 deg 12 0.749, 1
0 deg 12 0.764, 1
0 deg 12 0.926, 1
0 deg 12 1.366, 1
0 deg 12 1.800, 12
0 deg 12 1.905, 1
0 deg 12 10.200, 3
0 deg 12 10.800, 2
0 deg 12 11.400, 1
0 deg 12 12.600, 1
0 deg 12 13.200, 3
0 deg 12 13.245, 2
0 deg 12 15.000, 3
0 deg 12 15.790, 1
0 deg 12 15.900, 1
0 deg 12 16.200, 3
0 deg 12 16.800, 1
0 deg 12 17.696, 1
0 deg 12 18.260, 1
0 deg 12 18.300, 1
0 deg 12 19.800, 1
0 deg 12 2.296, 1
0 deg 12 2.360, 1
0 deg 12 2.964, 1
0 deg 12 21.000, 1
0 deg 12 21.600, 1
0 deg 12 21.960, 1
0 deg 12 22.200, 2
0 deg 12 23.064, 1
0 deg 12 23.400, 1
0 deg 12 23.583, 1
0 deg 12 23.620, 1
0 deg 12 23.690, 1
0 deg 12 23.870, 1
0 deg 12 24.000, 2
0 deg 12 24.584, 1
0 deg 12 24.900, 1
0 deg 12 25.070, 1
0 deg 12 26.500, 1
0 deg 12 26.864, 1
0 deg 12 27.930, 1
0 deg 12 28.200, 1
0 deg 12 29.110, 1
0 deg 12 29.400, 1
0 deg 12 3.000, 2
0 deg 12 3.088, 1
0 deg 12 3.327, 1
0 deg 12 3.355, 1
0 deg 12 3.600, 2
0 deg 12 30.000, 2
0 deg 12 30.600, 3
0 deg 12 31.560, 1
0 deg 12 31.800, 1
0 deg 12 32.400, 1
0 deg 12 33.000, 2
0 deg 12 34.200, 25
0 deg 12 36.600, 1
0 deg 12 36.750, 1
0 deg 12 37.200, 3
0 deg 12 38.400, 2
0 deg 12 39.000, 2
