ifd0_bit ,Count
111111101000010011000001111, 46
111111101000010011000100000, 1
111111101000010011100000000, 2
111111101000010110000000000, 6183
111111101000010110000000111, 48
111111101000010111000000000, 406
111111101000011010000001111, 5
111111101000110111000000000, 39
111111101011110010000000000, 46
111111101011110110000000000, 18
111111101100010010000000000, 192
111111101100010110000000000, 33
111111101100010111000000000, 180
111111101100010111000100000, 2
111111101111110110000000000, 1
111111110000010010000000000, 143
111111110000010110000000000, 228
111111110100010000100000000, 18
111111110100010001100000000, 21
111111110100010011100000000, 5
111111110100010111000000000, 1
111111111000000010000000000, 8
111111111000000011000000000, 13
111111111000010010000000000, 190792
111111111000010010000000111, 4
111111111000010010000001111, 624
111111111000010010000100000, 15
111111111000010010001001111, 2
111111111000010010011000111, 3
111111111000010010100000000, 3
111111111000010010100010000, 1
111111111000010011000000000, 24938
111111111000010011000001111, 227
111111111000010110000000000, 39523
111111111000010110000000001, 1
111111111000010110000000111, 24
111111111000010110000001000, 1
111111111000010110000100000, 5
111111111000010110110011111, 5
111111111000010111000000000, 77
111111111000011010000000000, 140
111111111011110010000000000, 6304
111111111011110011000000000, 638
111111111011110110000000000, 46
111111111011111010000000000, 11
111111111011111110000000000, 2
111111111100000010000000000, 28
111111111100010000100000000, 1
111111111100010001100000000, 1
111111111100010010000000000, 9
111111111100010011000000000, 178
111111111100010011111110111, 4
111111111100010110000000000, 10163
111111111100010110000000110, 1
111111111100010110000001111, 1
111111111100010110000100000, 40
111111111100010110001000000, 1
111111111100010111000000000, 3645
111111111111110110000000000, 516
111111111111110111000000000, 15
