ifd0_ExifOffset ,Count
@ 0x3DCF, 1
@ 0x3E65, 1
@ 0x3F40, 1
@ 0x3FCB, 1
@ 0x4074, 1
@ 0x40A6, 1
@ 0x40F0, 2
@ 0x40F9, 1
@ 0x4110, 151
@ 0x4130, 504
@ 0x4162, 124
@ 0x41B0, 55
@ 0x42B0, 10
@ 0x4309, 1
@ 0x433C, 1
@ 0x433D, 1
@ 0x434F, 1
@ 0x43A9, 1
@ 0x43BD, 1
@ 0x43F6, 1
@ 0x4402, 1
@ 0x4411, 1
@ 0x4441, 1
@ 0x4461, 1
@ 0x44B1, 1
@ 0x44DD, 1
@ 0x450C, 1
@ 0x4587, 1
@ 0x45A9, 1
@ 0x4623, 1
@ 0x4668, 1
@ 0x4A17, 1
@ 0x4A62, 1
@ 0x4A81, 1
@ 0x4AA4, 1
@ 0x4ADB, 1
@ 0x4B04, 1
@ 0x4B95, 1
@ 0x4C34, 1
@ 0x4C3D, 2
@ 0x4C5F, 1
@ 0x4CC2, 1
@ 0x4CDB, 1
@ 0x4CDF, 5
@ 0x4D40, 1
@ 0x4D51, 2
@ 0x4D72, 1
@ 0x4DC3, 1
@ 0x4DF5, 1
@ 0x4EB2, 1
@ 0x4EB9, 1
@ 0x4ED5, 1
@ 0x4F71, 1
@ 0x5000, 1
@ 0x510E, 1
@ 0x512E, 1
@ 0x5226, 1
@ 0x52D1, 1
@ 0x5302, 1
@ 0x534D, 1
@ 0x5367, 1
@ 0x5505, 1
@ 0x557D, 1
@ 0x5643, 1
@ 0x56E9, 1
@ 0x5891, 1
@ 0x5897, 2
@ 0x58CD, 1
@ 0x594F, 1
@ 0x5A36, 1
@ 0x5AE0, 1
@ 0x5B1B, 1
@ 0x5B55, 1
@ 0x5C1F, 1
@ 0x5D4F, 1
@ 0x5DB2, 1
@ 0x5DE1, 1
@ 0x5E0D, 1
@ 0x5E13, 1
@ 0x5FE4, 1
@ 0x5FF6, 22
@ 0x5FFC, 1
@ 0x6021, 1
@ 0x6288, 1
@ 0x63BE, 1
@ 0x64E0, 1
@ 0x6523, 1
@ 0x66C2, 1
@ 0x685F, 1
@ 0x6862, 1
@ 0x68D8, 1
@ 0x6A96, 191
@ 0x6CBE, 1
@ 0x6E35, 1
@ 0x6EA9, 1
@ 0x6EBA, 1
@ 0x6F7E, 1
@ 0x6F96, 1
@ 0x7080, 1
@ 0x71CC, 1
@ 0x71EA, 1
@ 0x73B2, 1
@ 0x74B2, 1
@ 0x75F2, 1
@ 0x75F6, 1
@ 0x760C, 1
@ 0x7667, 1
@ 0x7730, 1
@ 0x77E7, 1
@ 0x7821, 1
@ 0x7CC1, 1
@ 0x7D3D, 1
@ 0x7DAD, 1
@ 0x7EE9, 1
@ 0x7EF5, 1
@ 0x83FE, 1
@ 0x842C, 1
@ 0x846E, 1
@ 0x849A, 1
@ 0x84BC, 1
@ 0x851E, 1
@ 0x862D, 1
@ 0x86E1, 1
@ 0x87BC, 1
@ 0x88CB, 1
@ 0x88EA, 1
@ 0x890C, 4
@ 0x896F, 1
@ 0x8988, 1
@ 0x8ACC, 1
@ 0x8B4C, 1
@ 0x8B99, 1
@ 0x8C18, 1
@ 0x8D84, 1
@ 0x8E02, 1
@ 0x8E1C, 1
@ 0x8F04, 1
@ 0x8FFE, 1
@ 0x9128, 1
@ 0x918D, 1
@ 0x9206, 1
@ 0x9295, 1
@ 0x932E, 1
@ 0x934C, 1
@ 0x93B8, 1
@ 0x941C, 1
@ 0x949E, 1
@ 0x94E2, 1
@ 0x9580, 1
@ 0x9636, 1
@ 0x972E, 1
@ 0x9778, 1
@ 0x9784, 1
@ 0x981D, 1
@ 0x9846, 1
@ 0x98C8, 1
@ 0x98EA, 1
@ 0x9A0D, 1
@ 0x9A1A, 1
@ 0x9A81, 1
@ 0x9AE3, 1
@ 0x9B46, 1
@ 0x9B8C, 1
@ 0x9C50, 1
@ 0x9C81, 1
@ 0x9CB8, 1
@ 0x9CE2, 1
@ 0x9D35, 1
@ 0x9D7A, 1
@ 0x9D82, 1
@ 0x9DD2, 1
@ 0x9DE2, 1
@ 0x9E2A, 1
@ 0x9E32, 1
@ 0x9F14, 1
@ 0x9F92, 1
@ 0xA044, 1
@ 0xA06A, 1
@ 0xA086, 1
@ 0xA09E, 1
@ 0xA0A6, 1
@ 0xA0DE, 1
@ 0xA10E, 1
@ 0xA156, 1
@ 0xA16C, 1
@ 0xA185, 1
@ 0xA1CA, 1
@ 0xA246, 1
@ 0xA2B2, 1
@ 0xA2BE, 1
@ 0xA316, 1
@ 0xA329, 1
@ 0xA334, 1
@ 0xA336, 1
@ 0xA346, 1
@ 0xA350, 1
@ 0xA376, 1
@ 0xA3E8, 1
@ 0xA3EA, 1
@ 0xA3EC, 1
@ 0xA3ED, 1
@ 0xA408, 1
@ 0xA446, 1
@ 0xA491, 1
@ 0xA4CC, 1
@ 0xA4E6, 1
@ 0xA4EA, 1
@ 0xA509, 1
@ 0xA530, 1
@ 0xA559, 1
@ 0xA5A8, 1
@ 0xA5BC, 1
@ 0xA5F8, 1
@ 0xA5FA, 1
@ 0xA600, 1
@ 0xA622, 1
@ 0xA672, 1
@ 0xA6CE, 1
@ 0xA70E, 1
@ 0xA710, 1
@ 0xA782, 1
@ 0xA7C4, 1
@ 0xA7CA, 1
@ 0xA7DE, 1
@ 0xA7E9, 1
@ 0xA7EA, 1
@ 0xA812, 1
@ 0xA88E, 1
@ 0xA8EC, 1
@ 0xA8FE, 1
@ 0xA91E, 1
@ 0xA958, 1
@ 0xA9CA, 1
@ 0xA9F8, 1
@ 0xA9FC, 116
@ 0xAA07, 1
@ 0xAA0E, 1
@ 0xAA5E, 1
@ 0xAA64, 1
@ 0xAADD, 1
@ 0xAAFE, 1
@ 0xAB1E, 1
@ 0xAB6E, 1
@ 0xAB9D, 1
@ 0xABCC, 1
@ 0xAC16, 1
@ 0xAC6E, 1
@ 0xACBE, 1
@ 0xACCE, 1
@ 0xACF2, 1
@ 0xACFE, 1
@ 0xAD00, 1
@ 0xAD38, 2
@ 0xAD42, 1
@ 0xAD70, 2
@ 0xAD78, 1
@ 0xAD82, 1
@ 0xADAC, 1
@ 0xADC4, 1
@ 0xADE0, 1
@ 0xAE04, 1
@ 0xAE0E, 1
@ 0xAE4A, 1
@ 0xAE62, 2
@ 0xAF02, 2
@ 0xAF42, 1
@ 0xAF48, 1
@ 0xAF4A, 1
@ 0xAF7E, 1
@ 0xAF98, 1
@ 0xAFB8, 1
@ 0xAFFE, 1
@ 0xB04E, 1
@ 0xB072, 1
@ 0xB080, 1
@ 0xB088, 1
@ 0xB09E, 1
@ 0xB0B6, 1
@ 0xB0F4, 1
@ 0xB117, 1
@ 0xB126, 1
@ 0xB129, 1
@ 0xB14E, 1
@ 0xB158, 1
@ 0xB186, 1
@ 0xB1AE, 1
@ 0xB1D8, 1
@ 0xB1DD, 1
@ 0xB1F6, 1
@ 0xB204, 1
@ 0xB20A, 1
@ 0xB268, 1
@ 0xB296, 1
@ 0xB2C6, 1
@ 0xB2D2, 1
@ 0xB2FF, 1
@ 0xB35A, 1
@ 0xB372, 1
@ 0xB3A8, 1
@ 0xB3B4, 1
@ 0xB3F8, 1
@ 0xB418, 1
@ 0xB454, 2
@ 0xB455, 1
@ 0xB45A, 1
@ 0xB48C, 1
@ 0xB4BD, 1
@ 0xB4E4, 1
@ 0xB4E6, 1
@ 0xB4F4, 1
@ 0xB552, 1
@ 0xB554, 1
@ 0xB572, 1
@ 0xB58C, 1
@ 0xB5A8, 1
@ 0xB5AE, 1
@ 0xB5DC, 1
@ 0xB606, 1
@ 0xB622, 1
@ 0xB648, 1
@ 0xB662, 2
@ 0xB6A8, 1
@ 0xB6C0, 1
@ 0xB708, 1
@ 0xB73A, 1
@ 0xB74C, 1
@ 0xB764, 1
@ 0xB782, 1
@ 0xBA7B, 1
@ 0xBA85, 1
@ 0xBBDF, 1
@ 0xBCE3, 1
@ 0xBD33, 1
@ 0xBE66, 1
@ 0xC072, 1
@ 0xC0D9, 1
@ 0xC0F3, 1
@ 0xC150, 1
@ 0xC155, 1
@ 0xC207, 1
@ 0xC265, 1
@ 0xC2BD, 1
@ 0xC384, 1
@ 0xC39C, 1
@ 0xC419, 1
@ 0xC586, 1
@ 0xC616, 1
@ 0xC637, 1
@ 0xC6B6, 1
@ 0xC797, 1
@ 0xC88F, 1
@ 0xC8CF, 1
@ 0xC937, 1
@ 0xC987, 1
@ 0xCF96, 1
@ 0xD0A8, 1
@ 0xD172, 1
@ 0xD1B5, 1
@ 0xD26F, 1
@ 0xDA26, 1
@ 0xDA55, 1
@ 0xDB95, 1
@ 0xDF2D, 1
@ 0xEA17, 1
@ 0xF986, 1
