ifd0_ExifOffset ,Count
@ 0x0282, 1578
@ 0x0283, 5
@ 0x0284, 212
@ 0x0285, 149
@ 0x0286, 374
@ 0x0287, 1
@ 0x0288, 1234
@ 0x0289, 1
@ 0x028A, 15
@ 0x028C, 5
@ 0x028D, 1
@ 0x028E, 3857
@ 0x0290, 9
@ 0x0291, 3
@ 0x0292, 5
@ 0x0294, 125
@ 0x0295, 1
@ 0x0298, 48
@ 0x029A, 1
@ 0x029C, 9
@ 0x029F, 2
@ 0x02A0, 31
@ 0x02A1, 2
@ 0x02A3, 3
@ 0x02A6, 242
@ 0x02A7, 1
@ 0x02A9, 2
@ 0x02AA, 4
@ 0x02AB, 1
@ 0x02AC, 6
@ 0x02AE, 1209
@ 0x02B0, 59
@ 0x02B2, 3
@ 0x02B3, 6
@ 0x02B4, 1206
@ 0x02B5, 1
@ 0x02B6, 2230
@ 0x02B7, 24
@ 0x02B8, 36
@ 0x02BA, 5
@ 0x02BC, 123
@ 0x02BD, 4
@ 0x02BE, 35
@ 0x02BF, 5
@ 0x02C0, 70
@ 0x02C2, 1245
@ 0x02C4, 1
@ 0x02C6, 761
@ 0x02C7, 1
@ 0x02C8, 49
@ 0x02CA, 4096
@ 0x02CC, 678
@ 0x02CD, 3
@ 0x02CE, 22
@ 0x02D0, 1
@ 0x02D2, 228
@ 0x02D4, 600
@ 0x02D5, 73
@ 0x02D6, 800
@ 0x02D7, 12
@ 0x02D8, 2128
@ 0x02DA, 18
@ 0x02DD, 1
@ 0x02DE, 79
@ 0x02E0, 32
@ 0x02E1, 9
@ 0x02E2, 1
@ 0x02E4, 4
@ 0x02E6, 1
@ 0x02EA, 6
@ 0x02EC, 8
@ 0x02EE, 185
@ 0x02F0, 184
@ 0x02F4, 42
@ 0x02F5, 2
@ 0x02F6, 80
@ 0x02F8, 5
@ 0x02F9, 2
@ 0x02FA, 32
@ 0x02FB, 1
@ 0x02FC, 376
@ 0x0300, 1
@ 0x0304, 59
@ 0x0306, 2
@ 0x0308, 174
@ 0x030C, 2
@ 0x030E, 1
@ 0x0310, 203
@ 0x0312, 11
@ 0x0314, 8
@ 0x0318, 68
@ 0x031C, 6
@ 0x031E, 20
@ 0x0320, 39
@ 0x0322, 68
@ 0x0324, 2
@ 0x0326, 1
@ 0x032C, 138
@ 0x0330, 5
@ 0x0332, 90
@ 0x0334, 20
@ 0x0337, 1
@ 0x0338, 16
@ 0x033B, 7
@ 0x033C, 489
@ 0x033E, 68
@ 0x0341, 2
@ 0x0344, 186
@ 0x0346, 4
@ 0x0348, 511
@ 0x034A, 20
@ 0x034C, 81
@ 0x0352, 20
@ 0x0354, 683
@ 0x0356, 32
@ 0x0358, 3
@ 0x035A, 1
@ 0x035E, 8
@ 0x035F, 5
@ 0x0366, 1
@ 0x037C, 3
@ 0x037E, 1
@ 0x0380, 1
@ 0x0384, 4
@ 0x0388, 1
@ 0x038C, 9
@ 0x0390, 2
@ 0x0398, 2
@ 0x03A4, 785
@ 0x03A8, 83
@ 0x03AE, 42
@ 0x03B0, 78
@ 0x03B4, 8
@ 0x03B6, 1
@ 0x03B8, 151
@ 0x03BC, 266
@ 0x03BD, 1
@ 0x03BE, 4
@ 0x03C1, 3
@ 0x03C2, 17
@ 0x03C7, 15
@ 0x03CA, 1
@ 0x03D0, 1
@ 0x03D1, 1
@ 0x03D4, 307
@ 0x03D6, 1
@ 0x03D7, 1
@ 0x03D8, 2
@ 0x03DE, 3
@ 0x03E0, 9
@ 0x03E3, 1
@ 0x03E4, 8216
@ 0x03E8, 1
@ 0x03FE, 1
@ 0x0416, 7
@ 0x041E, 1
@ 0x0420, 10
@ 0x0424, 29
@ 0x0426, 18
@ 0x0428, 15
@ 0x042A, 94
@ 0x042C, 42
@ 0x0430, 1
@ 0x0431, 1
@ 0x0434, 30
@ 0x0436, 15
@ 0x043C, 14
@ 0x0444, 1
@ 0x0448, 1
@ 0x044C, 122
@ 0x0458, 33
@ 0x045A, 1
@ 0x045C, 15
@ 0x0464, 7
@ 0x0476, 190
@ 0x0478, 1
@ 0x0482, 7
@ 0x048A, 3
@ 0x0492, 1
@ 0x0494, 5
@ 0x049C, 1
@ 0x04DE, 1
@ 0x04E4, 1
@ 0x0510, 1
@ 0x0524, 1
@ 0x0542, 2
@ 0x0571, 1
@ 0x0578, 1
@ 0x05CB, 1
@ 0x05EA, 1
@ 0x0603, 1
@ 0x0644, 10
@ 0x06D0, 33
@ 0x06DC, 2
@ 0x0730, 1
@ 0x0797, 1
@ 0x07B8, 5
@ 0x081A, 22
@ 0x0898, 1
@ 0x08A0, 1
@ 0x08B0, 7
@ 0x08B6, 2
@ 0x08B8, 46
@ 0x08BA, 1
@ 0x08C2, 1
@ 0x08C4, 201
@ 0x08C8, 10
@ 0x08CA, 2
@ 0x08CC, 3119
@ 0x08CE, 1361
@ 0x08D0, 112
@ 0x08D2, 129
@ 0x08D3, 1
@ 0x08D4, 276
@ 0x08D6, 162
@ 0x08D8, 41
@ 0x08DA, 19
@ 0x08DE, 2
@ 0x08E0, 12
@ 0x08E2, 2
@ 0x08E4, 7
@ 0x08E6, 14
@ 0x08E8, 89
@ 0x08E9, 22
@ 0x08EA, 3
@ 0x08EC, 3
@ 0x08EE, 1
@ 0x08F0, 4
@ 0x08F2, 1
@ 0x08F4, 2
@ 0x08F6, 5
@ 0x08F8, 3
@ 0x08FC, 121
@ 0x08FE, 9
@ 0x0900, 1
@ 0x0901, 4
@ 0x0902, 14
@ 0x0904, 20
@ 0x0906, 8
@ 0x0908, 15
@ 0x090A, 5
@ 0x090B, 7
@ 0x090C, 2
@ 0x0910, 31
@ 0x0912, 1
@ 0x0914, 2
@ 0x0916, 5
@ 0x0917, 1
@ 0x091A, 3
@ 0x091C, 12
@ 0x091E, 41
@ 0x0920, 8
@ 0x0922, 46
@ 0x0924, 5
@ 0x0926, 6
@ 0x0928, 1
@ 0x092A, 8
@ 0x092C, 2
@ 0x092E, 5
@ 0x092F, 10
@ 0x0930, 5
@ 0x0932, 2
@ 0x0936, 1
@ 0x0938, 5
@ 0x093A, 15
@ 0x093C, 1
@ 0x093D, 1
@ 0x0940, 25
@ 0x0944, 129
@ 0x094F, 2
@ 0x0950, 6
@ 0x0956, 5
@ 0x095A, 1
@ 0x0962, 4
@ 0x0964, 1
@ 0x096C, 4
@ 0x096E, 2
@ 0x0978, 1
@ 0x097C, 8
@ 0x0982, 2
@ 0x0986, 1
@ 0x098C, 1
@ 0x0992, 6
@ 0x0994, 60
@ 0x0998, 35
@ 0x099A, 1
@ 0x09A6, 1
@ 0x09B6, 3
@ 0x09B8, 10
@ 0x09E8, 40
@ 0x09EE, 1
@ 0x09F4, 2
@ 0x0A80, 2
@ 0x0A88, 1
@ 0x0AB2, 36
@ 0x0B09, 1
@ 0x0B1C, 150
@ 0x0B66, 2
@ 0x0BC8, 102
@ 0x0BDA, 5
@ 0x0C32, 48
@ 0x0C35, 1
@ 0x0C40, 6
@ 0x0C61, 1
@ 0x0CC2, 1
@ 0x0D56, 1
@ 0x0D94, 2
@ 0x0DBA, 1
@ 0x0E17, 1
@ 0x0E38, 1
@ 0x0E40, 3
@ 0x0E54, 1
@ 0x0E72, 2
@ 0x0E89, 1
@ 0x0EB9, 1
@ 0x0EBB, 1
@ 0x0EBC, 1
@ 0x0EC2, 1
@ 0x0EC6, 2
@ 0x0ECE, 1
@ 0x0ED9, 1
@ 0x0EE6, 1
@ 0x0EFC, 3
@ 0x0F21, 1
@ 0x0F38, 1
@ 0x0F3B, 1
@ 0x0F3D, 1
@ 0x0F44, 1
@ 0x0F55, 1
@ 0x0F5E, 1
@ 0x0F62, 1
@ 0x0F73, 1
@ 0x0F7A, 1
@ 0x0F88, 1
@ 0x0FB8, 1
@ 0x0FB9, 1
@ 0x0FBE, 1
@ 0x0FE5, 1
@ 0x0FF4, 1
@ 0x1000, 1
@ 0x1006, 2
@ 0x100A, 2
@ 0x1010, 1
@ 0x1021, 1
@ 0x104C, 1
@ 0x1051, 1
@ 0x1058, 1
@ 0x1079, 1
@ 0x1084, 1
@ 0x1091, 1
@ 0x1098, 1
@ 0x109E, 1
@ 0x10B8, 1
@ 0x10C5, 1
@ 0x10CC, 58
@ 0x10CE, 1
@ 0x10DF, 1
@ 0x10EA, 79
@ 0x10EC, 6
@ 0x10F0, 5
@ 0x1124, 1
@ 0x1126, 1
@ 0x113A, 1
@ 0x1140, 6
@ 0x115B, 1
@ 0x115E, 1
@ 0x117A, 1
@ 0x1186, 6
@ 0x119A, 3
@ 0x11BA, 2
@ 0x11CA, 2
@ 0x11E2, 1
@ 0x11EC, 1
@ 0x11F1, 1
@ 0x11F5, 1
@ 0x1204, 3
@ 0x120C, 1
@ 0x1218, 1
@ 0x1223, 1
@ 0x1231, 1
@ 0x1236, 1
@ 0x1243, 1
@ 0x1245, 1
@ 0x1251, 1
@ 0x1274, 1
@ 0x1287, 1
@ 0x128A, 1
@ 0x129B, 1
@ 0x12A8, 1
@ 0x12B3, 1
@ 0x12D6, 2
@ 0x12DA, 1
@ 0x12F7, 1
@ 0x1302, 1
@ 0x130A, 1
@ 0x1358, 2
@ 0x1359, 1
@ 0x137E, 1
@ 0x1382, 1
@ 0x1389, 1
@ 0x13AB, 1
@ 0x13C3, 1
@ 0x13C9, 1
@ 0x13EA, 1
@ 0x13FE, 1
@ 0x140A, 1
@ 0x1413, 1
@ 0x1423, 1
@ 0x1426, 1
@ 0x1430, 1
@ 0x1439, 1
@ 0x1465, 1
@ 0x1466, 1
@ 0x146D, 1
@ 0x1484, 1
@ 0x1491, 2
@ 0x14D2, 1
