ifdg_GPSDateStamp ,Count
2010:03:29, 6
2010:03:31, 8
2010:04:01, 1
2010:04:02, 11
2010:04:03, 4
2010:04:04, 13
2010:04:05, 5
2010:04:06, 6
2010:04:07, 14
2010:04:08, 5
2010:04:09, 34
2010:04:10, 5
2010:04:11, 5
2010:04:12, 2
2010:04:13, 5
2010:04:14, 5
2010:04:15, 15
2010:04:16, 6
2010:04:17, 4
2010:04:18, 9
2010:04:20, 4
2010:04:21, 2
2010:04:22, 6
2010:04:23, 5
2010:04:24, 5
2010:04:25, 12
2010:04:26, 2
2010:04:27, 5
2010:04:28, 2
2010:04:29, 2
2010:04:30, 3
2010:05:01, 35
2010:05:02, 1
2010:05:03, 1
2010:05:04, 1
2010:05:05, 1
2010:05:06, 16
2010:05:08, 4
2010:05:09, 19
2010:05:10, 1
2010:05:12, 14
2010:05:13, 1
2010:05:14, 8
2010:05:15, 20
2010:05:16, 3
2010:05:17, 10
2010:05:18, 1
2010:05:19, 4
2010:05:21, 2
2010:05:22, 1
2010:05:23, 7
2010:05:24, 1
2010:05:25, 3
2010:05:26, 12
2010:05:27, 47
2010:05:28, 128
2010:05:29, 84
2010:05:30, 17
2010:05:31, 4
2010:06:01, 3
2010:06:02, 13
2010:06:03, 3
2010:06:04, 6
2010:06:05, 9
2010:06:06, 2
2010:06:07, 5
2010:06:08, 3
2010:06:10, 2
2010:06:11, 2
2010:06:12, 31
2010:06:13, 2
2010:06:14, 33
2010:06:15, 2
2010:06:16, 5
2010:06:17, 1
2010:06:18, 3
2010:06:19, 4
2010:06:20, 6
2010:06:22, 3
2010:06:23, 9
2010:06:24, 5
2010:06:25, 2
2010:06:26, 28
2010:06:27, 25
2010:06:28, 3
2010:06:30, 5
2010:07:01, 18
2010:07:02, 13
2010:07:03, 18
2010:07:04, 16
2010:07:05, 27
2010:07:06, 15
2010:07:07, 20
2010:07:08, 20
2010:07:09, 30
2010:07:10, 20
2010:07:11, 24
2010:07:12, 17
