ifd1_JpegIFOffset ,Count
@ +0x6BB4 = @ 0x6BD2, 2
@ +0x6BB6 = @ 0x6BC2, 4
@ +0x6BB8 = @ 0x6BC4, 32
@ +0x6BB8 = @ 0x6BD6, 2
@ +0x6BBA = @ 0x6BC6, 3
@ +0x6BBC = @ 0x6BC8, 39
@ +0x6BBC = @ 0x6BDA, 2
@ +0x6BBE = @ 0x6BCA, 5
@ +0x6BBE = @ 0x6BDC, 1
@ +0x6BC0 = @ 0x6BCC, 44
@ +0x6BC0 = @ 0x6BDE, 3
@ +0x6BC2 = @ 0x6BCE, 3
@ +0x6BC4 = @ 0x6BD0, 33
@ +0x6BC6 = @ 0x6BD2, 2
@ +0x6BC8 = @ 0x6BD4, 38
@ +0x6BC8 = @ 0x6BE6, 1
@ +0x6BCA = @ 0x6BD6, 2
@ +0x6BCA = @ 0x6BE8, 1
@ +0x6BCC = @ 0x6BD8, 24
@ +0x6BCC = @ 0x6BEA, 4
@ +0x6BCE = @ 0x6BDA, 2
@ +0x6BD0 = @ 0x6BDC, 37
@ +0x6BD0 = @ 0x6BEE, 2
@ +0x6BD2 = @ 0x6BDE, 3
@ +0x6BD4 = @ 0x6BE0, 29
@ +0x6BD4 = @ 0x6BF2, 2
@ +0x6BD6 = @ 0x6BE2, 2
@ +0x6BD8 = @ 0x6BE4, 35
@ +0x6BD8 = @ 0x6BF6, 2
@ +0x6BDA = @ 0x6BE6, 1
@ +0x6BDC = @ 0x6BE8, 42
@ +0x6BDC = @ 0x6BFA, 2
@ +0x6BDE = @ 0x6BFC, 3
@ +0x6BE0 = @ 0x6BEC, 43
@ +0x6BE0 = @ 0x6BFE, 2
@ +0x6BE2 = @ 0x6BEE, 5
@ +0x6BE4 = @ 0x6BF0, 38
@ +0x6BE4 = @ 0x6C02, 3
@ +0x6BE6 = @ 0x6BF2, 1
@ +0x6BE8 = @ 0x6BF4, 42
@ +0x6BE8 = @ 0x6C06, 2
@ +0x6BEA = @ 0x6BF6, 1
@ +0x6BEC = @ 0x6BF8, 41
@ +0x6BEC = @ 0x6C0A, 2
@ +0x6BEE = @ 0x6BFA, 8
@ +0x6BF0 = @ 0x6BFC, 40
@ +0x6BF1 = @ 0x6BFD, 1
@ +0x6BF4 = @ 0x6C00, 36
@ +0x6BF4 = @ 0x6C12, 1
@ +0x6BF6 = @ 0x6C02, 2
@ +0x6BF8 = @ 0x6C04, 36
@ +0x6BF8 = @ 0x6C16, 2
@ +0x6BFA = @ 0x6C06, 5
@ +0x6BFA = @ 0x6C18, 1
@ +0x6BFC = @ 0x6C08, 37
@ +0x6BFC = @ 0x6C1A, 1
@ +0x6BFE = @ 0x6C0A, 4
@ +0x6BFE = @ 0x6C1C, 1
@ +0x6C00 = @ 0x6C0C, 38
@ +0x6C00 = @ 0x6C1E, 1
@ +0x6C02 = @ 0x6C0E, 5
@ +0x6C04 = @ 0x6C10, 32
@ +0x6C04 = @ 0x6C22, 2
@ +0x6C06 = @ 0x6C12, 4
@ +0x6C08 = @ 0x6C14, 28
@ +0x6C08 = @ 0x6C26, 1
@ +0x6C0A = @ 0x6C16, 3
@ +0x6C0B = @ 0x6C29, 1
@ +0x6C0C = @ 0x6C18, 39
@ +0x6C0C = @ 0x6C2A, 1
@ +0x6C0E = @ 0x6C1A, 2
@ +0x6C10 = @ 0x6C1C, 47
@ +0x6C10 = @ 0x6C2E, 5
@ +0x6C12 = @ 0x6C1E, 3
@ +0x6C12 = @ 0x6C30, 1
@ +0x6C14 = @ 0x6C20, 54
@ +0x6C14 = @ 0x6C32, 2
@ +0x6C16 = @ 0x6C22, 1
@ +0x6C16 = @ 0x6C34, 1
@ +0x6C18 = @ 0x6C24, 34
@ +0x6C18 = @ 0x6C36, 1
@ +0x6C1A = @ 0x6C26, 1
@ +0x6C1C = @ 0x6C28, 39
@ +0x6C1C = @ 0x6C3A, 2
@ +0x6C1E = @ 0x6C2A, 2
@ +0x6C20 = @ 0x6C2C, 38
@ +0x6C20 = @ 0x6C3E, 2
@ +0x6C22 = @ 0x6C2E, 1
@ +0x6C24 = @ 0x6C30, 49
@ +0x6C24 = @ 0x6C42, 3
@ +0x6C26 = @ 0x6C32, 2
@ +0x6C26 = @ 0x6C44, 1
@ +0x6C28 = @ 0x6C34, 44
@ +0x6C28 = @ 0x6C46, 3
@ +0x6C2C = @ 0x6C38, 22
@ +0x6C2C = @ 0x6C4A, 1
@ +0x6C2E = @ 0x6C3A, 4
@ +0x6C30 = @ 0x6C3C, 34
@ +0x6C30 = @ 0x6C4E, 3
@ +0x6C32 = @ 0x6C3E, 4
@ +0x6C32 = @ 0x6C50, 1
@ +0x6C34 = @ 0x6C40, 43
@ +0x6C34 = @ 0x6C52, 3
@ +0x6C36 = @ 0x6C42, 1
@ +0x6C36 = @ 0x6C54, 4
@ +0x6C38 = @ 0x6C44, 44
@ +0x6C38 = @ 0x6C56, 2
@ +0x6C3A = @ 0x6C46, 4
@ +0x6C3C = @ 0x6C48, 44
@ +0x6C3C = @ 0x6C5A, 1
@ +0x6C3E = @ 0x6C4A, 8
@ +0x6C40 = @ 0x6C4C, 45
@ +0x6C40 = @ 0x6C5E, 4
@ +0x6C42 = @ 0x6C4E, 3
@ +0x6C44 = @ 0x6C50, 40
@ +0x6C44 = @ 0x6C62, 1
@ +0x6C46 = @ 0x6C52, 3
@ +0x6C46 = @ 0x6C64, 1
@ +0x6C48 = @ 0x6C54, 47
@ +0x6C48 = @ 0x6C66, 1
@ +0x6C4A = @ 0x6C56, 3
@ +0x6C4A = @ 0x6C68, 3
@ +0x6C4C = @ 0x6C58, 25
@ +0x6C4C = @ 0x6C6A, 4
@ +0x6C4E = @ 0x6C5A, 4
@ +0x6C4E = @ 0x6C6C, 1
@ +0x6C50 = @ 0x6C5C, 41
@ +0x6C50 = @ 0x6C6E, 5
@ +0x6C52 = @ 0x6C5E, 2
@ +0x6C54 = @ 0x6C60, 29
@ +0x6C54 = @ 0x6C72, 1
@ +0x6C56 = @ 0x6C62, 5
@ +0x6C58 = @ 0x6C64, 39
@ +0x6C58 = @ 0x6C76, 4
@ +0x6C5A = @ 0x6C66, 2
@ +0x6C5C = @ 0x6C68, 43
@ +0x6C5C = @ 0x6C7A, 1
@ +0x6C60 = @ 0x6C6C, 29
@ +0x6C62 = @ 0x6C6E, 2
@ +0x6C64 = @ 0x6C70, 46
@ +0x6C64 = @ 0x6C82, 4
@ +0x6C66 = @ 0x6C72, 3
@ +0x6C68 = @ 0x6C74, 32
@ +0x6C68 = @ 0x6C86, 4
@ +0x6C69 = @ 0x6C87, 1
@ +0x6C6A = @ 0x6C76, 3
@ +0x6C6A = @ 0x6C88, 3
@ +0x6C6C = @ 0x6C78, 42
@ +0x6C6C = @ 0x6C8A, 1
@ +0x6C6E = @ 0x6C7A, 1
@ +0x6C6E = @ 0x6C8C, 1
@ +0x6C70 = @ 0x6C7C, 36
@ +0x6C70 = @ 0x6C8E, 1
@ +0x6C72 = @ 0x6C7E, 2
@ +0x6C74 = @ 0x6C80, 40
@ +0x6C76 = @ 0x6C82, 4
@ +0x6C78 = @ 0x6C84, 39
@ +0x6C7A = @ 0x6C86, 3
@ +0x6C7A = @ 0x6C98, 3
@ +0x6C7C = @ 0x6C88, 47
@ +0x6C7C = @ 0x6C9A, 1
@ +0x6C7E = @ 0x6C8A, 5
@ +0x6C7E = @ 0x6C9C, 1
@ +0x6C80 = @ 0x6C8C, 37
@ +0x6C80 = @ 0x6C9E, 2
@ +0x6C81 = @ 0x6C9F, 1
@ +0x6C82 = @ 0x6C8E, 3
@ +0x6C82 = @ 0x6CA0, 1
@ +0x6C84 = @ 0x6C90, 38
@ +0x6C86 = @ 0x6C92, 8
@ +0x6C88 = @ 0x6C94, 31
@ +0x6C8A = @ 0x6C96, 2
@ +0x6C8A = @ 0x6CA8, 1
@ +0x6C8C = @ 0x6C98, 42
@ +0x6C8C = @ 0x6CAA, 1
@ +0x6C8E = @ 0x6C9A, 2
@ +0x6C90 = @ 0x6C9C, 44
@ +0x6C90 = @ 0x6CAE, 4
@ +0x6C92 = @ 0x6C9E, 1
@ +0x6C92 = @ 0x6CB0, 1
@ +0x6C94 = @ 0x6CA0, 29
@ +0x6C94 = @ 0x6CB2, 2
@ +0x6C96 = @ 0x6CA2, 8
@ +0x6C96 = @ 0x6CB4, 1
@ +0x6C98 = @ 0x6CA4, 46
@ +0x6C98 = @ 0x6CB6, 1
@ +0x6C9A = @ 0x6CA6, 4
@ +0x6C9C = @ 0x6CA8, 21
@ +0x6C9C = @ 0x6CBA, 1
@ +0x6C9E = @ 0x6CAA, 4
@ +0x6CA0 = @ 0x6CAC, 44
@ +0x6CA0 = @ 0x6CBE, 2
@ +0x6CA2 = @ 0x6CAE, 2
@ +0x6CA2 = @ 0x6CC0, 1
@ +0x6CA4 = @ 0x6CB0, 47
@ +0x6CA4 = @ 0x6CC2, 1
@ +0x6CA6 = @ 0x6CB2, 3
@ +0x6CA6 = @ 0x6CC4, 4
@ +0x6CA8 = @ 0x6CB4, 44
@ +0x6CA8 = @ 0x6CC6, 1
@ +0x6CAA = @ 0x6CB6, 4
@ +0x6CAC = @ 0x6CB8, 45
@ +0x6CAC = @ 0x6CCA, 3
@ +0x6CAE = @ 0x6CBA, 3
@ +0x6CB0 = @ 0x6CBC, 48
@ +0x6CB0 = @ 0x6CCE, 2
@ +0x6CB2 = @ 0x6CBE, 1
@ +0x6CB4 = @ 0x6CC0, 37
@ +0x6CB4 = @ 0x6CD2, 2
@ +0x6CB6 = @ 0x6CC2, 2
@ +0x6CB8 = @ 0x6CC4, 38
@ +0x6CB8 = @ 0x6CD6, 2
@ +0x6CBA = @ 0x6CC6, 3
@ +0x6CBC = @ 0x6CC8, 40
@ +0x6CBC = @ 0x6CDA, 2
@ +0x6CBE = @ 0x6CCA, 1
@ +0x6CBE = @ 0x6CDC, 5
@ +0x6CC0 = @ 0x6CCC, 54
@ +0x6CC0 = @ 0x6CDE, 1
@ +0x6CC2 = @ 0x6CCE, 2
@ +0x6CC4 = @ 0x6CD0, 38
@ +0x6CC6 = @ 0x6CD2, 4
@ +0x6CC8 = @ 0x6CD4, 37
@ +0x6CC8 = @ 0x6CE6, 1
@ +0x6CCA = @ 0x6CD6, 2
@ +0x6CCB = @ 0x6CE9, 2
@ +0x6CCC = @ 0x6CD8, 41
@ +0x6CCC = @ 0x6CEA, 3
@ +0x6CCE = @ 0x6CDA, 3
@ +0x6CCE = @ 0x6CEC, 1
@ +0x6CD0 = @ 0x6CDC, 37
@ +0x6CD0 = @ 0x6CEE, 2
@ +0x6CD2 = @ 0x6CDE, 3
@ +0x6CD4 = @ 0x6CE0, 36
@ +0x6CD4 = @ 0x6CF2, 2
@ +0x6CD6 = @ 0x6CE2, 3
@ +0x6CD6 = @ 0x6CF4, 1
@ +0x6CD8 = @ 0x6CE4, 34
@ +0x6CD8 = @ 0x6CF6, 1
@ +0x6CDA = @ 0x6CE6, 3
@ +0x6CDA = @ 0x6CF8, 1
@ +0x6CDC = @ 0x6CE8, 41
@ +0x6CDC = @ 0x6CFA, 4
@ +0x6CDE = @ 0x6CEA, 2
@ +0x6CE0 = @ 0x6CEC, 35
@ +0x6CE0 = @ 0x6CFE, 1
@ +0x6CE2 = @ 0x6CEE, 2
@ +0x6CE4 = @ 0x6CF0, 38
@ +0x6CE4 = @ 0x6D02, 1
@ +0x6CE6 = @ 0x6CF2, 3
@ +0x6CE6 = @ 0x6D04, 2
@ +0x6CE8 = @ 0x6CF4, 43
@ +0x6CE8 = @ 0x6D06, 1
@ +0x6CEA = @ 0x6CF6, 4
@ +0x6CEA = @ 0x6D08, 1
@ +0x6CEC = @ 0x6CF8, 38
@ +0x6CEE = @ 0x6CFA, 4
@ +0x6CEE = @ 0x6D0C, 1
@ +0x6CF0 = @ 0x6CFC, 38
@ +0x6CF0 = @ 0x6D0E, 2
@ +0x6CF2 = @ 0x6CFE, 2
@ +0x6CF2 = @ 0x6D10, 3
@ +0x6CF4 = @ 0x6D00, 42
@ +0x6CF4 = @ 0x6D12, 3
@ +0x6CF6 = @ 0x6D02, 5
@ +0x6CF8 = @ 0x6D04, 39
@ +0x6CF8 = @ 0x6D16, 2
@ +0x6CFA = @ 0x6D06, 6
@ +0x6CFC = @ 0x6D08, 35
@ +0x6CFC = @ 0x6D1A, 2
@ +0x6CFE = @ 0x6D0A, 2
@ +0x6CFE = @ 0x6D1C, 4
@ +0x6D00 = @ 0x6D0C, 50
@ +0x6D00 = @ 0x6D1E, 1
@ +0x6D02 = @ 0x6D0E, 2
@ +0x6D04 = @ 0x6D10, 43
@ +0x6D04 = @ 0x6D22, 2
@ +0x6D06 = @ 0x6D12, 2
@ +0x6D06 = @ 0x6D24, 1
@ +0x6D08 = @ 0x6D14, 35
@ +0x6D0A = @ 0x6D16, 2
@ +0x6D0C = @ 0x6D18, 34
@ +0x6D0C = @ 0x6D2A, 1
@ +0x6D0E = @ 0x6D1A, 5
@ +0x6D0E = @ 0x6D2C, 3
@ +0x6D10 = @ 0x6D1C, 39
@ +0x6D12 = @ 0x6D1E, 6
@ +0x6D14 = @ 0x6D20, 44
@ +0x6D14 = @ 0x6D32, 3
@ +0x6D16 = @ 0x6D22, 4
@ +0x6D18 = @ 0x6D24, 39
@ +0x6D18 = @ 0x6D36, 1
@ +0x6D1A = @ 0x6D26, 2
@ +0x6D1A = @ 0x6D38, 1
@ +0x6D1C = @ 0x6D28, 31
@ +0x6D1C = @ 0x6D3A, 3
@ +0x6D1E = @ 0x6D2A, 4
@ +0x6D1F = @ 0x6D2B, 1
@ +0x6D20 = @ 0x6D2C, 51
@ +0x6D20 = @ 0x6D3E, 2
@ +0x6D22 = @ 0x6D2E, 2
@ +0x6D22 = @ 0x6D40, 1
@ +0x6D24 = @ 0x6D30, 40
@ +0x6D24 = @ 0x6D42, 2
@ +0x6D25 = @ 0x6D43, 1
@ +0x6D26 = @ 0x6D32, 4
@ +0x6D28 = @ 0x6D34, 32
@ +0x6D28 = @ 0x6D46, 2
@ +0x6D2A = @ 0x6D36, 2
@ +0x6D2B = @ 0x6D49, 1
@ +0x6D2C = @ 0x6D38, 50
@ +0x6D2C = @ 0x6D4A, 3
@ +0x6D2E = @ 0x6D3A, 4
@ +0x6D30 = @ 0x6D3C, 28
@ +0x6D30 = @ 0x6D4E, 2
@ +0x6D32 = @ 0x6D3E, 1
@ +0x6D34 = @ 0x6D40, 59
@ +0x6D34 = @ 0x6D52, 2
@ +0x6D36 = @ 0x6D42, 3
@ +0x6D36 = @ 0x6D54, 1
@ +0x6D38 = @ 0x6D44, 34
@ +0x6D38 = @ 0x6D56, 5
@ +0x6D3A = @ 0x6D46, 3
@ +0x6D3A = @ 0x6D58, 1
@ +0x6D3C = @ 0x6D48, 26
@ +0x6D3C = @ 0x6D5A, 2
@ +0x6D3E = @ 0x6D4A, 2
@ +0x6D40 = @ 0x6D4C, 41
@ +0x6D42 = @ 0x6D4E, 4
@ +0x6D42 = @ 0x6D60, 1
@ +0x6D44 = @ 0x6D50, 42
@ +0x6D44 = @ 0x6D62, 3
@ +0x6D46 = @ 0x6D52, 2
@ +0x6D46 = @ 0x6D64, 1
@ +0x6D48 = @ 0x6D54, 50
@ +0x6D48 = @ 0x6D66, 1
@ +0x6D4A = @ 0x6D56, 3
@ +0x6D4A = @ 0x6D68, 3
@ +0x6D4C = @ 0x6D58, 35
@ +0x6D4C = @ 0x6D6A, 6
@ +0x6D4E = @ 0x6D5A, 7
@ +0x6D50 = @ 0x6D5C, 50
@ +0x6D50 = @ 0x6D6E, 1
@ +0x6D52 = @ 0x6D5E, 5
@ +0x6D54 = @ 0x6D60, 43
@ +0x6D54 = @ 0x6D72, 2
@ +0x6D56 = @ 0x6D62, 4
@ +0x6D58 = @ 0x6D64, 36
@ +0x6D58 = @ 0x6D76, 2
@ +0x6D5A = @ 0x6D66, 1
@ +0x6D5C = @ 0x6D68, 33
@ +0x6D5C = @ 0x6D7A, 1
@ +0x6D5E = @ 0x6D6A, 6
@ +0x6D60 = @ 0x6D6C, 51
@ +0x6D60 = @ 0x6D7E, 2
@ +0x6D62 = @ 0x6D6E, 3
@ +0x6D64 = @ 0x6D70, 43
@ +0x6D64 = @ 0x6D82, 2
@ +0x6D66 = @ 0x6D72, 5
@ +0x6D68 = @ 0x6D74, 45
@ +0x6D6A = @ 0x6D76, 5
@ +0x6D6C = @ 0x6D78, 45
@ +0x6D6C = @ 0x6D8A, 1
@ +0x6D6E = @ 0x6D7A, 1
@ +0x6D70 = @ 0x6D7C, 38
@ +0x6D70 = @ 0x6D8E, 2
@ +0x6D72 = @ 0x6D7E, 3
@ +0x6D74 = @ 0x6D80, 38
@ +0x6D74 = @ 0x6D92, 4
@ +0x6D76 = @ 0x6D82, 8
@ +0x6D78 = @ 0x6D84, 36
@ +0x6D78 = @ 0x6D96, 5
@ +0x6D7A = @ 0x6D86, 2
@ +0x6D7C = @ 0x6D88, 43
@ +0x6D7E = @ 0x6D8A, 5
@ +0x6D80 = @ 0x6D8C, 39
@ +0x6D80 = @ 0x6D9E, 1
@ +0x6D82 = @ 0x6D8E, 1
@ +0x6D84 = @ 0x6D90, 52
@ +0x6D84 = @ 0x6DA2, 2
@ +0x6D86 = @ 0x6D92, 8
@ +0x6D86 = @ 0x6DA4, 1
@ +0x6D88 = @ 0x6D94, 49
@ +0x6D88 = @ 0x6DA6, 1
@ +0x6D8A = @ 0x6D96, 4
@ +0x6D8A = @ 0x6DA8, 1
@ +0x6D8C = @ 0x6D98, 38
@ +0x6D8C = @ 0x6DAA, 4
@ +0x6D8E = @ 0x6D9A, 3
@ +0x6D90 = @ 0x6D9C, 42
@ +0x6D90 = @ 0x6DAE, 3
@ +0x6D91 = @ 0x6DAF, 1
@ +0x6D92 = @ 0x6D9E, 5
@ +0x6D94 = @ 0x6DA0, 49
@ +0x6D94 = @ 0x6DB2, 1
@ +0x6D96 = @ 0x6DA2, 1
@ +0x6D98 = @ 0x6DA4, 60
@ +0x6D9A = @ 0x6DA6, 2
@ +0x6D9A = @ 0x6DB8, 2
@ +0x6D9C = @ 0x6DA8, 46
@ +0x6D9C = @ 0x6DBA, 1
@ +0x6D9E = @ 0x6DAA, 3
@ +0x6DA0 = @ 0x6DAC, 26
@ +0x6DA0 = @ 0x6DBE, 2
@ +0x6DA2 = @ 0x6DAE, 2
@ +0x6DA2 = @ 0x6DC0, 1
@ +0x6DA4 = @ 0x6DB0, 47
@ +0x6DA6 = @ 0x6DB2, 5
@ +0x6DA6 = @ 0x6DC4, 7
@ +0x6DA8 = @ 0x6DB4, 36
@ +0x6DA8 = @ 0x6DC6, 2
@ +0x6DAA = @ 0x6DB6, 4
@ +0x6DAC = @ 0x6DB8, 42
@ +0x6DAC = @ 0x6DCA, 2
@ +0x6DAE = @ 0x6DBA, 1
@ +0x6DB0 = @ 0x6DBC, 39
@ +0x6DB2 = @ 0x6DBE, 4
@ +0x6DB4 = @ 0x6DC0, 41
@ +0x6DB4 = @ 0x6DD2, 1
@ +0x6DB6 = @ 0x6DC2, 6
@ +0x6DB6 = @ 0x6DD4, 2
@ +0x6DB8 = @ 0x6DC4, 26
@ +0x6DB9 = @ 0x6DD7, 1
@ +0x6DBA = @ 0x6DC6, 4
@ +0x6DBA = @ 0x6DD8, 4
@ +0x6DBC = @ 0x6DC8, 41
@ +0x6DBC = @ 0x6DDA, 2
@ +0x6DC0 = @ 0x6DCC, 57
@ +0x6DC0 = @ 0x6DDE, 2
@ +0x6DC2 = @ 0x6DCE, 8
@ +0x6DC2 = @ 0x6DE0, 4
@ +0x6DC4 = @ 0x6DD0, 43
@ +0x6DC4 = @ 0x6DE2, 5
@ +0x6DC6 = @ 0x6DD2, 4
@ +0x6DC8 = @ 0x6DD4, 44
@ +0x6DC8 = @ 0x6DE6, 4
@ +0x6DCA = @ 0x6DD6, 3
@ +0x6DCB = @ 0x6DE9, 1
@ +0x6DCC = @ 0x6DD8, 34
@ +0x6DCC = @ 0x6DEA, 1
@ +0x6DCE = @ 0x6DDA, 4
@ +0x6DD0 = @ 0x6DDC, 53
@ +0x6DD0 = @ 0x6DEE, 3
@ +0x6DD2 = @ 0x6DDE, 5
@ +0x6DD3 = @ 0x6DF1, 1
@ +0x6DD4 = @ 0x6DE0, 39
@ +0x6DD4 = @ 0x6DF2, 1
@ +0x6DD6 = @ 0x6DE2, 4
@ +0x6DD6 = @ 0x6DF4, 1
@ +0x6DD8 = @ 0x6DE4, 34
@ +0x6DD8 = @ 0x6DF6, 1
@ +0x6DDA = @ 0x6DE6, 3
@ +0x6DDC = @ 0x6DE8, 50
@ +0x6DDC = @ 0x6DFA, 1
@ +0x6DDE = @ 0x6DEA, 3
@ +0x6DE0 = @ 0x6DEC, 45
@ +0x6DE0 = @ 0x6DFE, 1
@ +0x6DE2 = @ 0x6DEE, 3
@ +0x6DE2 = @ 0x6E00, 1
@ +0x6DE4 = @ 0x6DF0, 50
@ +0x6DE4 = @ 0x6E02, 2
@ +0x6DE5 = @ 0x6DF1, 1
@ +0x6DE6 = @ 0x6DF2, 2
@ +0x6DE8 = @ 0x6DF4, 42
@ +0x6DE8 = @ 0x6E06, 2
@ +0x6DE9 = @ 0x6E07, 1
@ +0x6DEA = @ 0x6DF6, 4
@ +0x6DEC = @ 0x6DF8, 41
@ +0x6DEC = @ 0x6E0A, 3
@ +0x6DF0 = @ 0x6DFC, 49
@ +0x6DF0 = @ 0x6E0E, 1
@ +0x6DF2 = @ 0x6DFE, 5
@ +0x6DF2 = @ 0x6E10, 1
@ +0x6DF4 = @ 0x6E00, 35
@ +0x6DF4 = @ 0x6E12, 2
@ +0x6DF6 = @ 0x6E02, 3
@ +0x6DF8 = @ 0x6E04, 43
@ +0x6DF8 = @ 0x6E16, 3
@ +0x6DFA = @ 0x6E06, 3
@ +0x6DFC = @ 0x6E08, 42
@ +0x6DFC = @ 0x6E1A, 1
@ +0x6DFE = @ 0x6E0A, 1
@ +0x6E00 = @ 0x6E0C, 52
@ +0x6E00 = @ 0x6E1E, 3
@ +0x6E02 = @ 0x6E0E, 3
@ +0x6E02 = @ 0x6E20, 1
@ +0x6E04 = @ 0x6E10, 38
@ +0x6E04 = @ 0x6E22, 5
@ +0x6E06 = @ 0x6E12, 8
@ +0x6E08 = @ 0x6E14, 43
@ +0x6E0A = @ 0x6E16, 7
@ +0x6E0C = @ 0x6E18, 42
@ +0x6E0C = @ 0x6E2A, 2
@ +0x6E0E = @ 0x6E1A, 2
@ +0x6E0E = @ 0x6E2C, 2
@ +0x6E10 = @ 0x6E1C, 38
@ +0x6E10 = @ 0x6E2E, 4
@ +0x6E12 = @ 0x6E1E, 1
@ +0x6E14 = @ 0x6E20, 44
@ +0x6E14 = @ 0x6E32, 2
@ +0x6E16 = @ 0x6E22, 4
@ +0x6E16 = @ 0x6E34, 1
@ +0x6E18 = @ 0x6E24, 45
@ +0x6E18 = @ 0x6E36, 2
@ +0x6E1A = @ 0x6E26, 9
@ +0x6E1C = @ 0x6E28, 36
@ +0x6E1C = @ 0x6E3A, 4
@ +0x6E20 = @ 0x6E2C, 39
@ +0x6E20 = @ 0x6E3E, 2
@ +0x6E22 = @ 0x6E2E, 7
@ +0x6E22 = @ 0x6E40, 1
@ +0x6E24 = @ 0x6E30, 57
@ +0x6E26 = @ 0x6E32, 8
@ +0x6E26 = @ 0x6E44, 1
@ +0x6E28 = @ 0x6E34, 40
@ +0x6E28 = @ 0x6E46, 3
@ +0x6E2A = @ 0x6E36, 6
@ +0x6E2A = @ 0x6E48, 1
@ +0x6E2C = @ 0x6E38, 43
@ +0x6E2C = @ 0x6E4A, 3
@ +0x6E2E = @ 0x6E3A, 6
@ +0x6E30 = @ 0x6E3C, 42
@ +0x6E30 = @ 0x6E4E, 2
@ +0x6E31 = @ 0x6E4F, 1
@ +0x6E32 = @ 0x6E3E, 3
@ +0x6E34 = @ 0x6E40, 46
@ +0x6E34 = @ 0x6E52, 4
@ +0x6E36 = @ 0x6E42, 1
@ +0x6E38 = @ 0x6E44, 62
@ +0x6E38 = @ 0x6E56, 3
@ +0x6E3A = @ 0x6E46, 7
@ +0x6E3A = @ 0x6E58, 1
@ +0x6E3C = @ 0x6E48, 49
@ +0x6E3C = @ 0x6E5A, 4
@ +0x6E3E = @ 0x6E4A, 2
@ +0x6E40 = @ 0x6E4C, 51
@ +0x6E40 = @ 0x6E5E, 4
@ +0x6E42 = @ 0x6E4E, 3
@ +0x6E44 = @ 0x6E50, 47
@ +0x6E44 = @ 0x6E62, 2
@ +0x6E46 = @ 0x6E52, 1
@ +0x6E48 = @ 0x6E54, 38
@ +0x6E48 = @ 0x6E66, 4
@ +0x6E4A = @ 0x6E56, 2
@ +0x6E4C = @ 0x6E58, 50
@ +0x6E4C = @ 0x6E6A, 4
@ +0x6E4E = @ 0x6E5A, 2
@ +0x6E4E = @ 0x6E6C, 1
@ +0x6E50 = @ 0x6E5C, 51
@ +0x6E50 = @ 0x6E6E, 1
@ +0x6E52 = @ 0x6E5E, 4
@ +0x6E54 = @ 0x6E60, 51
@ +0x6E54 = @ 0x6E72, 3
@ +0x6E55 = @ 0x6E73, 1
@ +0x6E56 = @ 0x6E62, 4
@ +0x6E56 = @ 0x6E74, 1
@ +0x6E58 = @ 0x6E64, 33
@ +0x6E58 = @ 0x6E76, 1
@ +0x6E5A = @ 0x6E66, 1
@ +0x6E5C = @ 0x6E68, 36
@ +0x6E5C = @ 0x6E7A, 1
@ +0x6E5E = @ 0x6E6A, 5
@ +0x6E60 = @ 0x6E6C, 37
@ +0x6E60 = @ 0x6E7E, 2
@ +0x6E62 = @ 0x6E6E, 7
@ +0x6E64 = @ 0x6E70, 51
@ +0x6E64 = @ 0x6E82, 6
@ +0x6E66 = @ 0x6E72, 7
@ +0x6E66 = @ 0x6E84, 1
@ +0x6E68 = @ 0x6E74, 46
@ +0x6E68 = @ 0x6E86, 2
@ +0x6E6A = @ 0x6E76, 5
@ +0x6E6A = @ 0x6E88, 1
@ +0x6E6C = @ 0x6E78, 42
@ +0x6E6C = @ 0x6E8A, 2
@ +0x6E6E = @ 0x6E7A, 4
@ +0x6E6E = @ 0x6E8C, 3
@ +0x6E70 = @ 0x6E7C, 53
@ +0x6E70 = @ 0x6E8E, 1
@ +0x6E72 = @ 0x6E7E, 1
@ +0x6E74 = @ 0x6E80, 41
@ +0x6E76 = @ 0x6E82, 3
@ +0x6E78 = @ 0x6E84, 43
@ +0x6E78 = @ 0x6E96, 5
@ +0x6E7A = @ 0x6E86, 3
@ +0x6E7A = @ 0x6E98, 1
@ +0x6E7C = @ 0x6E88, 57
@ +0x6E7C = @ 0x6E9A, 5
@ +0x6E7E = @ 0x6E8A, 4
@ +0x6E80 = @ 0x6E8C, 52
@ +0x6E82 = @ 0x6E8E, 5
@ +0x6E83 = @ 0x6EA1, 1
@ +0x6E84 = @ 0x6E90, 45
@ +0x6E84 = @ 0x6EA2, 3
@ +0x6E86 = @ 0x6E92, 2
@ +0x6E86 = @ 0x6EA4, 1
@ +0x6E88 = @ 0x6E94, 39
@ +0x6E88 = @ 0x6EA6, 1
@ +0x6E8A = @ 0x6E96, 4
@ +0x6E8A = @ 0x6EA8, 1
@ +0x6E8C = @ 0x6E98, 54
@ +0x6E8E = @ 0x6E9A, 4
@ +0x6E90 = @ 0x6E9C, 50
@ +0x6E90 = @ 0x6EAE, 2
@ +0x6E92 = @ 0x6E9E, 5
@ +0x6E92 = @ 0x6EB0, 1
@ +0x6E94 = @ 0x6EA0, 57
@ +0x6E94 = @ 0x6EB2, 1
@ +0x6E96 = @ 0x6EA2, 7
@ +0x6E96 = @ 0x6EB4, 1
@ +0x6E98 = @ 0x6EA4, 42
@ +0x6E98 = @ 0x6EB6, 3
