ifd1_JpegIFOffset ,Count
@ +0x02D6 = @ 0x02E2, 280
@ +0x02D6 = @ 0x02F4, 9
@ +0x02D7 = @ 0x02E3, 30
@ +0x02D8 = @ 0x02E4, 226
@ +0x02D8 = @ 0x02F6, 2
@ +0x02D9 = @ 0x02E5, 5
@ +0x02DA = @ 0x02E6, 225
@ +0x02DA = @ 0x02F8, 11
@ +0x02DB = @ 0x02E7, 4
@ +0x02DC = @ 0x02E8, 29
@ +0x02DC = @ 0x02FA, 8
@ +0x02DD = @ 0x02E9, 277
@ +0x02DE = @ 0x02EA, 300
@ +0x02DE = @ 0x02FC, 2
@ +0x02DF = @ 0x02EB, 134
@ +0x02E0 = @ 0x02EC, 11028
@ +0x02E0 = @ 0x02FE, 280
@ +0x02E1 = @ 0x02ED, 455
@ +0x02E2 = @ 0x02EE, 665
@ +0x02E2 = @ 0x0300, 2
@ +0x02E3 = @ 0x02EF, 138
@ +0x02E4 = @ 0x02F0, 528
@ +0x02E4 = @ 0x0302, 1
@ +0x02E5 = @ 0x02F1, 2
@ +0x02E6 = @ 0x02F2, 530
@ +0x02E6 = @ 0x0304, 50
@ +0x02E7 = @ 0x02F3, 2
@ +0x02E8 = @ 0x02F4, 246
@ +0x02E8 = @ 0x0306, 19
@ +0x02E9 = @ 0x02F5, 192
@ +0x02E9 = @ 0x0307, 19
@ +0x02EA = @ 0x02F6, 295
@ +0x02EA = @ 0x0308, 5
@ +0x02EB = @ 0x02F7, 1
@ +0x02EC = @ 0x02F8, 1632
@ +0x02EC = @ 0x030A, 31
@ +0x02ED = @ 0x02F9, 9
@ +0x02EE = @ 0x02FA, 31
@ +0x02EE = @ 0x030C, 1
@ +0x02EE = @ 0x0524, 26
@ +0x02EF = @ 0x02FB, 17
@ +0x02F0 = @ 0x02FC, 7
@ +0x02F0 = @ 0x030E, 5
@ +0x02F2 = @ 0x02FE, 437
@ +0x02F2 = @ 0x0310, 89
@ +0x02F4 = @ 0x0300, 1309
@ +0x02F4 = @ 0x0312, 91
@ +0x02F6 = @ 0x0302, 95
@ +0x02F6 = @ 0x0314, 2
@ +0x02F7 = @ 0x0303, 1
@ +0x02F8 = @ 0x0304, 159
@ +0x02F8 = @ 0x0318, 2
@ +0x02FA = @ 0x0306, 114
@ +0x02FC = @ 0x0308, 15
@ +0x02FC = @ 0x031A, 3
@ +0x02FD = @ 0x0309, 22
@ +0x02FE = @ 0x030A, 329
@ +0x02FE = @ 0x031C, 2
@ +0x02FF = @ 0x030B, 16
@ +0x0300 = @ 0x030C, 206
@ +0x0300 = @ 0x031E, 81
@ +0x0302 = @ 0x030E, 46
@ +0x0303 = @ 0x0321, 5
@ +0x0304 = @ 0x0310, 42
@ +0x0305 = @ 0x0311, 1
@ +0x0306 = @ 0x0312, 28
@ +0x0308 = @ 0x0314, 142
@ +0x0308 = @ 0x0326, 62
@ +0x0309 = @ 0x0315, 1
@ +0x030A = @ 0x0316, 29
@ +0x030A = @ 0x0328, 10
@ +0x030C = @ 0x0318, 21
@ +0x030C = @ 0x032A, 5
@ +0x030E = @ 0x031A, 73
@ +0x030F = @ 0x031B, 6
@ +0x0310 = @ 0x031C, 19
@ +0x0311 = @ 0x031D, 39
@ +0x0312 = @ 0x031E, 60
@ +0x0314 = @ 0x0320, 88
@ +0x0314 = @ 0x0332, 2
@ +0x0315 = @ 0x0321, 34
@ +0x0316 = @ 0x0322, 53
@ +0x0316 = @ 0x0334, 14
@ +0x0318 = @ 0x0324, 94
@ +0x0318 = @ 0x0336, 14
@ +0x0319 = @ 0x0325, 9
@ +0x031A = @ 0x0326, 28
@ +0x031C = @ 0x0328, 626
@ +0x031D = @ 0x0329, 1125
@ +0x031D = @ 0x033B, 14
@ +0x031E = @ 0x032A, 4
@ +0x031E = @ 0x033C, 2
@ +0x0320 = @ 0x032C, 464
@ +0x0320 = @ 0x033E, 118
@ +0x0321 = @ 0x032D, 31
@ +0x0322 = @ 0x032E, 218
@ +0x0322 = @ 0x0340, 5
@ +0x0324 = @ 0x0330, 73
@ +0x0325 = @ 0x0331, 143
@ +0x0326 = @ 0x0332, 206
