ifds_ExposureTime ,Count
1/1456 s, 21
1/1457 s, 1
1/1458 s, 13
1/1459 s, 2
1/146 s, 78
1/1460 s, 11
1/1463 s, 4
1/1464 s, 37
1/1465 s, 1
1/1466 s, 181
1/1467 s, 2
1/1468 s, 12
1/147 s, 204
1/1470 s, 9
1/1471 s, 1
1/1472 s, 5
1/1473 s, 1
1/1474 s, 1
1/1475 s, 3
1/14751 s, 1
1/1476 s, 16
1/1477 s, 1
1/1478 s, 2
1/1479 s, 78
1/148 s, 159
1/1480 s, 10
1/1481 s, 9
1/1482 s, 3
1/1484 s, 12
1/1485 s, 1
1/1486 s, 13
1/1487 s, 1
1/1488 s, 15
1/1489 s, 2
1/149 s, 87
1/1492 s, 12
1/1493 s, 132
1/1494 s, 1
1/1495 s, 1
1/1497 s, 1
1/1498 s, 15
1/1499 s, 5
1/15 s, 32535
1/150 s, 264
1/1500 s, 1304
1/1501 s, 15
1/1502 s, 1
1/1503 s, 3
1/1504 s, 8
1/1505 s, 2
1/1506 s, 149
1/1508 s, 185
1/15082 s, 6
1/151 s, 82
1/1510 s, 2
1/1511 s, 1
1/1512 s, 16
1/1513 s, 14
1/1514 s, 3
1/1515 s, 1
1/1516 s, 14
1/1517 s, 1
1/1518 s, 1
1/1519 s, 3
1/152 s, 118
1/1520 s, 81
1/1522 s, 36
1/1524 s, 19
1/1526 s, 4
1/1527 s, 1
1/1528 s, 7
1/1529 s, 6
1/153 s, 157
1/1531 s, 2
1/1532 s, 7
1/1533 s, 1
1/1534 s, 134
1/1536 s, 9
1/1537 s, 3
1/1538 s, 22
1/154 s, 88
1/1540 s, 9
1/1541 s, 41
1/1542 s, 16
1/1543 s, 16
1/1544 s, 13
1/1545 s, 2
1/1546 s, 1
1/1547 s, 1
1/1548 s, 16
1/155 s, 100
1/1550 s, 156
1/1552 s, 8
1/1553 s, 5
1/1554 s, 1
1/1555 s, 1
1/1556 s, 2
1/1557 s, 1
1/1559 s, 1
1/156 s, 72
1/1560 s, 13
1/1561 s, 2
1/1562 s, 4
1/1563 s, 1
