ifds_DigitalZoomRatio ,Count
1747/1024, 3
1747/627, 1
175/100, 37
17500/10000, 36
1751/1196, 1
1751/771, 1
17515/4637, 1
1759/1725, 1
176/100, 10
17603/6347, 1
176152/65536, 3
1763/1686, 2
1763/541, 1
1763/723, 1
17651/4339, 1
1766/1429, 1
176939/76242, 1
176947/65536, 1
177/100, 6
1773/1226, 2
1773/515, 1
1775/1082, 1
178/100, 31
178/21, 13
1781/1520, 1
1782867/1000000, 20
17841/9478, 1
1787/697, 1
179/100, 3
179/65, 1
179/84, 2
1790/789, 1
1790/877, 1
1794/1423, 1
1795/1483, 1
1795/791, 1
18/10, 80
18/11, 9
18/13, 1
18/16, 31
18/5, 14
18/7, 6
180/100, 270
180/60, 1
1800/1000, 95
18000/100, 5
1801/800, 1
18019/8472, 1
18048/8783, 1
1805/1202, 2
181/45, 1
181/75, 1
181057/65536, 5
18107/5925, 1
182/100, 7
1820420/1000000, 7
18216/12337, 1
1823/780, 1
1825/817, 1
1828/1429, 1
183/100, 4
183/83, 1
18399/9296, 1
184/100, 2
1840/987, 2
1844/1259, 1
18486/11975, 1
185/100, 2
185/167, 1
185/83, 2
1853/1204, 1
1853/371, 2
185467/65535, 1
185467/65536, 2
1856/1033, 1
18577/7431, 2
186/100, 28
186/60, 1
186099/65536, 3
1863/1019, 1
1863/662, 3
1863/862, 1
1865/856, 1
18655/6248, 1
18655/7573, 2
186563/65535, 1
1865714/1000000, 16
1869/1187, 1
187/100, 85
187/73, 1
187/75, 1
18700/100, 2
18701/4168, 2
1879310690/-1607397088, 1
188/100, 14
18808/12437, 1
18829/15208, 1
1884/1081, 1
1885/927, 1
1887/1370, 1
1889/784, 2
189/100, 2
189399/65536, 1
1898/1299, 2
19/10, 29
19/13, 1
19/15, 1
19/16, 56
19/4, 4
19/8, 1
19/9, 5
190/100, 54
1903/1258, 1
1907/1806, 1
1909/1202, 1
1909/1385, 1
1909201/1000000, 6
191/100, 3
191/75, 2
191281/65536, 1
1918/1247, 1
192/100, 3
192/192, 1
192/60, 2
192020/65535, 1
192020/65536, 3
1921/1104, 1
1923/1772, 1
1927/1591, 1
1928/725, 1
193/100, 88
193/28, 8
193/73, 1
193/75, 4
19300/100, 4
1931/1717, 1
1935/1853, 1
1936/1107, 2
1936/1371, 1
1936/457, 1
1936/769, 1
1936/989, 1
19364/6033, 1
1937/1260, 1
19375/10000, 14
1938/1421, 1
194/100, 2
19405/5164, 1
1941/926, 1
1942/817, 1
195/100, 10
1952329/1000000, 7
1956/619, 1
196/100, 2
19606/10509, 1
196094213/781465025, 1
1961230336/17104896, 1
1962/1000, 1
196603/150729, 1
196608/65536, 12
1969/1722, 1
197/100, 3
197/75, 1
1973/1369, 1
19774/8617, 1
1979/1083, 1
198/100, 2
1981/1345, 1
19825/13079, 1
1984/1933, 1
198445/40499, 1
1985/858, 1
198574/65536, 1
1987/1170, 1
19871/5871, 1
1988/1061, 1
199/100, 8
199/75, 1
1993/1297, 1
19934/13585, 1
1997/554, 1
19980/9427, 1
1999/900, 1
2/1, 82
2/327680, 168
20/10, 264
20/16, 40
20/3, 2
200/100, 1126
20000/100, 3
2000000/1000000, 8
2005/1557, 2
2005270528/17104896, 1
2006/1297, 1
2006/1319, 1
2006/1621, 1
2009/885, 1
201/73, 1
2016/803, 1
2017/1159, 1
2017/1835, 1
202/83, 1
20207/7435, 1
202197/65535, 1
2024/975, 2
