ifd0_GPSOffset ,Count
@ 0x034E, 65
@ 0x0350, 76
@ 0x0352, 3
@ 0x0354, 7
@ 0x0356, 5
@ 0x0358, 12
@ 0x035A, 14
@ 0x035C, 3
@ 0x035D, 1
@ 0x035E, 95
@ 0x0360, 2
@ 0x0364, 9
@ 0x0366, 2
@ 0x036C, 3
@ 0x036E, 4
@ 0x036F, 10
@ 0x0370, 1
@ 0x0372, 64
@ 0x0374, 50
@ 0x0375, 1
@ 0x0378, 18
@ 0x037A, 66
@ 0x037C, 6
@ 0x037F, 3
@ 0x0384, 3
@ 0x0385, 5
@ 0x0386, 2
@ 0x0389, 1
@ 0x038A, 32
@ 0x038C, 201
@ 0x038E, 23
@ 0x0390, 2
@ 0x0392, 118
@ 0x0394, 12
@ 0x0396, 1718
@ 0x0398, 39
@ 0x039A, 4
@ 0x039C, 100
@ 0x039E, 1207
@ 0x03A0, 281
@ 0x03A2, 111
@ 0x03A4, 7
@ 0x03A6, 179
@ 0x03A8, 223
@ 0x03AA, 240
@ 0x03AC, 1018
@ 0x03AE, 3331
@ 0x03B0, 129
@ 0x03B1, 4
@ 0x03B2, 3988
@ 0x03B4, 1871
@ 0x03B5, 6
@ 0x03B6, 313
@ 0x03B8, 244
@ 0x03BA, 169
@ 0x03BC, 36
@ 0x03BE, 69
@ 0x03C0, 142
@ 0x03C2, 16
@ 0x03C4, 59
@ 0x03C6, 374
@ 0x03C7, 31
@ 0x03C8, 280
@ 0x03CA, 152
@ 0x03CC, 46
@ 0x03CE, 557
@ 0x03D0, 8
@ 0x03D2, 241
@ 0x03D4, 330
@ 0x03D6, 8
@ 0x03D8, 19
@ 0x03D9, 32
@ 0x03DA, 4
@ 0x03DC, 75
@ 0x03DE, 47
@ 0x03E0, 7
@ 0x03E2, 66
@ 0x03E4, 134
@ 0x03E6, 237
@ 0x03EA, 2619
@ 0x03EC, 420
@ 0x03EE, 1
@ 0x03F0, 171
@ 0x03F1, 15
@ 0x03F2, 7
@ 0x03F4, 93
@ 0x03F6, 19
@ 0x03F8, 40
@ 0x03FA, 65
@ 0x03FC, 16
@ 0x03FE, 108
@ 0x0400, 36
@ 0x0402, 65
@ 0x0404, 32
@ 0x0406, 8
@ 0x0408, 20
@ 0x040A, 116
@ 0x040C, 44
@ 0x040E, 4
@ 0x0412, 223
@ 0x0413, 21
@ 0x0414, 1
@ 0x0416, 1
@ 0x0418, 278
@ 0x041A, 1
@ 0x041C, 10
@ 0x041E, 848
@ 0x0420, 11
@ 0x0422, 45
@ 0x0426, 27
@ 0x0427, 1
@ 0x042C, 4
@ 0x0430, 21
@ 0x0432, 74
@ 0x0436, 33
@ 0x0438, 4
@ 0x043D, 124
@ 0x043E, 1
@ 0x0444, 2
@ 0x044A, 1
@ 0x0464, 9
@ 0x0469, 2
@ 0x048A, 6
@ 0x049E, 208
@ 0x049F, 148
@ 0x04A6, 35
@ 0x04BE, 32
@ 0x04D0, 1
@ 0x04D4, 60
@ 0x04DA, 79
@ 0x04E0, 121
@ 0x04E2, 110
@ 0x04E3, 88
@ 0x04FE, 10
@ 0x0500, 6
@ 0x051E, 1
@ 0x052A, 2
