ifds_bit ,Count
0000000000000001000000000001100000000000000000000000000011100000000000000000000000000, 3690
0000000000000001000000000011110000000000000000000000000111100000000000000000000000000, 816
0000000000000001000000000011110000000000000000000010000111100000000000000000010000000, 3
0000000000000001000000000011110000000011100000000000000111100000000000001111010000000, 6
0000000000000001000000000011110000000101000000000000000111100000000000000000000000000, 1
0000000000000001000000000011110000100101100000000000000111101000000000000011000000000, 17
0000000000000001000000000011110000100101100000000010000111101000000000000011000000000, 2
0000000000000001000000000011110000100111000000000001111111100000000000000000000000000, 187
0000000000000001000000000011110010000000000000000011000111101000000000000000000000000, 1
0000000000000001000000000011110010000000100000000000000111100000000000000000000000000, 37
0000000000000001000000000011110010000001000000000011000111101000000000001111010000000, 3
0000000000000001000000000011110010000011100000000000000111100000000000000000000000000, 57
0000000000000001000000000011110010000011100000000000000111100000000000001111010000000, 3643
0000000000000001000000000011110011011111100000000000000111100000000000101111110111010, 3
0000000000000001000000000011110011011111100000000000000111101000000000101111110111010, 6
0000000000000001000000000011110100000101100000000011000111101000000000001110010101000, 65
0000000000000001000000000011110110110110100000000011000111100000000000000000000000000, 1
0000000000000001000000000011110110110110100000000011000111101000000000001110010101000, 32
0000000000000001000001000011110000000000100000000000000111101000000000000000000000000, 81
0000000000000001000001000011110000000101100000000000000111101000000001000110010000000, 24
0000000000000001000001000011110000100111100000000011000111101000000001101010010111000, 8
0000000000000001000001000011110100100101100000000011000111100000000000000000000000000, 9
0000000000000001000001000011110100100101100000000011000111101000000000001110110101000, 7
0000000000000001001000000011100000000101100000000010000111101000000000001110000000000, 1
0000000000000001001000000011100000010100100000000010000011100000000000000110110000000, 92
0000000000000001001000000011100000010100100000000010000011100000000000000110110000001, 286
0000000000000001001000000011110000000001000000000000000011100000000010100111010111000, 1
0000000000000001001000000011110000000101000000000000000011100000000010100111010111000, 9
0000000000000001001000000011110000000111100000000000000111101000000000000111010000000, 25
0000000000000001001000000011110000010100100000000010000111100000000000000110110000001, 1
0000000000000001001000000011110000010100100000000010000111101000000000000110110000001, 55
0000000000000001001000000011110000010110100000000011000111101000000010100110110000000, 1
0000000000000001001000000011110010000000100000000000000111101000000000000100000000000, 9
0000000000000001001000000011110010000100100000000000000111100000000000000000000000000, 297
0000000000000001001000000011110010000101000000000000000111100000000010000000000000000, 352
0000000000000001001000000011110010000101000000000000000111100000000010000110000000000, 1687
0000000000000001001000000011110010000101000000000000000111100000000010000110010000000, 1049
0000000000000001001000000011110010000101000000000000000111100000000010000110010000001, 2
0000000000000001001000000011110010000101000000000000000111100000000010000111010000000, 23
0000000000000001001000000011110010000101100000000000000111100000000000000000000000000, 14
0000000000000001001001000011100110000101100000010000000011100000001010100110000001000, 3
0000000000000001001001000011100111000101100000000000000111100000000010001110010000000, 6
0000000000000001001001000011100111000101100000000000000111100000000010001110110000000, 42
0000000000000001001001000011100111000101100000000000000111100000000010001111110000000, 5
0000000000000001001001000011100111000101100000000010000111100000000010001110110000000, 14
0000000000000001001001000011100111000101100000010000000111100000000010000110010001000, 1
0000000000000001001001000011100111000101100000010000000111100000000010000110110000000, 38
0000000000000001001001000011100111000101100000010000000111100000000010000110110001000, 204
0000000000000001001001000011100111000101100000010000000111100000000010000111110001000, 2
0000000000000001001001000011100111000101100000010000000111100000000010001110010001000, 1
0000000000000001001001000011100111000101100000010000000111100000000010100110010001000, 5
0000000000000001001001000011100111000101100000010000000111100000000010100110110001000, 4
0000000000000001001001000011100111000101100000010010000111100000000010000110110000000, 2
0000000000000001001001000011100111000101100000010010000111100000000010001110110000000, 1
0000000000000001001001000011100111000101100000010010000111100000000010100110110000000, 14
0000000000000001001001000011110001110111100000000010000111100000000000001111110111000, 3
0000000000000001001001000011110101000100000000000000000111101000000001101111000111000, 12
0000000000000001001001000011110110100101100000000000111111100001110000001110010000000, 23
0000000000000001001001000011110111000101100000000000000111100000000010001110110000000, 20
0000000000000001001001000011110111000101100000000010000111100000000010000110110000000, 2
0000000000000001001001000011110111000101100000000010000111100000000010001110110000000, 2
0000000000000001001001000011110111000101100000000010000111100000000010100110110000000, 1
0000000000000001001001000011110111000101100000010000000111100000000010000110110000000, 228
0000000000000001001001000011110111000101100000010000000111100000000010000111110000000, 7
0000000000000001001001000011110111000101100000010000000111100000000010001110110000000, 6
0000000000000001001001000011110111000101100000010000000111100000000010100110110000000, 1
0000000000000001001001000011110111000101100000010010000111100000000010000110110000000, 79
0000000000000001001001000011110111000101100000010010000111100000000010000110110001000, 50
0000000000000001001001000011110111000101100000010010000111100000000010001110110000000, 1
0000000000000001001001000011110111000101100000010010000111100000000010100110010001000, 1
0000000000000001001001000011110111000101100000010010000111100000000010100110110000000, 89
0000000000000001001001000011110111000101100000010010011111100000000010100110110000000, 2
0000000000000001001001000011110111110101100000000010000111101001110011100000000000000, 34
0000000000000001001001000011110111110111100000000010000111100001110010001110010001010, 1
0000000000000001001001000011111111100101100000000010000111101001110011100000000000000, 50
0000000000000001001001000011111111110101100000000000000111100001110011100000000000000, 42
0000000000000001001001000011111111110101100000000000000111101001110011100000000000000, 294
0000000000000001001001000011111111110101100000000010000111100001110011100000000000000, 93
0000000000000001001001000011111111110101100000000010000111100001110011101100000000100, 1
0000000000000001001001000011111111110101100000000010000111101001110011100000000000000, 1149
0000000000000010000000000011010000001011000000000000000011100000000000000000000000000, 67
0000000000000010000000000011010000001011000000000000000011100000000000000000000000100, 5067
0000000000000010000000000011010000001011000000000000000011100000000000000000000000101, 4
0000000000000010000000000011010000001011000000000000000111100000000000000000000000000, 7
0000000000000010000000000011010000001011000000000000000111100000000000000000010000000, 7
0000000000000010000000000011010000001011000000000000000111100000000000000000010000100, 2
0000000000000010000000000011010000001011000000000010000011100000000000000000000000100, 31
0000000000000010000000000011101010000001000000000001000111101100000000000000000000000, 4
0000000000000010000000000011110000000000000000000000000111101000000000000000000000000, 8
0000000000000010000000000011110000000001000000000000000111101000000000001111010000010, 64
0000000000000010000000000011110000000001000000000000000111101000000001100011000000000, 13
0000000000000010000000000011110000000001000000000011000111101000000000001110010000000, 1
0000000000000010000000000011110000100111100000000000111110001100000001100111000111000, 25
0000000000000010000000000011110110000001000000000010000111111000000000001111010000001, 1
0000000000000010000000000011111000000001000000000000000111101000000000001111010000000, 4
0000000000000010000000000011111010000001000000000001000111101100000000000000000000000, 40
0000000000000010000001000001100010000001100000000000000011100000000000000000000000000, 42
0000000000000010000001000010111010110111100000001010000111111000000011100001000000000, 1
0000000000000010000001000011110000000000000000000000000111101000000000000000000000000, 14
0000000000000010000001000011110000000000100000000000000110001000000000000000000000000, 16
0000000000000010000001000011110000000000100000000000000111101000000000000000000000000, 427
0000000000000010000001000011110000000001100000000000000111101000000000000000000000000, 68
0000000000000010000001000011110000000001100000000000000111101000000000000010000000000, 31
0000000000000010000001000011110000000011000000000000000111100000000000000000000000000, 4
0000000000000010000001000011110000000011000000000000000111101000000000000110010000000, 291
0000000000000010000001000011110000000101100000000000111110001000000001100011000000000, 3
0000000000000010000001000011110000100000100000000000000111101000000000000000000000000, 12
0000000000000010000001000011110000100101000000000000000111101000000000001111010000010, 2
0000000000000010000001000011110000100111100000000000111110001100000001100111000111000, 117
0000000000000010000001000011110010000000100000000000000111101000000000000000000000000, 119
0000000000000010000001000011110010000001100000000000000111100000000000000000010000000, 79
0000000000000010000001000011110010000001100000000000000111100000000000001000010000000, 1
0000000000000010000001000011110010100101100000000000000111101000000000000000000000000, 416
0000000000000010000001000011110100000001000000000011000011100000000000001111011000000, 1
0000000000000010000001000011110100000001000000000011000111100000000000001111011000000, 2
0000000000000010000001000011110100000001000000000011000111101000000000001011010000000, 5
0000000000000010000001000011110100000001100000000000000111101000000000000000000000000, 83
0000000000000010000001000011110100000011000000000010111111100000000000001111011000000, 1124
0000000000000010000001000011110100000011000000000011000011100000000000001111011000000, 1
0000000000000010000001000011110100000011000000010010111111100000000000001111011000000, 95
0000000000000010000001000011110100100001000000000011000111101000000000001110010000000, 1
0000000000000010000001000011110100100011000000000010111111100000000000001111011000000, 1
0000000000000010000001000011110100100011000000010010111111100000000000001111011000000, 6
0000000000000010000001000011110110000001000000000011000111101000000000000000000000000, 1
0000000000000010000001000011110110000001100000000000000111101000000000000000000000000, 104
0000000000000010000001000011110110000001100000001010000111101000000000000000001000000, 398
0000000000000010000001000011110110000001100000001010000111101000000000001000001000000, 18
0000000000000010000001000011110110100001100000000000000111101000000000000000000000000, 79
0000000000000010000001000011110110100111100000000000000111101000000000001111010000000, 18
0000000000000010000001000011111000000001000000000000000111101000000000000000000000000, 107
0000000000000010000001000011111010110111100000001010000111110000000011100000000000000, 119
0000000000000010000001000011111010110111100000001010000111110000000011100001000000000, 1
0000000000000010000001000011111010110111100000001010000111111000000011100001000000000, 2303
0000000000000010001000000011100010011111000000000010000000000000000000000011000110010, 242
0000000000000010001001000001101101100111000000000001000011100001110010000000000000000, 1
0000000000000010001001000010010100000101100000000000000111101000000000100110000000000, 2
0000000000000010001001000010010100100101100000000000000111101000000000100110000000000, 18
0000000000000010001001000011100100100101000000000000000000000001110000001110010000000, 1
0000000000000010001001000011110000010111100000000000000111100000000000000011010111001, 4
0000000000000010001001000011110000010111100000000000000111100000000000001011010111001, 2
0000000000000010001001000011110000100000000000000000000111100000000000000000000000000, 29
0000000000000010001001000011110000100111000000000010000111100000000001100000000000000, 2
0000000000000010001001000011110000100111000000000010000111101000000001101110010000000, 11
0000000000000010001001000011110000100111000000000010000111101000000001101110011000000, 383
0000000000000010001001000011110100110111100000000000000111100000000000000111110111001, 2
0000000000000010001001000011110100110111100000000010000111100000000001101011010111001, 64
0000000000000010001001000011110101100111100000000011111111101000000001101111011111010, 139
0000000000000010001001000011110101100111100000000011111111101000000011101111011111010, 11
0000000000000010001001000011111101100111000000000010000111101001110011101110110111010, 17
0000000000000010001001000011111110010101100000000000000111101000000001100000000000000, 31
0000000000000010001001000011111110010111100000000000000111101000000001100000000000000, 2
0000000000000010001001000011111110010111100000000001000111100000000001100000000000000, 2
0000000000000010001001000011111110110111100000000000000111101000000001100000000000000, 15
0000000000000010001001000011111110110111100000000001000111100000000001100000000000000, 1
0000000000000011000000000001101110110101100000000001000011100001110010000000000000000, 17
0000000000000011000000000011011110111110100000000010000111100000000000000000000000000, 408
0000000000000011000000000011011110111111100000000010000111100000000000000000000000000, 91
0000000000000011000000000011100110100001100000000000000111100001110000001111010000000, 1
0000000000000011000000000011100110110101100000000000000000000001110011001111010000000, 24
0000000000000011000000000011101000110101100000000000000110000000000000001111110111010, 3
0000000000000011000000000011101110110101100000000000000110000001110010000000000000000, 5
0000000000000011000000000011101110110101100000000011000111100001110011000111010000000, 22
0000000000000011000000000011110000000101000000000000000111100000000000000000000000000, 15
