ifds_ApertureValue ,Count
3761/665, 1
377/100, 166
3775/1000, 5
378/100, 250
3787/570, 2
379/100, 9
37955/6711, 1
38/10, 258
38/100, 1
38/12, 1
380/10, 1
380/100, 704
380/128, 2722
381/100, 24
3810/1000, 1
382/100, 57
383/100, 28
384/100, 6
384/125, 9
385/100, 365
3851/1000, 8
3851999/1000000, 37
3852/1000, 57
386/100, 7
387/100, 8
3871/1000, 37
388/100, 15
389/100, 26
39/10, 377
39/12, 1
39/8, 1
390/100, 524
3904/1000, 5
391/100, 13
392/100, 256
3925/1000, 9
3926/1000, 8
3927/1000, 14
393/100, 219
393216/65536, 9859
393475/196608, 2
394/100, 3
395/100, 3
396/100, 354
397/100, 1
398/100, 2
398458880/134217728, 1
398626656/134217728, 3
4/1, 1112
40/10, 897
40/12, 1
40/8, 12
400/10, 1
400/100, 4512
4000/1000, 13
4000000/1000000, 2
401/100, 1
401408/65536, 1
402/100, 12
4022/1000, 50
402653184/134217728, 97
403/100, 1
404/100, 3
404680/65536, 2
405/100, 6
406/100, 11
4060/1000, 1
407/100, 195
4071/1000, 80
4072/1000, 1
40761/8200, 1
408/100, 2
409/100, 33
40960/65536, 121
40964/1, 1
40965/1, 3
40966/1, 3
41/10, 304
41/100, 2
410/100, 288
41000/100, 2
411/100, 7
412/100, 103
413/100, 12
4139/1000, 18
414/100, 301
4140/1000, 19
4140779/1000000, 11
4141/1000, 18
415488/65536, 2320
415744/65536, 2
416/100, 13
4167/1000, 42
417/100, 1
4176/1000, 22
417792/65536, 3217
418/100, 1
4180/1000, 3
419/100, 2
4195/1000, 8
42/10, 127
42/12, 2
420/100, 220
4208/1000, 4
4209/1000, 77
421/100, 27
4210/1000, 3
422/100, 33
423711/65536, 1
424/100, 4
425/100, 17
4250/1000, 1
425712/65536, 93
4258/1000, 24
425984/65536, 74
426/100, 3
427/100, 130
4274/1000, 2
4275/1000, 66
4275007/1000000, 1
428/100, 190
4281/1441, 36951
429/100, 1
43/10, 1060
43/12, 2
43/43, 1
43/8, 13
430/100, 1955
4301/1000, 31
4312/1707, 15335
433/100, 577
4339/1000, 20
433984375/100000000, 1
433985/100000, 72
434/100, 266
4340/1000, 23
434176/65536, 3784
4348/1000, 12
435/100, 15
435412/65536, 3232
436224/65536, 2
4370/1000, 2
438/100, 6
439/100, 4
44/10, 303
44/100, 1
440/100, 395
4403/100, 1
4403/1000, 73
4404/1000, 18
441/100, 26
4419/1000, 34
442/100, 7
44218/7763, 1
442918496/134217728, 1
443/100, 15
4444/1000, 15
445/100, 6
4459/1000, 4
446/100, 302
4465/1000, 34
