ifds_ISOSpeedRatings ,Count
413, 13
414, 10
415, 13
416, 7
417, 29
418, 21
419, 14
42, 3
420, 5
421, 12
422, 8
423, 15
424, 9
425, 17
426, 12
427, 1
428, 64
429, 12
43, 1
430, 14
431, 23
432, 8
433, 7
434, 11
435, 7
436, 11
437, 15
438, 6
439, 8
440, 10
441, 1
442, 7
443, 15
444, 8
445, 2
446, 7
447, 13
448, 21
449, 10
4496, 1
45, 1
450, 485
450, 450, 1
4500, 12
451, 9
452, 11
453, 9
454, 5
4544, 1
455, 66
456, 15
457, 14
458, 9
459, 20
46, 2
460, 25
461, 3
462, 11
4624, 1
463, 9
464, 11
4640, 1
465, 5
4656, 2
466, 6
467, 10
468, 13
4688, 1
469, 11
47, 1
470, 9
4704, 1
471, 8
472, 7
473, 11
4736, 1
474, 7
475, 8
476, 7
477, 3
478, 4
479, 6
48, 3
480, 122
481, 17
482, 3
483, 5
484, 8
4848, 1
485, 8
486, 4
487, 10
488, 6
489, 8
49, 33
490, 6
491, 6
492, 29
492, 0, 0, 1
493, 19
494, 10
4944, 1
495, 7
496, 7
4960, 1
497, 8
498, 6
499, 7
50, 69809
50, 0, 0, 766
500, 12795
500, 0, 0, 61
5000, 294
501, 5
502, 5
503, 9
504, 20
5040, 1
506, 11
507, 4
50752, 1
508, 5
5088, 1
509, 7
50912, 2
51, 117
510, 8
5104, 4
511, 5
51184, 1
512, 16
51200, 1
513, 13
514, 8
51440, 1
515, 8
5152, 1
516, 11
51600, 1
51680, 1
517, 7
51776, 1
518, 16
51840, 1
519, 6
52, 249
520, 8
52000, 2
52080, 1
521, 6
52192, 1
522, 6
52288, 1
523, 6
524, 9
525, 10
52512, 1
52576, 1
526, 4
5264, 1
527, 7
528, 22
528, 0, 0, 1
52880, 1
529, 9
52944, 1
5296, 2
53, 228
530, 8
53008, 1
531, 13
532, 5
53232, 1
533, 22
534, 8
535, 7
536, 3
5360, 2
537, 20
538, 3
539, 6
54, 131
540, 6
5408, 3
541, 6
542, 7
543, 5
544, 4
545, 7
5456, 1
546, 5
547, 5
5472, 1
548, 1
549, 2
55, 94
550, 22
5504, 1
551, 6
552, 14
5520, 2
553, 3
554, 7
555, 8
5552, 2
556, 6
557, 13
558, 6
559, 9
56, 116
560, 561
5600, 3
561, 10
562, 7
56240, 1
563, 10
564, 25
5648, 1
565, 16
565, 0, 0, 58
566, 7
5664, 1
567, 7
568, 18
569, 5
5696, 1
57, 70
570, 7
571, 4
5712, 1
572, 11
5728, 1
573, 2
574, 2
5744, 3
575, 16
576, 6
577, 5
578, 6
579, 5
5792, 2
58, 67
580, 5
5808, 1
581, 19
582, 5
583, 9
584, 6
5840, 2
585, 4
586, 4
587, 7
588, 1
589, 9
59, 134
590, 10
591, 10
592, 15
593, 3
5936, 1
594, 9
595, 4
5952, 1
596, 10
5968, 1
598, 95
599, 7
6, 2
60, 779
600, 70
601, 9
6016, 1
602, 6
603, 8
604, 7
605, 4
606, 12
606, 0, 0, 2
607, 8
608, 20
609, 7
61, 61
610, 8
611, 6
612, 13
613, 5
61392, 2
614, 10
615, 9
616, 6
617, 1
6176, 1
618, 10
619, 6
62, 201
620, 3
621, 4
622, 1
623, 4
624, 7
625, 15
6256, 3
626, 5
6272, 1
628, 7
6288, 1
629, 8
63, 234
630, 6
631, 8
632, 5
6320, 1
633, 13
6336, 1
634, 7
635, 5
636, 4
637, 7
638, 2
639, 5
64, 50328
64, 0, 0, 191
640, 13891
640, 0, 0, 232
640, 640, 1
6400, 3326
641, 3
642, 7
643, 5
6432, 1
644, 13
645, 1
646, 3
6464, 1
64656, 1
647, 10
648, 13
649, 5
6496, 1
65, 115
650, 12
650, 0, 0, 1
651, 5
652, 5
653, 4
655, 4
65535, 0, 0, 2
656, 7
657, 2
6576, 1
658, 2
659, 7
66, 111
660, 5
6608, 1
661, 9
663, 2
664, 4
6640, 1
665, 9
666, 4
667, 4
668, 12
6688, 2
669, 2
67, 170
670, 7
671, 3
672, 8
673, 5
6736, 1
674, 6
675, 6
6752, 1
676, 5
677, 9
678, 2
6784, 1
679, 3
68, 150
680, 4
681, 3
682, 5
683, 6
6832, 1
684, 3
685, 2
686, 2
687, 11
688, 5
689, 4
69, 228
690, 7
691, 4
692, 6
693, 6
694, 2
695, 4
696, 33
696, 0, 0, 4
6960, 1
697, 1
698, 2
699, 2
70, 3966
700, 51
701, 3
702, 5
703, 5
704, 10
705, 10
7056, 1
706, 6
707, 11
708, 1
7088, 1
709, 1
71, 337
710, 2
7104, 1
711, 3
712, 16
713, 2
7136, 1
714, 5
715, 3
7152, 1
716, 5
7168, 2
717, 3
718, 9
72, 77
720, 472
7200, 2
721, 6
7216, 1
722, 5
723, 6
724, 30
7248, 1
725, 9
726, 5
7264, 1
727, 3
728, 3
729, 11
7296, 1
73, 141
730, 9
731, 7
732, 2
7328, 1
733, 7
734, 4
735, 1
736, 5
7360, 3
7376, 2
739, 20
7392, 1
74, 754
740, 5
7408, 1
742, 5
743, 5
744, 2
745, 9
745, 0, 0, 5
746, 7
747, 7
7472, 1
748, 8
749, 10
75, 891
750, 9
751, 3
752, 5
753, 3
754, 4
755, 8
756, 6
757, 1
758, 5
759, 6
76, 285
760, 2
761, 2
762, 9
763, 3
764, 2
765, 2
766, 10
767, 9
768, 6
769, 8
7696, 1
77, 223
770, 4
771, 5
772, 2
773, 3
774, 6
7744, 1
775, 4
777, 14
7776, 1
778, 4
779, 1
78, 134
780, 5
781, 8
782, 2
783, 3
7840, 1
785, 3
786, 5
787, 10
7872, 1
788, 5
7888, 2
789, 2
79, 778
790, 9
791, 6
792, 5
793, 26
794, 25
795, 5
796, 4
797, 18
798, 11
799, 99
80, 129070
80, 0, 0, 86
800, 65770
800, 0, 22
800, 0, 0, 5
800, 800, 1
8000, 60
8016, 1
802, 4
803, 1
804, 1
805, 1
808, 4
809, 24
8096, 1
81, 147
810, 1
811, 11
812, 4
813, 1
814, 5
815, 2
816, 3
817, 3
8176, 3
819, 52
82, 149
820, 4
821, 3
822, 1
823, 4
824, 1
826, 5
827, 1
828, 2
83, 197
830, 2
832, 1
833, 26
834, 1
835, 9
836, 2
837, 4
84, 159
840, 2
841, 7
843, 1
844, 2
845, 2
846, 2
847, 11
848, 6
849, 1
85, 174
850, 1
851, 3
852, 2
853, 2
854, 3
8544, 1
855, 2
856, 11
856, 0, 0, 4
857, 2
858, 5
859, 2
86, 401
860, 1
862, 4
864, 43
865, 2
866, 6
867, 11
868, 3
869, 3
87, 128
870, 5
871, 2
872, 2
873, 4
874, 4
878, 4
88, 165
880, 1
881, 3
882, 1
883, 4
884, 5
885, 2
886, 2
888, 4
89, 147
892, 7
893, 1
895, 3
896, 3
897, 4
898, 1
899, 5
90, 212
900, 399
901, 8
902, 2
904, 4
9040, 1
905, 2
907, 1
9072, 1
908, 1
909, 3
91, 133
910, 2
911, 4
912, 11
914, 3
915, 2
918, 17
9184, 1
919, 4
92, 117
920, 1
921, 1
924, 6
925, 2
927, 4
928, 0, 7
93, 106
930, 1
931, 5
932, 1
937, 1
939, 2
94, 98
940, 2
9408, 1
941, 2
942, 5
944, 1
945, 1
946, 3
949, 1
95, 116
950, 2
951, 1
