quality ,Count
44.254999999999995, 9
44.275, 1
44.29, 1
44.325, 1
44.34, 3
44.375, 1
44.394999999999996, 2
44.475, 4
44.565, 1
44.625, 3
44.644999999999996, 1
44.68, 1
44.705, 1
44.72, 1
44.74, 1
44.760000000000005, 1
44.790000000000006, 1
44.795, 1
44.835, 2
44.95, 3
44.96, 2
44.985, 1
45.019999999999996, 18
45.03, 1
45.06, 3
45.114999999999995, 4
45.155, 1
45.165, 1
45.17, 1
45.255, 1
45.325, 1
45.345, 1
45.385, 2
45.465, 1
45.614999999999995, 1
45.665, 1
45.68, 2
45.685, 1
45.74, 3
45.754999999999995, 1
45.760000000000005, 1
45.885000000000005, 3
45.995000000000005, 2
46.010000000000005, 1
46.025, 1
46.06, 1
46.075, 1
46.150000000000006, 1
46.269999999999996, 1
46.33, 92
46.370000000000005, 2
46.42, 1
46.43000000000001, 2
46.435, 2
46.45, 1
46.565, 1
46.625, 1
46.665, 1
46.685, 1
46.695, 2
46.730000000000004, 2
46.775, 1
46.875, 2
46.92, 1
46.955, 1
46.975, 1
46.995, 1
47, 1
47.005, 1
47.04, 1
47.045, 1
47.14, 27
47.175, 1
47.28, 1
47.295, 1
47.42, 1
47.43, 2
47.53, 1
47.56, 2
47.575, 2
47.58, 17
47.585, 1
47.63, 1
47.695, 9
47.78, 1
47.834999999999994, 1
47.84, 1
47.86, 1
47.865, 1
47.925, 1
47.93, 5
47.94, 1
47.96, 2
47.980000000000004, 1
48.01, 2
48.015, 1
48.025, 18
48.045, 1
48.06, 1
48.085, 1
48.19, 1
48.285, 1
48.295, 2
48.305, 2
48.33, 2
48.365, 1
48.415, 1
48.435, 1
48.45, 2
48.455, 1
48.504999999999995, 2
48.535, 5
48.545, 3
48.57, 1
48.595, 1
48.82, 1
48.84, 1
48.875, 1
48.89, 5
48.894999999999996, 1
48.905, 1
48.925, 3
48.935, 2
48.959999999999994, 1
48.974999999999994, 1
49.065, 2
49.185, 11
49.21, 1
49.25, 198
49.254999999999995, 1
49.28, 1
49.31, 1
49.32, 3
49.35, 1
49.405, 1
49.519999999999996, 1
49.525, 1
49.585, 1
49.675, 2
49.695, 1
49.71, 3
49.72, 1
49.730000000000004, 1
49.74, 1
49.980000000000004, 1
50, 787
50.010000000000005, 6
50.07, 2
50.34, 2
50.4, 3
50.41, 1
50.415, 1
50.43, 1
50.44, 1
50.665, 1
50.72, 2
50.730000000000004, 1
50.739999999999995, 1
50.83, 106
50.99, 7
51.055, 4
51.06, 1
51.065, 2
51.07, 1
51.085, 1
51.129999999999995, 1
51.135000000000005, 7
51.155, 1
51.175, 1
51.235, 2
51.394999999999996, 2
51.405, 2
51.480000000000004, 1
51.495, 1
51.495000000000005, 2
51.5, 3
51.515, 72
51.83, 1
51.84, 1
51.845, 1
51.870000000000005, 2
51.875, 1
51.885000000000005, 1
51.894999999999996, 1
51.915, 1
51.96, 1
51.97, 3
52.010000000000005, 1
52.02, 1
52.055, 9
52.075, 1
52.084999999999994, 1
52.18, 2
52.195, 1
52.22, 2
52.230000000000004, 2
52.269999999999996, 1
52.295, 2
52.31, 1
52.315, 1
52.325, 1
52.41, 2
52.455, 1
52.535, 1
52.56, 2
52.695, 3
52.769999999999996, 2
52.775, 1
52.79, 2
52.845, 2
52.89, 1
52.905, 4
52.96, 1
53.03, 15
53.05, 9
53.105000000000004, 1
53.165, 1
53.2, 1
53.265, 1
53.335, 2
53.34, 1
53.375, 1
53.385000000000005, 1
53.4, 2
53.45, 1
53.455, 1
53.54, 2
53.615, 10
53.760000000000005, 1
53.795, 1
53.835, 1
53.84, 1
53.845, 1
53.849999999999994, 1
53.855000000000004, 1
53.875, 1
53.894999999999996, 3
53.905, 1
53.91, 1
53.915, 1
53.95, 1
53.959999999999994, 28
53.980000000000004, 1
54.045, 1
54.260000000000005, 1
54.269999999999996, 1
54.3, 1
54.415, 1
54.42, 1
54.425, 2
54.45, 1
54.46, 4
54.485, 2
54.55, 9
54.64, 1
54.695, 1
54.72, 1
54.74, 3
54.765, 1
54.805, 6
54.85, 1
54.86, 1
54.885000000000005, 4
54.915, 2
54.94, 2
54.980000000000004, 2
54.989999999999995, 1
54.995000000000005, 21
55.019999999999996, 2
55.115, 1
55.120000000000005, 1
55.129999999999995, 1
55.144999999999996, 1
55.165, 1
55.185, 1
55.2, 1
55.269999999999996, 1
55.28, 1
55.31, 1
55.334999999999994, 2
55.35, 4
55.37, 1
55.394999999999996, 2
55.43, 1
55.445, 15
55.455, 1
55.465, 1
55.53, 4
55.54, 1
55.730000000000004, 3
55.760000000000005, 1
55.769999999999996, 2
55.775000000000006, 1
55.78, 1
55.81, 1
55.815, 1
55.84, 1
55.89, 1
55.894999999999996, 1
55.91, 2
55.925, 10
55.935, 1
55.955, 1
55.965, 1
55.975, 2
55.980000000000004, 2
56.025, 37
56.120000000000005, 145
56.17, 1
56.3, 1
56.31, 2
56.345, 6
56.375, 2
56.379999999999995, 1
56.394999999999996, 1
56.405, 2
56.425, 2
56.435, 1
56.445, 7
56.455, 1
56.47, 3
56.485, 1
56.495, 1
56.53, 1
