ifds_SubjectDistance ,Count
231869/1000, 1
232/100, 2
232/1000, 1
2320/1000, 1
2321/1000, 1
2324/1000, 2
2325/1000, 1
2327/1000, 1
2330/1000, 3
234/1000, 1
2345/1000, 3
2348/1000, 1
2349/1000, 1
2350/1000, 1
2351/1000, 1
235165/1000, 1
23557/1000, 4
2359/1000, 2
236/100, 1
236/1000, 1
2364/1000, 3
23723/1000, 1
2375/1000, 1
2378/1000, 1
238/100, 1
238/1000, 1
2380/1000, 1
2381/1000, 2
2384/1000, 1
239/1000, 3
2391/1000, 1
2393/1000, 3
2394/1000, 1
2398/1000, 1
24/100, 1
240/1000, 5
2400/1000, 1
2403/1000, 1
241/1000, 1
2416/1000, 1
2417/1000, 1
242/100, 1
242/1000, 3
2424/1000, 1
242447/1000, 1
2429/1000, 4
243/100, 1
2430/1000, 1
245/100, 4
24606/1000, 1
2463/1000, 7
2465/1000, 1
247/1000, 3
2470/1000, 1
2471/1000, 1
247346/1000, 1
2479/1000, 1
248/1000, 2
2481/1000, 1
2482/1000, 13
2483/1000, 2
248315/1000, 1
248352/1000, 2
249/1000, 2
2490/1000, 1
2497/1000, 2
250/100, 3
2500/100, 19
2500/1000, 4
2508/1000, 3
251/1000, 2
2516/1000, 1
2520/1000, 2
2521/1000, 1
2524/1000, 1
2528/1000, 2
253/1000, 3
2530/1000, 1
2533/1000, 1
2539/1000, 2
254/1000, 7
2543/1000, 3
254946/1000, 1
255/1000, 2
2550/1000, 1
2551/1000, 1
2553/1000, 1
2555/1000, 1
2556/1000, 1
256/100, 2
256/1000, 1
2560/1000, 1
2564/1000, 1
2568/1000, 3
257/1000, 2
2570/1000, 2
258/100, 10
258/1000, 1
2581/1000, 1
258242/1000, 1
2583/1000, 1
259/1000, 1
2590/1000, 1
260/1000, 1
2600/1000, 5
2603/1000, 3
26055/1000, 1
2607/1000, 1
261/1000, 2
2613/1000, 1
2615/1000, 65
262/1000, 1
2629/1000, 1
263/100, 4
2630/1000, 1
2633/1000, 1
2638/1000, 1
2641/1000, 1
265/1000, 5
2659/1000, 2
26598/1000, 3
266/100, 1
2661/1000, 1
267/1000, 3
268/1000, 2
2682/1000, 2
2684/1000, 2
2685/1000, 12
2687/1000, 1
2692/1000, 1
2696/1000, 1
26960/1000, 1
27/100, 2
270/100, 3
2700/100, 12
2709/1000, 6
271/1000, 1
2713/1000, 1
2714/1000, 1
272/1000, 2
2720/1000, 2
2724/1000, 2
2725/1000, 1
2727/1000, 1
272848/1000, 1
2735/1000, 5
2736/1000, 1
2739/1000, 1
274726/1000, 2
275/100, 13
275/1000, 2
2768/1000, 1
277/100, 4
277/1000, 1
2773/1000, 1
278/100, 1
278/1000, 6
27843/1000, 1
2789/1000, 2
279269/1000, 1
2799/1000, 2
28/100, 1
280/100, 2
280/1000, 1
280000/1000, 1
2802/1000, 1
281/1000, 3
282/100, 2
283/1000, 2
284/1000, 1
2843/1000, 1
2846/1000, 1
285/100, 2
285/1000, 1
286/1000, 2
2860/1000, 1
286091/1000, 2
2863/1000, 3
28692/1000, 1
287/100, 14
2870/1000, 1
2877/1000, 2
288/1000, 1
2880/1000, 21
2889/1000, 2
289/1000, 2
2890/1000, 2
2891/1000, 1
2893/1000, 1
2896/1000, 7
29/100, 2
290/1000, 1
291/1000, 1
2910/1000, 1
2911/1000, 1
291151/1000, 1
2922/1000, 2
2929/1000, 2
2930/1000, 1
2938/1000, 1
294/100, 4
295/1000, 8
2968/1000, 1
2975/1000, 8
29870/1000, 1
2989/1000, 2
299/1000, 4
299116/1000, 1
30/100, 2
300/1000, 1
3000/100, 110
3000/1000, 12
30000/1000, 9
3001/1000, 1
301/1000, 2
3017/1000, 6
3019/1000, 1
302/1000, 1
303/10, 4
303/100, 7
3033/1000, 1
3040/1000, 2
3044/1000, 1
304722/1000, 1
3050/1000, 1
3051/1000, 1
3052/1000, 2
306/100, 2
3064/1000, 3
307/1000, 1
3086/1000, 2
3090/1000, 6
31/10, 1
310/100, 1
3102/1000, 1
310990/1000, 2
311/1000, 1
3110/1000, 3
3111/1000, 4
3113/1000, 2
3114/1000, 5
312/100, 1
312/1000, 1
3122/1000, 1
3126/1000, 1
314/1000, 1
3140/1000, 2
315/1000, 1
3153/1000, 1
31562/1000, 1
315731/1000, 1
3159/1000, 1
316/1000, 3
317/1000, 1
317133/1000, 1
317583/1000, 1
3176/1000, 1
3177/1000, 4
3178/1000, 3
318/1000, 8
3180/1000, 3
3185/1000, 3
319/1000, 2
3190/1000, 2
32/100, 3
321/100, 1
322/100, 3
3220/1000, 1
323/1000, 2
3230/1000, 1
3236/1000, 5
324/100, 1
3240/1000, 1
3242/1000, 1
3244/1000, 1
325/1000, 1
3250/1000, 5
3257/1000, 1
32630/1000, 7
3264/1000, 1
327/1000, 6
3270/1000, 2
32767/1000, 1
328/1000, 1
3280/100, 3
32898/1000, 1
3290/1000, 1
330/100, 14
330/1000, 3
3300/1000, 2
3302/1000, 2
331/10, 2
332/1000, 1
332451/1000, 1
3325/1000, 1
333/100, 4
3333/100, 21
3333/1000, 3
334/1000, 7
334066/1000, 1
3347/1000, 1
3350/1000, 2
3358/1000, 21
336/1000, 1
3360/1000, 4
3370/1000, 1
3371/1000, 5
3378/1000, 1
338/100, 2
338/1000, 1
3380/1000, 2
3386/1000, 1
339/1000, 6
3390/1000, 1
34/100, 1
340/100, 4
340/1000, 5
3400/1000, 14
341/1000, 2
3410/1000, 1
34190/1000, 2
342/1000, 3
343/1000, 3
3435/1000, 1
344/100, 2
344/1000, 1
3440/1000, 1
3444/1000, 5
3450/1000, 4
3451/1000, 1
3452/1000, 1
346/1000, 1
3461/100, 8
347/1000, 2
3480/1000, 1
3483/1000, 5
34891/1000, 1
349/1000, 1
35/100, 4
350/1000, 1
351/1000, 6
3510/1000, 2
3512/1000, 1
351250/1000, 1
3524/1000, 1
353/1000, 1
3531/1000, 2
3540/1000, 4
3541/1000, 1
3542/1000, 4
3550/1000, 1
35555/1000, 1
3563/1000, 1
357/100, 7
3570/1000, 1
3571/1000, 2
3574/1000, 1
3577/1000, 2
3582/1000, 3
3583/1000, 1
359/1000, 1
3590/1000, 1
3595/1000, 9
35955/1000, 13
3598/1000, 1
36/100, 4
360/100, 4
360/1000, 1
362/1000, 1
363/1000, 1
365/1000, 9
366250/1000, 1
36644/1000, 18
367/1000, 4
3673/1000, 4
3677/1000, 1
368/1000, 1
370/100, 4
370/1000, 4
3700/1000, 1
3714/1000, 1
37166/1000, 2
3718/1000, 4
3721/1000, 1
3736/1000, 1
3737/1000, 1
373914/1000, 1
374/1000, 1
3740/1000, 1
3748/1000, 1
375/1000, 2
3750/1000, 11
375084/1000, 1
376/100, 3
3763/1000, 1
3767/1000, 1
378/1000, 1
3780/1000, 2
37925/1000, 1
3795/1000, 1
3798/1000, 1
38/100, 2
380/1000, 7
3800/1000, 2
3806/1000, 2
381/1000, 1
384/100, 7
3842/1000, 1
385/1000, 1
3850/1000, 1
3857/1000, 5
3858/1000, 1
386/1000, 10
3861/1000, 1
388/100, 6
388/1000, 1
389/1000, 1
39/100, 2
390/100, 2
3903/1000, 3
39057/1000, 1
390708/1000, 1
391/1000, 1
3918/1000, 2
3920/1000, 1
3929/1000, 2
3930/1000, 2
3934/1000, 1
394/1000, 1
3940/1000, 1
3950/1000, 1
3952/1000, 3
3955/1000, 2
3960/1000, 1
3964/1000, 1
3967/1000, 18
397/1000, 25
3977/1000, 1
399/1000, 4
400/100, 5
400/1000, 1
401/1000, 1
402/1000, 5
4022/1000, 130
40295/1000, 1
403/1000, 2
4034/1000, 1
4046/1000, 2
4049/1000, 8
405/1000, 1
4052/1000, 3
4060/1000, 1
406316/1000, 1
4074/1000, 2
408/1000, 2
409/1000, 1
41/100, 2
410/1000, 1
4101/1000, 1
4114/1000, 2
4117/1000, 1
413/1000, 1
414/1000, 4
4158/1000, 3
416/100, 7
4165/1000, 1
418/1000, 1
4182/1000, 1
4191/1000, 3
42/100, 2
420/100, 2
420/1000, 1
421/1000, 9
4210/1000, 1
422500/1000, 1
4226/1000, 2
4227/1000, 1
423/1000, 1
424/100, 7
4244/1000, 5
4269/1000, 2
427/1000, 27
4282/1000, 2
4286/1000, 1
4295/1000, 4
43/100, 1
430000/1000, 1
431/100, 2
431/1000, 1
4338/1000, 1
434/100, 6
434/1000, 5
4356/1000, 3
436/1000, 8
4366/1000, 1
437/1000, 1
437500/1000, 1
4377/1000, 1
438/1000, 2
4383/1000, 35
4386/1000, 3
439/1000, 3
44/100, 1
440/100, 1
4400/1000, 1
