ifd1_XResolution ,Count
501/1, 7
505/1, 1
5072/0, 1
510/1, 6
511841155/880880260, 1
512/1, 39
5135/0, 1
5150/0, 1
520/1, 1
5270/0, 1
53/174, 2
531/1, 5
534/1, 7
5343/0, 1
536/1, 1
536870912/0, 1
540134410/1082134528, 1
543/1, 1
5443/0, 1
5505/0, 1
554/1, 1
5560/0, 1
558/1, 3
563/1, 2
565/1, 3
5665/0, 1
570/1, 9
5713/0, 1
5770/0, 1
5776/0, 1
58/174, 2
5803/1, 1
5810/0, 1
583/1, 1
5888/0, 1
5895/0, 1
600/1, 10
6051/0, 1
613/1, 1
629677950/696788350, 1
6365/0, 1
6381/0, 1
6554/0, 1
6580/0, 1
6640/0, 1
6678/0, 1
6719/0, 1
6911/0, 1
7/178, 3
7066/0, 1
708951/10000, 1
7110/0, 1
7164/0, 1
719990/10000, 1
72/0, 1
72/1, 803406
720/10, 190
720000/10000, 6643
7227/0, 1
7328/0, 1
7329/0, 1
7337/0, 1
7387/0, 1
7458/0, 1
7533/0, 1
7589/0, 1
762064588/795619275, 1
7719/0, 1
7848/0, 1
7874/0, 1
7876/0, 1
7977/0, 1
7996/0, 1
7998/0, 1
800/1, 1
8044/0, 1
810000/10000, 1
8185/0, 1
8207/0, 1
8254/0, 1
8284/0, 1
829830007/896743030, 1
8327/0, 1
8357/0, 1
8379/0, 1
8506/0, 1
8650753/16843009, 1
8650754/16843009, 3
8650754/16843265, 1
8650754/33686018, 1
8949/0, 1
9042/0, 1
9060/0, 1
9136/0, 1
932122/10000, 1
9347/0, 1
9475204/-2042612414, 1
95/1, 1
96/1, 174
960000/10000, 53
970000/10000, 1
9872/0, 1
