ifds_SubjectLocation1 ,Count
, 1282291
0, 162
1019, 1126, 484, 484, 1
1019, 1608, 484, 484, 1
1019, 553, 610, 612, 1
1019, 839, 610, 612, 1
1019, 884, 484, 484, 1
1020, 783, 382, 384, 1
1021, 1265, 456, 457, 1
1021, 1398, 476, 477, 1
1021, 1776, 254, 254, 1
1022, 1184, 484, 484, 1
1022, 571, 382, 384, 1
1022, 608, 382, 384, 1
1022, 652, 382, 384, 1
1022, 743, 382, 384, 1
1022, 748, 382, 384, 1
1023, 1208, 486, 484, 2
1023, 767, 614, 614, 4080
1023, 767, 819, 614, 3
1024, 1053, 266, 204, 3
1024, 1235, 484, 484, 1
1024, 1471, 484, 484, 1
1024, 480, 484, 484, 1
1024, 768, 120, 304, 6
1024, 768, 2048, 1536, 83
1024, 768, 256, 160, 273
1024, 768, 256, 192, 34
1024, 768, 266, 204, 33
1024, 768, 332, 332, 47
1024, 768, 44, 29, 585
1024, 768, 512, 384, 1220
1024, 768, 682, 512, 4
1024, 904, 484, 484, 1
1024, 925, 484, 484, 1
1024, 942, 484, 484, 1
1024, 986, 554, 555, 1
1025, 795, 1127, 1127, 1
1026, 1145, 382, 384, 1
1026, 1228, 382, 384, 2
1026, 1613, 610, 612, 1
1026, 372, 420, 414, 1
1026, 450, 382, 384, 1
1026, 483, 382, 384, 1
1026, 757, 382, 384, 1
1026, 804, 382, 384, 1
1026, 820, 382, 384, 1
1026, 824, 382, 384, 1
1026, 881, 610, 612, 1
1026, 940, 382, 384, 1
1026, 964, 382, 384, 1
1026, 969, 610, 612, 1
1027, 1078, 484, 484, 1
1027, 1093, 484, 484, 1
1027, 1139, 287, 286, 1
1027, 1254, 484, 484, 1
1027, 1291, 484, 484, 1
1027, 1419, 201, 203, 1
1027, 1465, 484, 484, 1
1027, 629, 221, 222, 1
1027, 809, 484, 484, 1
1027, 896, 484, 484, 1
1027, 952, 484, 484, 1
1029, 1055, 610, 612, 1
1029, 1133, 610, 612, 1
1029, 1145, 610, 612, 1
1029, 1162, 610, 612, 1
1029, 1248, 484, 484, 1
1029, 1361, 610, 612, 1
1029, 1366, 484, 484, 1
1029, 1390, 484, 484, 1
1029, 1432, 484, 484, 1
1029, 391, 610, 612, 1
1029, 423, 359, 270, 1
1029, 984, 610, 612, 1
1030, 1016, 382, 384, 1
1030, 1424, 509, 509, 1
1030, 230, 382, 384, 1
1030, 675, 382, 384, 1
1030, 717, 382, 384, 1
1030, 761, 382, 384, 1
1030, 811, 382, 384, 1
1031, 700, 437, 431, 1
1032, 1162, 610, 612, 1
1032, 1369, 231, 232, 1
1032, 1610, 610, 612, 2
1032, 1906, 610, 612, 1
1032, 720, 210, 210, 1
1032, 820, 382, 384, 1
1032, 857, 484, 484, 1
1034, 1287, 382, 384, 1
1034, 1493, 609, 610, 1
1034, 394, 382, 384, 1
1034, 777, 382, 384, 1
1035, 1080, 484, 484, 1
1035, 1701, 609, 612, 1
1035, 980, 577, 580, 1
1036, 1118, 610, 612, 1
1036, 1307, 610, 612, 1
1036, 1321, 610, 612, 1
1036, 646, 382, 384, 2
1036, 793, 345, 345, 1
1036, 795, 382, 384, 1
1036, 838, 382, 384, 1
1036, 849, 382, 384, 1
1036, 881, 610, 612, 1
1037, 1537, 548, 548, 1
1037, 985, 484, 484, 1
1038, 1036, 382, 384, 1
1038, 864, 382, 384, 1
1039, 1096, 610, 612, 1
1039, 1138, 610, 612, 1
1039, 1381, 610, 609, 1
1039, 1926, 610, 612, 1
1039, 828, 1007, 1007, 1
