ifds_ExifInteroperabilityOffset ,Count
@ 0x0394, 14
@ 0x0396, 35
@ 0x0398, 35
@ 0x039A, 10
@ 0x039C, 71
@ 0x039E, 69
@ 0x03A0, 161
@ 0x03A1, 1
@ 0x03A2, 89
@ 0x03A3, 1
@ 0x03A4, 15
@ 0x03A5, 1
@ 0x03A6, 2
@ 0x03A8, 446
@ 0x03A9, 31
@ 0x03AA, 234
@ 0x03AC, 9
@ 0x03AD, 6
@ 0x03AE, 1
@ 0x03AF, 2
@ 0x03B0, 765
@ 0x03B1, 32
@ 0x03B2, 107
@ 0x03B3, 9
@ 0x03B4, 1
@ 0x03B6, 118
@ 0x03B7, 1
@ 0x03B8, 84
@ 0x03BA, 132
@ 0x03BB, 51
@ 0x03BC, 214
@ 0x03BE, 403
@ 0x03BF, 2
@ 0x03C0, 5
@ 0x03C1, 7
@ 0x03C2, 7
@ 0x03C4, 2
@ 0x03C6, 195
@ 0x03C8, 317
@ 0x03CA, 17
@ 0x03CC, 272
@ 0x03CE, 1254
@ 0x03D0, 116
@ 0x03D2, 2108
@ 0x03D4, 5
@ 0x03D6, 1322
@ 0x03D8, 1804
@ 0x03DC, 41
@ 0x03DE, 34
@ 0x03E2, 469
@ 0x03E4, 17
@ 0x03E9, 75
@ 0x03EA, 310
@ 0x03EC, 107
@ 0x03EE, 665
@ 0x03F0, 8749
@ 0x03F1, 181
@ 0x03F2, 3408
@ 0x03F5, 97
@ 0x03F6, 167
@ 0x03F8, 9
@ 0x03F9, 1
@ 0x03FA, 575
@ 0x03FC, 668
@ 0x03FE, 1
@ 0x03FF, 200
@ 0x0400, 2889
@ 0x0402, 19839
@ 0x0406, 1
@ 0x0408, 30
@ 0x0409, 40
@ 0x040A, 225
@ 0x040C, 15
@ 0x040E, 14
@ 0x0410, 7
@ 0x0412, 15
@ 0x0414, 20
@ 0x0416, 247
@ 0x0418, 18
@ 0x041C, 9
@ 0x041E, 3872
@ 0x041F, 124
@ 0x0420, 459
@ 0x0422, 6
@ 0x0426, 1
@ 0x0428, 100
@ 0x042A, 42
@ 0x042C, 115
@ 0x042E, 2
@ 0x0430, 2381
@ 0x0432, 2
@ 0x0436, 1
@ 0x0438, 726
@ 0x043A, 210
@ 0x043B, 2
@ 0x043C, 1171
@ 0x043E, 1986
@ 0x0440, 688
@ 0x0441, 1
@ 0x0442, 14
@ 0x0444, 488
@ 0x0446, 6
@ 0x0448, 133
@ 0x044A, 2
@ 0x044C, 18
@ 0x044D, 76
@ 0x044E, 2
@ 0x044F, 2
@ 0x0450, 1887
@ 0x0452, 532
@ 0x0456, 367
@ 0x0458, 15
@ 0x0459, 1
@ 0x045A, 445
@ 0x045B, 5
@ 0x045C, 161
@ 0x045E, 1986
@ 0x045F, 104
@ 0x0460, 54
@ 0x0461, 1
@ 0x0462, 3410
@ 0x0464, 2178
@ 0x0466, 234
@ 0x0468, 61
@ 0x046A, 2
@ 0x046C, 142
@ 0x046E, 458
@ 0x0471, 2
@ 0x0472, 3
@ 0x0474, 21
@ 0x0475, 1
@ 0x0476, 26
@ 0x0477, 1
@ 0x0478, 5
@ 0x0479, 4
@ 0x047A, 830
@ 0x047C, 24
@ 0x047E, 211
@ 0x0480, 559
@ 0x0481, 148
@ 0x0483, 8
@ 0x0484, 1225
@ 0x0485, 12
@ 0x0486, 3679
@ 0x0488, 387
@ 0x0489, 3
@ 0x048A, 23
@ 0x048C, 6827
@ 0x048E, 74
@ 0x0490, 744
@ 0x0491, 1
@ 0x0492, 1579
@ 0x0494, 215
@ 0x0495, 5
@ 0x0496, 16
@ 0x0498, 46
@ 0x049A, 434
@ 0x049C, 14
@ 0x049D, 1
@ 0x049E, 16
@ 0x049F, 1
@ 0x04A0, 79
@ 0x04A1, 2
@ 0x04A2, 4
@ 0x04A3, 3
@ 0x04A4, 102
@ 0x04A6, 76
@ 0x04A8, 4
@ 0x04A9, 123
@ 0x04AA, 260
@ 0x04AC, 111
@ 0x04AD, 310
@ 0x04B0, 260
@ 0x04B2, 526
@ 0x04B4, 28
@ 0x04B5, 68
@ 0x04B6, 107
@ 0x04B7, 1
@ 0x04B8, 1
@ 0x04B9, 4
@ 0x04BA, 20
@ 0x04BC, 441
@ 0x04BE, 560
@ 0x04BF, 1
@ 0x04C0, 55
@ 0x04C1, 1
@ 0x04C2, 38
@ 0x04C3, 2
@ 0x04C4, 27
@ 0x04C5, 3
@ 0x04C6, 57
@ 0x04C8, 13
@ 0x04C9, 1
@ 0x04CA, 173
@ 0x04CC, 5
@ 0x04CE, 504
@ 0x04D0, 8
@ 0x04D1, 22
@ 0x04D2, 87
@ 0x04D4, 181
@ 0x04D6, 6
@ 0x04D8, 4
@ 0x04D9, 1
@ 0x04DA, 1
@ 0x04DB, 1
@ 0x04DC, 28
@ 0x04DD, 5
@ 0x04DE, 1
@ 0x04DF, 50
@ 0x04E0, 2
@ 0x04E2, 477
@ 0x04E3, 1
@ 0x04E4, 46
@ 0x04E5, 7
@ 0x04E6, 98
@ 0x04E8, 185
@ 0x04E9, 1
@ 0x04EA, 759
@ 0x04EC, 1
@ 0x04EE, 234
@ 0x04F0, 381
@ 0x04F1, 97
@ 0x04F2, 44
@ 0x04F4, 7504
@ 0x04F6, 44
@ 0x04F7, 4
@ 0x04F8, 3
@ 0x04FA, 370
@ 0x04FB, 4
@ 0x04FC, 2
@ 0x04FE, 144
@ 0x0500, 17
@ 0x0502, 25
@ 0x0504, 95
@ 0x0506, 37
@ 0x0507, 1
@ 0x0508, 114
@ 0x050A, 258
@ 0x050C, 1257
@ 0x050E, 286
@ 0x0510, 1117
@ 0x0512, 2
@ 0x0514, 13
@ 0x0516, 357
@ 0x0517, 5
@ 0x0518, 122
@ 0x0519, 41
@ 0x051A, 16
@ 0x051C, 3551
@ 0x051E, 3
@ 0x0520, 10
@ 0x0522, 67
@ 0x0524, 178
@ 0x0526, 50
@ 0x0528, 229
@ 0x052A, 32
@ 0x052B, 3
@ 0x052E, 31
@ 0x0530, 1578
@ 0x0532, 88
@ 0x0534, 37
@ 0x0537, 1
@ 0x0538, 4
@ 0x053A, 404
@ 0x053C, 18
@ 0x053E, 58
@ 0x053F, 1
@ 0x0540, 76
@ 0x0542, 22
@ 0x0543, 1
@ 0x0544, 54
@ 0x0546, 129
@ 0x0548, 25
@ 0x054A, 1527
@ 0x054B, 2
@ 0x054C, 156
@ 0x054D, 1
@ 0x054E, 335
@ 0x054F, 10
@ 0x0552, 11
@ 0x0554, 298
@ 0x0556, 1
@ 0x0558, 1402
@ 0x055A, 54
@ 0x055E, 1
@ 0x0560, 7
@ 0x0561, 24
@ 0x0562, 197
@ 0x0564, 17
@ 0x0566, 2
@ 0x0568, 1
@ 0x0569, 14
@ 0x056A, 387
@ 0x056C, 14
@ 0x056E, 2
@ 0x0572, 41
@ 0x0574, 161
@ 0x0575, 1
@ 0x0576, 27
@ 0x0578, 7
@ 0x0579, 126
@ 0x057A, 9
@ 0x057B, 6
@ 0x057C, 172
@ 0x057E, 2
@ 0x0580, 280
@ 0x0582, 2
@ 0x0584, 2150
@ 0x0586, 18
@ 0x0588, 3092
@ 0x058A, 5
@ 0x058C, 3
@ 0x058D, 2
@ 0x0593, 1
@ 0x0594, 14
@ 0x0595, 7
@ 0x0596, 2
@ 0x0598, 1457
@ 0x059A, 150
@ 0x059C, 19
@ 0x059E, 2
@ 0x05A0, 241
@ 0x05A2, 23
@ 0x05A4, 125
@ 0x05A5, 2
@ 0x05A6, 1
@ 0x05A8, 1
@ 0x05AA, 2
@ 0x05AD, 1
@ 0x05AE, 7
@ 0x05B0, 40
@ 0x05B1, 1
@ 0x05B4, 6
@ 0x05B6, 500
@ 0x05B8, 2
@ 0x05BA, 1
@ 0x05BC, 3
@ 0x05BE, 208
@ 0x05C0, 425
@ 0x05C2, 1
@ 0x05C3, 53
@ 0x05C4, 48
@ 0x05C6, 12
@ 0x05C7, 1
@ 0x05C8, 80
@ 0x05CA, 13
@ 0x05CC, 1
@ 0x05D0, 7
@ 0x05D2, 29
@ 0x05D4, 7
@ 0x05D6, 213
@ 0x05D7, 1
@ 0x05D8, 43
@ 0x05D9, 1
@ 0x05DA, 40
@ 0x05DE, 1
@ 0x05DF, 1
@ 0x05E0, 72
@ 0x05E1, 2
@ 0x05E3, 1
@ 0x05E4, 59
@ 0x05E5, 7
@ 0x05E6, 2
@ 0x05E7, 1
@ 0x05E8, 15
@ 0x05EA, 3
@ 0x05EB, 1
@ 0x05EC, 2
@ 0x05ED, 1
@ 0x05EE, 3
@ 0x05EF, 1
@ 0x05F0, 2
@ 0x05F1, 1
@ 0x05F2, 1
@ 0x05F4, 22
@ 0x05F5, 9
@ 0x05F6, 1
@ 0x05F7, 1
@ 0x05F8, 5
@ 0x05FE, 135
@ 0x0600, 2
@ 0x0602, 1
@ 0x0604, 4621
@ 0x0606, 329
@ 0x0607, 1
@ 0x0608, 6
@ 0x0609, 1
@ 0x060A, 46
@ 0x060B, 62
@ 0x060C, 2
@ 0x060E, 44
@ 0x0610, 5
@ 0x0611, 3
@ 0x0612, 10
@ 0x0614, 4852
@ 0x0615, 1
@ 0x0616, 2
@ 0x0617, 2
@ 0x0618, 2
@ 0x0619, 2
@ 0x061B, 1
@ 0x061C, 13
@ 0x061D, 1
@ 0x061E, 169
@ 0x0620, 14
@ 0x0623, 2
@ 0x0624, 2797
@ 0x0625, 3
@ 0x0626, 1
@ 0x0628, 36
@ 0x0629, 3
@ 0x062A, 1213
@ 0x062B, 1
@ 0x062C, 3
@ 0x062E, 35
@ 0x0630, 3
@ 0x0632, 13
@ 0x0634, 4
@ 0x063A, 2
@ 0x063B, 70
@ 0x063E, 4
@ 0x0640, 1
@ 0x0642, 56
@ 0x0646, 27
@ 0x064A, 26
